date,close,high,low,mts,open,volume
2024-02-25,4.6909,4.8106,4.6493,1708819200000,4.6536,1147.55349892
2024-02-24,4.6596,4.9479,4.2679,1708732800000,4.3472,2194.74646939
2024-02-23,4.3529,4.4379,4.1915,1708646400000,4.2732,1741.94938676
2024-02-22,4.2576,4.3355,4.0989,1708560000000,4.1805,706.81847754
2024-02-21,4.1884,4.277,4.0154,1708473600000,4.2459,2255.13193311
2024-02-20,4.2529,4.301,4.087,1708387200000,4.2885,1016.32691091
2024-02-19,4.2814,4.3195,4.1551,1708300800000,4.1701,2207.2102696
2024-02-18,4.1617,4.1964,4.0258,1708214400000,4.0533,2593.71130168
2024-02-17,4.0657,4.0755,3.9055,1708128000000,4.0431,2211.36352165
2024-02-16,4.0398,4.088,3.9334,1708041600000,4.0289,1407.6790970700001
2024-02-15,4.0216,4.06,3.9681,1707955200000,4.0,1161.1342201
2024-02-14,3.9945,3.9948,3.8596,1707868800000,3.8757,1790.81566806
2024-02-13,3.8813,3.944,3.824,1707782400000,3.9249,2003.87975476
2024-02-12,3.9056,3.9216,3.7166,1707696000000,3.7783,4409.95339518
2024-02-11,3.7561,3.8489,3.7532,1707609600000,3.7901,884.23284181
2024-02-10,3.7849,3.817,3.7298,1707523200000,3.7962,894.08186312
2024-02-09,3.768,3.7891,3.6652,1707436800000,3.6652,566.95523398
2024-02-08,3.6557,3.6961,3.6379,1707350400000,3.6731,1099.00227771
2024-02-07,3.6663,3.6744,3.5872,1707264000000,3.6045,910.16277576
2024-02-06,3.6004,3.6284,3.5349,1707177600000,3.5475,646.04047427
2024-02-05,3.5606,3.5997,3.5007,1707091200000,3.5231,551.41805274
2024-02-04,3.5471,3.5984,3.5307,1707004800000,3.57,1230.04762869
2024-02-03,3.5843,3.6687,3.5774,1706918400000,3.6409,953.95492132
2024-02-02,3.6435,3.6463,3.575,1706832000000,3.5909,853.6772330699999
2024-02-01,3.594,3.6285,3.5422,1706745600000,3.6215,1499.49248584
2024-01-31,3.6113,3.7264,3.5861,1706659200000,3.7033,2324.41801321
2024-01-30,3.7228,3.7856,3.6852,1706572800000,3.7204,1545.3704429699999
2024-01-29,3.7257,3.7295,3.5866,1706486400000,3.5982,1032.72209186
2024-01-28,3.6087,3.7163,3.5783,1706400000000,3.6478,1506.38343398
2024-01-27,3.6539,3.7043,3.6227,1706313600000,3.6676,516.25460943
2024-01-26,3.6785,3.6978,3.5443,1706227200000,3.5443,2849.72256714
2024-01-25,3.5596,3.6097,3.4861,1706140800000,3.5878,3209.85552138
2024-01-24,3.6039,3.6355,3.5209,1706054400000,3.5615,3994.6428725700002
2024-01-23,3.5672,3.7806,3.4251,1705968000000,3.6986,2235.43800999
2024-01-22,3.6907,3.9538,3.6759,1705881600000,3.936,1886.53573235
2024-01-21,3.933,4.0426,3.933,1705795200000,3.9864,1131.10313624
2024-01-20,3.99,4.0357,3.9277,1705708800000,3.9804,1717.67902308
2024-01-19,3.9954,4.0016,3.8149,1705622400000,3.9576,2647.01568522
2024-01-18,3.951,4.1759,3.87,1705536000000,4.1401,2874.26824533
