date,close,high,low,mts,open,volume
2024-02-25,1.0089,1.0223,0.97712,1708819200000,0.99329,800.55622388
2024-02-24,0.9912,1.0238,0.97318,1708732800000,1.0186,1933.97862196
2024-02-23,1.0187,1.0365,0.97231,1708646400000,1.0067,6865.26126602
2024-02-22,1.0137,1.0554,0.94539,1708560000000,0.94539,30682.75203306
2024-02-21,0.94689,0.98083,0.92559,1708473600000,0.96716,4050.17773301
2024-02-20,0.96749,1.0604,0.96443,1708387200000,1.027,2555.34300197
2024-02-19,1.0269,1.0605,0.98809,1708300800000,1.0102,4964.53925905
2024-02-18,1.0181,1.0894,0.99982,1708214400000,1.0622,4587.88596954
2024-02-17,1.0607,1.1622,0.97582,1708128000000,1.0211,8223.21303165
2024-02-16,1.0247,1.0449,0.85584,1708041600000,0.87251,11580.85248376
2024-02-15,0.87444,0.89565,0.72481,1707955200000,0.72633,6764.82378318
2024-02-14,0.72723,0.7308,0.67787,1707868800000,0.67787,625.62190851
2024-02-13,0.67771,0.68374,0.66078,1707782400000,0.66078,330.91871715
2024-02-12,0.66536,0.67599,0.64314,1707696000000,0.6682,392.15873117
2024-02-11,0.66391,0.6813,0.65822,1707609600000,0.67542,297.47720896
2024-02-10,0.67494,0.67494,0.64883,1707523200000,0.64883,380.35576242
2024-02-09,0.64834,0.66298,0.6329,1707436800000,0.63364,380.02233812
2024-02-08,0.63752,0.64495,0.62289,1707350400000,0.64368,338.1983144
2024-02-07,0.64037,0.64118,0.63518,1707264000000,0.63662,286.90417425
2024-02-06,0.63469,0.64227,0.63379,1707177600000,0.64198,470.98043276
2024-02-05,0.64009,0.64222,0.6323,1707091200000,0.63628,240.86914888
2024-02-04,0.6337,0.63625,0.62768,1707004800000,0.63134,316.24794646
2024-02-03,0.62999,0.63313,0.62696,1706918400000,0.63259,317.11637854
2024-02-02,0.63157,0.63368,0.61918,1706832000000,0.62422,392.36021754
2024-02-01,0.61877,0.62931,0.59545,1706745600000,0.59572,308.39941261
2024-01-31,0.59572,0.60229,0.59324,1706659200000,0.59674,346.2933906
2024-01-30,0.59773,0.59947,0.59128,1706572800000,0.59128,634.29491512
2024-01-29,0.5904,0.59117,0.58701,1706486400000,0.58701,391.97344845
