date,close,high,low,mts,open,volume
2024-02-25,0.20031,0.205,0.18089,1708819200000,0.18777,183772.71168297
2024-02-24,0.18643,0.18871,0.17933,1708732800000,0.1798,51858.25189422
2024-02-23,0.17948,0.18259,0.17337,1708646400000,0.17906,59952.61723337
2024-02-22,0.17896,0.18451,0.17158,1708560000000,0.17431,45467.03609215
2024-02-21,0.17563,0.18139,0.17255,1708473600000,0.17964,32632.22428298
2024-02-20,0.17924,0.1875,0.17173,1708387200000,0.17598,95698.23293823
2024-02-19,0.17655,0.182,0.17163,1708300800000,0.17287,53662.38084487
2024-02-18,0.17239,0.17584,0.16648,1708214400000,0.16894,61429.57155123
2024-02-17,0.16894,0.1763,0.165,1708128000000,0.16802,33374.6605616
2024-02-16,0.16954,0.17436,0.16482,1708041600000,0.16612,53874.84525001
2024-02-15,0.1662,0.17107,0.15859,1707955200000,0.16758,158271.49386019
2024-02-14,0.16787,0.18094,0.16126,1707868800000,0.16678,142773.29284804
2024-02-13,0.16814,0.17818,0.16298,1707782400000,0.17014,128870.56753008
2024-02-12,0.17089,0.17523,0.16599,1707696000000,0.16738,61429.98736593
2024-02-11,0.16738,0.1723,0.16321,1707609600000,0.16459,46442.43519872
2024-02-10,0.16595,0.17371,0.16331,1707523200000,0.16427,46260.57877092
2024-02-09,0.16461,0.17208,0.16089,1707436800000,0.16324,60691.9762644
2024-02-08,0.16333,0.16809,0.1625,1707350400000,0.16335,36654.78123119
2024-02-07,0.16433,0.16626,0.1609,1707264000000,0.16221,29924.277093239998
2024-02-06,0.162,0.16475,0.15963,1707177600000,0.16073,32463.34952122
2024-02-05,0.16041,0.16424,0.1548,1707091200000,0.16089,46433.31148572
2024-02-04,0.16134,0.16585,0.15622,1707004800000,0.16526,42081.46606932
2024-02-03,0.16521,0.17106,0.16016,1706918400000,0.16097,34211.82376029
2024-02-02,0.16157,0.16941,0.15902,1706832000000,0.16292,59975.09378588
2024-02-01,0.16291,0.17415,0.15027,1706745600000,0.17101,154907.93433466
2024-01-31,0.17125,0.1785,0.17115,1706659200000,0.17356,75025.40295305
2024-01-30,0.17427,0.18434,0.17427,1706572800000,0.18278,27172.07400402
2024-01-29,0.18284,0.18462,0.17466,1706486400000,0.17487,22906.317953269998
2024-01-28,0.17529,0.18519,0.17487,1706400000000,0.18041,22406.27068191
2024-01-27,0.18135,0.18351,0.1771,1706313600000,0.1826,47935.11873029
2024-01-26,0.18261,0.18416,0.17024,1706227200000,0.1703,103781.64212291
2024-01-25,0.17027,0.17492,0.1687,1706140800000,0.17112,48691.34591894
2024-01-24,0.17078,0.17425,0.16941,1706054400000,0.17004,81457.22556272
2024-01-23,0.16988,0.17053,0.16225,1705968000000,0.16627,75926.5090321
2024-01-22,0.16644,0.17731,0.16528,1705881600000,0.17385,135256.0401034
2024-01-21,0.17382,0.179,0.1705,1705795200000,0.17079,43749.33964702
2024-01-20,0.17135,0.17588,0.16612,1705708800000,0.17314,20370.34609804
2024-01-19,0.17384,0.17685,0.16853,1705622400000,0.17345,68921.72297379
2024-01-18,0.17344,0.18266,0.17125,1705536000000,0.18104,34451.8495972
2024-01-17,0.18132,0.18958,0.17987,1705449600000,0.18336,18429.20498696
2024-01-16,0.18295,0.19044,0.18102,1705363200000,0.18384,37112.47266703
2024-01-15,0.18387,0.18685,0.17562,1705276800000,0.176,21621.55481317
2024-01-14,0.1763,0.18798,0.17384,1705190400000,0.17394,59617.57990695
2024-01-13,0.17538,0.17952,0.16676,1705104000000,0.17015,6600.48732138
2024-01-12,0.17036,0.18883,0.16761,1705017600000,0.17326,61870.53292063
2024-01-11,0.17346,0.196,0.17129,1704931200000,0.17314,166777.99912081
2024-01-10,0.17296,0.18704,0.15242,1704844800000,0.16612,54475.55894884
2024-01-09,0.16362,0.17945,0.1609,1704758400000,0.1642,58822.01475315
2024-01-08,0.16416,0.18365,0.16,1704672000000,0.17632,83391.48853971
2024-01-07,0.17611,0.18087,0.17053,1704585600000,0.17779,20064.16341984
2024-01-06,0.17753,0.18214,0.17492,1704499200000,0.18119,29674.44931838
2024-01-05,0.181,0.18897,0.181,1704412800000,0.18783,69026.19223361
2024-01-04,0.18795,0.193,0.18025,1704326400000,0.1814,117129.57966076
2024-01-03,0.18083,0.18987,0.17,1704240000000,0.1822,77938.37062709
2024-01-02,0.1828,0.1994,0.18032,1704153600000,0.18092,75114.73153176
2024-01-01,0.18091,0.18646,0.1775,1704067200000,0.18389,36589.04008113
2023-12-31,0.18352,0.19059,0.18165,1703980800000,0.18822,17426.7728018
2023-12-30,0.18786,0.19163,0.18431,1703894400000,0.18442,72764.84270514
2023-12-29,0.18444,0.195,0.18163,1703808000000,0.18845,73126.39704666
2023-12-28,0.18799,0.19953,0.18723,1703721600000,0.19688,64038.62456855
2023-12-27,0.19684,0.2075,0.18868,1703635200000,0.19124,155365.02952545
2023-12-26,0.1915,0.19565,0.18176,1703548800000,0.19058,47117.16092151
2023-12-25,0.19058,0.19425,0.18681,1703462400000,0.18962,32655.33894862
2023-12-24,0.19028,0.19579,0.18575,1703376000000,0.18578,24175.84584669
2023-12-23,0.18576,0.19929,0.18576,1703289600000,0.19846,66178.24395652
2023-12-22,0.19867,0.1998,0.18771,1703203200000,0.19865,121620.93176249
2023-12-21,0.19892,0.21479,0.19206,1703116800000,0.20243,92256.70556509
2023-12-20,0.20246,0.21,0.19214,1703030400000,0.19503,91495.90337639
2023-12-19,0.19503,0.20472,0.18575,1702944000000,0.18884,96751.08562339
2023-12-18,0.18872,0.18957,0.1775,1702857600000,0.18306,29080.86094953
2023-12-17,0.18303,0.19079,0.18303,1702771200000,0.18393,14332.02268268
2023-12-16,0.18452,0.19227,0.18123,1702684800000,0.19022,11818.922863419999
2023-12-15,0.19016,0.19265,0.18125,1702598400000,0.18832,48570.44067352
2023-12-14,0.18991,0.20242,0.1833,1702512000000,0.18978,20073.26284537
2023-12-13,0.18993,0.20166,0.17864,1702425600000,0.1823,26476.04648057
2023-12-12,0.18393,0.19038,0.1823,1702339200000,0.18786,246518.27700248
2023-12-11,0.19033,0.19755,0.18592,1702252800000,0.19441,243421.4055211
2023-12-10,0.19421,0.20149,0.193,1702166400000,0.19799,105853.88718974
2023-12-09,0.19797,0.21123,0.19317,1702080000000,0.20015,57042.29404618
2023-12-08,0.20287,0.20501,0.19169,1701993600000,0.20142,38205.52204247
2023-12-07,0.20402,0.20859,0.19523,1701907200000,0.19651,26527.41746435
2023-12-06,0.19683,0.20813,0.19138,1701820800000,0.20179,31454.05905731
2023-12-05,0.2008,0.21148,0.19319,1701734400000,0.20557,32807.69054585
2023-12-04,0.20495,0.2186,0.20338,1701648000000,0.20973,29173.32664453
2023-12-03,0.21029,0.21472,0.20576,1701561600000,0.21282,14675.51582482
2023-12-02,0.21301,0.21799,0.20877,1701475200000,0.21364,40939.47034628
2023-12-01,0.21599,0.21611,0.20702,1701388800000,0.21245,20749.88603503
2023-11-30,0.21311,0.21655,0.20941,1701302400000,0.21075,11634.48032834
2023-11-29,0.21093,0.21524,0.20606,1701216000000,0.21448,22859.93764629
2023-11-28,0.21435,0.21718,0.21207,1701129600000,0.21207,9718.57368946
2023-11-27,0.21071,0.21425,0.20771,1701043200000,0.20802,29189.74752932
2023-11-26,0.20765,0.21162,0.20419,1700956800000,0.21,4185.76823366
2023-11-25,0.21188,0.21397,0.20832,1700870400000,0.20873,7.74024144
2023-11-24,0.2105,0.21146,0.20601,1700784000000,0.20858,1537.52365451
