date,close,high,low,mts,open,volume
2024-02-25,1.07e-06,1.07e-06,1.07e-06,1708819200000,1.07e-06,432393181.0
2024-02-24,1.08e-06,1.09e-06,1.08e-06,1708732800000,1.08e-06,3076948953.7363286
2024-02-23,1.08e-06,1.11e-06,1.07e-06,1708646400000,1.1e-06,13476530606.982195
2024-02-22,1.09e-06,1.1e-06,1.06e-06,1708560000000,1.06e-06,6258294080.812341
2024-02-21,1.06e-06,1.1e-06,1.05e-06,1708473600000,1.1e-06,5378946836.909575
2024-02-20,1.1e-06,1.13e-06,1.08e-06,1708387200000,1.13e-06,19181099126.694733
2024-02-19,1.13e-06,1.18e-06,1.13e-06,1708300800000,1.14e-06,11135592452.753004
2024-02-18,1.14e-06,1.18e-06,1.02e-06,1708214400000,1.02e-06,38198449233.9067
2024-02-17,1.02e-06,1.04e-06,1.01e-06,1708128000000,1.04e-06,1399492233.5961468
2024-02-16,1.04e-06,1.06e-06,1.03e-06,1708041600000,1.06e-06,5093958403.152355
2024-02-15,1.06e-06,1.11e-06,9.8e-07,1707955200000,9.9e-07,46276182519.59513
2024-02-14,9.9e-07,9.9e-07,9.7e-07,1707868800000,9.7e-07,2928881443.9971704
2024-02-13,9.7e-07,9.9e-07,9.7e-07,1707782400000,9.9e-07,1028425754.7021201
2024-02-12,1.01e-06,1.01e-06,9.9e-07,1707696000000,1e-06,43511204.43719679
2024-02-11,1e-06,1.03e-06,9.9e-07,1707609600000,1.02e-06,23728636584.604694
2024-02-10,1.01e-06,1.05e-06,9.8e-07,1707523200000,1.05e-06,8177430273.495962
2024-02-09,1.05e-06,1.07e-06,9.5e-07,1707436800000,1.02e-06,44706129433.66574
2024-02-08,1.02e-06,1.12e-06,8.1e-07,1707350400000,8.1e-07,66472537891.75646
2024-02-07,7.9e-07,7.9e-07,7.7e-07,1707264000000,7.8e-07,4121061144.448572
2024-02-06,7.9e-07,7.9e-07,7.8e-07,1707177600000,7.9e-07,3146277707.6158524
2024-02-05,8e-07,8e-07,8e-07,1707091200000,8e-07,9654141.9493
2024-02-04,8.1e-07,8.1e-07,8.1e-07,1707004800000,8.1e-07,722108001.8788642
