date,close,high,low,mts,open,volume
2024-02-25,7.7806,7.8542,7.6774,1708819200000,7.8163,7235.99859596
2024-02-24,7.822,7.8965,7.4388,1708732800000,7.594,24786.99471378
2024-02-23,7.5638,7.6418,7.2883,1708646400000,7.4989,9598.88701525
2024-02-22,7.4921,7.6759,7.2835,1708560000000,7.4527,8778.04490173
2024-02-21,7.4711,7.6897,7.222,1708473600000,7.6897,29042.71403523
2024-02-20,7.7155,8.0725,7.4041,1708387200000,8.0229,13489.70569794
2024-02-19,8.0099,8.1431,7.6472,1708300800000,7.8456,23572.24437258
2024-02-18,7.8536,7.899,7.7036,1708214400000,7.717,5436.29817652
2024-02-17,7.6992,7.6992,7.3288,1708128000000,7.6603,9826.92188379
2024-02-16,7.6456,7.8469,7.5415,1708041600000,7.7807,10532.0167556
2024-02-15,7.7686,7.9375,7.5309,1707955200000,7.6662,15385.28514258
2024-02-14,7.6477,7.7125,7.3003,1707868800000,7.3652,55546.40341281
2024-02-13,7.3728,7.4489,7.1575,1707782400000,7.358,24563.94761718
2024-02-12,7.3414,7.3799,7.0,1707696000000,7.0883,31811.19632613
2024-02-11,7.1078,7.3383,7.086,1707609600000,7.2033,19930.95450583
2024-02-10,7.2083,7.283,7.0696,1707523200000,7.2162,7508.83348985
2024-02-09,7.2008,7.3253,6.965,1707436800000,7.0061,32358.14270461
2024-02-08,7.0172,7.0988,6.8703,1707350400000,6.9456,14910.15030457
2024-02-07,6.9377,6.9549,6.6768,1707264000000,6.7964,7790.49613291
2024-02-06,6.8073,6.8314,6.6337,1707177600000,6.7206,4065.89625607
2024-02-05,6.7334,6.9698,6.5914,1707091200000,6.663,11577.74084006
2024-02-04,6.663,6.8214,6.6626,1707004800000,6.8214,5368.17555903
2024-02-03,6.8283,7.001,6.8129,1706918400000,6.9394,3241.7220664
2024-02-02,6.9327,7.0238,6.7655,1706832000000,6.7971,6155.11731126
2024-02-01,6.7929,6.8177,6.5383,1706745600000,6.6749,5264.58866254
2024-01-31,6.6526,6.88,6.5864,1706659200000,6.8642,13515.88583937
2024-01-30,6.836,7.0785,6.8265,1706572800000,7.0284,14875.1610489
2024-01-29,7.0305,7.2985,6.7139,1706486400000,6.871,29247.56118892
