date,close,high,low,mts,open,volume
2024-02-25,57.102,58.479,56.906,1708819200000,58.427,125.62764654
2024-02-24,58.411,58.701,55.0,1708732800000,56.268,960.55111057
2024-02-23,56.268,58.293,55.258,1708646400000,57.616,498.734376
2024-02-22,57.467,58.96,56.304,1708560000000,57.378,56.12911468
2024-02-21,57.71,60.117,55.684,1708473600000,60.117,261.75133425
2024-02-20,60.121,61.704,57.256,1708387200000,61.142,62.07273789
2024-02-19,60.895,61.674,59.15,1708300800000,59.475,23.74875857
2024-02-18,59.412,59.876,57.268,1708214400000,58.592,75.9975315
2024-02-17,57.846,59.235,56.3,1708128000000,59.235,267.61521439
2024-02-16,59.407,62.49,58.357,1708041600000,60.685,67.72891967
2024-02-15,60.844,61.282,59.004,1707955200000,60.799,856.96171479
2024-02-14,60.998,60.998,58.095,1707868800000,59.129,1786.86062135
2024-02-13,59.225,60.962,57.643,1707782400000,58.247,1010.37592244
2024-02-12,57.84,58.915,55.267,1707696000000,56.009,83.23076702
2024-02-11,55.861,56.722,55.235,1707609600000,56.64,141.84680766
2024-02-10,57.006,57.81,55.044,1707523200000,55.35,91.36245769
2024-02-09,55.457,55.457,53.854,1707436800000,54.072,106.77510463
2024-02-08,53.897,55.614,53.208,1707350400000,53.691,177.73649506
2024-02-07,53.495,53.593,50.956,1707264000000,52.482,84.05702103
2024-02-06,52.564,53.813,52.252,1707177600000,53.265,227.79246448
2024-02-05,53.265,54.347,52.542,1707091200000,53.473,5.92462046
2024-02-04,53.33,54.366,52.812,1707004800000,54.027,121.81838686
2024-02-03,54.024,55.729,53.916,1706918400000,55.561,28.72625694
2024-02-02,55.448,57.049,53.5,1706832000000,53.5,90.45485403
2024-02-01,53.472,53.529,51.535,1706745600000,53.122,137.87472437
2024-01-31,53.144,57.126,52.502,1706659200000,57.126,792.42349202
2024-01-30,56.881,59.078,55.291,1706572800000,55.925,252.42130224
2024-01-29,55.834,56.0,52.549,1706486400000,52.549,406.77061448
2024-01-28,53.105,54.31,52.39,1706400000000,53.762,517.47014679
2024-01-27,53.589,53.884,51.248,1706313600000,51.81,201.50754673
2024-01-26,51.812,52.101,48.633,1706227200000,49.014,1314.07767253
2024-01-25,49.018,49.7,47.832,1706140800000,49.7,110.21914257
2024-01-24,49.897,51.037,48.553,1706054400000,48.719,173.50533205
2024-01-23,48.825,51.114,46.37,1705968000000,49.953,354.96580044
2024-01-22,49.766,52.531,48.789,1705881600000,51.641,246.89065376
2024-01-21,51.8,52.977,51.731,1705795200000,52.475,34.87161967
2024-01-20,52.691,53.542,50.396,1705708800000,50.834,318.47020397
2024-01-19,50.931,52.009,47.962,1705622400000,52.009,191.73485162
2024-01-18,51.509,54.597,50.802,1705536000000,54.597,202.55587886
2024-01-17,54.708,57.613,53.941,1705449600000,55.624,334.39246054
2024-01-16,55.175,56.632,53.459,1705363200000,53.459,308.67266946
2024-01-15,53.361,54.702,52.576,1705276800000,52.587,139.48228813
2024-01-14,52.442,55.601,52.318,1705190400000,54.493,153.7071343
2024-01-13,54.448,54.835,52.323,1705104000000,53.939,1087.27851057
2024-01-12,53.978,58.447,52.427,1705017600000,57.634,155.76189464
2024-01-11,57.619,59.629,55.61,1704931200000,56.788,962.04315103
2024-01-10,56.577,58.351,50.267,1704844800000,53.233,2592.57652784
2024-01-09,52.897,55.525,51.329,1704758400000,55.429,522.52709366
2024-01-08,55.208,55.945,47.0,1704672000000,51.92,1614.08109188
2024-01-07,51.564,56.091,51.139,1704585600000,54.447,99.4587671
2024-01-06,54.46,57.228,51.993,1704499200000,57.213,280.06811967
2024-01-05,57.018,60.392,55.0,1704412800000,60.272,254.405231
2024-01-04,60.348,60.858,56.51,1704326400000,59.818,749.77067774
2024-01-03,59.801,71.095,52.071,1704240000000,69.923,2018.34018488
2024-01-02,69.041,73.0,68.679,1704153600000,71.176,193.36510419
2024-01-01,71.451,72.226,66.968,1704067200000,67.963,234.48863956
2023-12-31,67.929,70.923,66.868,1703980800000,68.562,36.36520682
2023-12-30,68.753,71.401,67.468,1703894400000,70.818,301.66150843
2023-12-29,71.083,71.627,67.4,1703808000000,69.825,65.91717044
2023-12-28,69.742,71.243,67.077,1703721600000,70.737,154.4038957
2023-12-27,70.725,74.682,69.831,1703635200000,71.789,164.15599380999998
2023-12-26,71.175,73.366,66.801,1703548800000,73.366,260.78082903
2023-12-25,73.15,78.0,72.532,1703462400000,72.833,446.1939409
2023-12-24,73.267,75.0,65.156,1703376000000,65.171,736.77962068
2023-12-23,65.862,66.241,60.918,1703289600000,61.928,243.16696751
2023-12-22,62.115,62.628,59.689,1703203200000,62.279,361.96653497
2023-12-21,62.084,64.773,61.575,1703116800000,63.558,427.84629355
2023-12-20,63.146,63.165,57.083,1703030400000,58.166,122.03583074
2023-12-19,58.156,60.0,56.882,1702944000000,59.314,187.95282234
2023-12-18,59.703,61.387,54.694,1702857600000,61.364,235.91084102
2023-12-17,60.959,65.0,60.911,1702771200000,60.911,92.73684101
2023-12-16,60.815,63.062,57.508,1702684800000,58.039,71.8643272
2023-12-15,58.015,60.798,58.0,1702598400000,60.798,764.60379559
2023-12-14,61.239,62.236,58.727,1702512000000,62.001,400.14246889
2023-12-13,62.412,63.0,57.8,1702425600000,61.783,197.68176697
2023-12-12,61.973,69.0,60.787,1702339200000,64.409,315.88012236
2023-12-11,63.926,66.408,60.204,1702252800000,65.386,613.08848781
2023-12-10,64.908,68.0,55.735,1702166400000,60.843,1388.02037658
2023-12-09,61.473,61.473,51.821,1702080000000,52.574,1099.99356145
2023-12-08,52.261,52.69,49.301,1701993600000,50.273,215.37354643
2023-12-07,50.059,50.091,47.752,1701907200000,48.781,53.09717087
2023-12-06,48.523,51.819,47.902,1701820800000,51.819,114.71356717
2023-12-05,50.454,51.902,48.89,1701734400000,51.902,194.8278135
2023-12-04,52.0,53.296,48.02,1701648000000,49.54,538.48035198
2023-12-03,48.913,53.0,45.944,1701561600000,46.395,623.82216163
2023-12-02,46.569,46.569,45.386,1701475200000,45.402,111.090557
2023-12-01,45.257,45.706,43.071,1701388800000,43.106,207.57141989000002
2023-11-30,43.287,43.82,42.79,1701302400000,43.478,97.81549691000001
2023-11-29,43.394,44.569,43.077,1701216000000,43.62,153.7561602
2023-11-28,43.841,43.893,42.435,1701129600000,43.755,153.5655588
2023-11-27,43.956,45.182,43.447,1701043200000,45.182,43.81151244
2023-11-26,45.67,45.94,44.723,1700956800000,45.902,36.96757333
2023-11-25,46.556,47.38,45.959,1700870400000,46.699,154.05362993
2023-11-24,47.053,47.33,44.31,1700784000000,44.31,180.59938165
2023-11-23,43.613,44.29,43.4,1700697600000,43.638,68.82541907
2023-11-22,43.95,43.95,39.837,1700611200000,39.837,522.0712356
2023-11-21,39.566,44.82,39.566,1700524800000,44.799,1855.46312347
2023-11-20,45.23,45.989,45.23,1700438400000,45.368,68.4888578
2023-11-19,45.49,45.49,43.622,1700352000000,43.622,45.9917206
2023-11-18,43.391,43.802,41.347,1700265600000,43.096,175.02939634999998
2023-11-17,45.575,45.688,44.102,1700179200000,44.205,101.98180893
2023-11-16,43.399,48.94,43.0,1700092800000,47.125,286.45983414
2023-11-15,47.272,47.84,46.531,1700006400000,46.748,271.72469451
2023-11-14,45.04,46.05,42.935,1699920000000,43.001,276.94165509
2023-11-13,44.803,46.087,42.818,1699833600000,44.17,1161.31052811
2023-11-12,44.762,45.001,41.453,1699747200000,41.498,5817.57072416
2023-11-11,43.579,45.804,43.028,1699660800000,45.804,213.0882699
2023-11-10,46.602,46.828,41.109,1699574400000,41.406,505.67679331
2023-11-09,40.777,43.86,38.5,1699488000000,42.211,286.22971546
2023-11-08,42.862,42.885,41.435,1699401600000,42.873,232.28446172
2023-11-07,42.892,44.286,41.292,1699315200000,44.286,1108.06376212
2023-11-06,44.399,48.319,43.939,1699228800000,48.319,789.99882882
2023-11-05,47.909,54.358,35.0,1699142400000,35.0,7443.88846684
2023-11-04,34.576,34.637,33.304,1699056000000,33.304,254.37886554
2023-11-03,32.854,32.854,31.653,1698969600000,32.486,112.05015082999999
2023-11-02,32.808,34.01,31.966,1698883200000,33.01,230.44394252
2023-11-01,32.249,32.457,29.956,1698796800000,30.051,158.25096899
2023-10-31,30.008,31.04,29.327,1698710400000,30.964,248.19116714
2023-10-30,30.731,30.811,29.929,1698624000000,30.513,71.25260086
2023-10-29,30.08,30.08,29.017,1698537600000,29.017,12.37478683
2023-10-28,29.323,29.45,28.746,1698451200000,28.746,11.092347
2023-10-27,28.71,29.429,28.247,1698364800000,29.085,23.70174284
2023-10-26,29.089,30.054,27.978,1698278400000,29.095,358.14988738
2023-10-25,29.031,29.612,28.335,1698192000000,28.634,277.10958767
2023-10-24,28.856,30.0,28.03,1698105600000,29.382,754.48778951
2023-10-23,29.307,29.307,26.502,1698019200000,26.622,624.13600629
2023-10-22,26.896,26.896,25.533,1697932800000,25.818,286.15063448
2023-10-21,25.855,26.492,24.4,1697846400000,24.962,1506.73335007
2023-10-20,24.915,26.244,23.291,1697760000000,23.483,1185.50763806
2023-10-19,23.477,24.651,23.313,1697673600000,24.148,434.79684617
2023-10-18,24.448,24.459,23.787,1697587200000,24.237,466.65183874
2023-10-17,24.272,25.202,23.886,1697500800000,25.148,159.00792393999998
2023-10-16,25.348,29.546,24.55,1697414400000,24.55,4799.52499367
2023-10-15,24.404,24.769,23.814,1697328000000,24.021,1048.44862647
2023-10-14,23.985,24.104,23.5,1697241600000,23.5,35.91994499
2023-10-13,23.472,23.787,23.176,1697155200000,23.197,51.07559946
2023-10-12,23.19,23.253,22.668,1697068800000,22.83,529.75593903
2023-10-11,22.841,23.042,22.488,1696982400000,23.009,1145.80198598
2023-10-10,22.995,23.061,22.7,1696896000000,22.965,242.07136036
2023-10-09,22.905,24.562,22.8,1696809600000,24.501,1974.75117804
2023-10-08,24.53,24.653,24.059,1696723200000,24.191,26.58347809
2023-10-07,24.2,24.467,23.981,1696636800000,24.24,26.53042306
2023-10-06,24.284,24.499,23.914,1696550400000,24.07,4.75890798
2023-10-05,24.04,24.765,24.04,1696464000000,24.694,49.17462262
2023-10-04,24.744,24.801,23.8,1696377600000,24.378,83.41657501
2023-10-03,24.437,25.028,24.383,1696291200000,24.905,43.1464693
2023-10-02,24.943,26.034,24.589,1696204800000,25.984,76.97160711
2023-10-01,25.945,26.194,25.226,1696118400000,25.331,63.90302164
2023-09-30,25.401,25.699,25.167,1696032000000,25.202,73.68489618
2023-09-29,25.149,25.202,24.659,1695945600000,24.798,43.07881373
2023-09-28,24.773,24.84,23.648,1695859200000,23.69,84.15020302
2023-09-27,23.668,24.548,23.595,1695772800000,24.512,75.72703149
2023-09-26,24.555,24.94,24.351,1695686400000,24.758,29.27526264
2023-09-25,24.729,24.909,23.83,1695600000000,24.214,1980.75606666
2023-09-24,24.286,25.17,24.235,1695513600000,25.116,107.49572847
2023-09-23,25.228,25.581,24.755,1695427200000,25.581,89.97892688
2023-09-22,25.418,25.863,25.277,1695340800000,25.793,59.88368679
2023-09-21,26.206,28.691,25.791,1695254400000,25.791,2293.40393667
2023-09-20,25.755,26.217,25.404,1695168000000,26.203,73.55484
2023-09-19,26.161,26.354,25.692,1695081600000,25.763,94.50820618
2023-09-18,25.714,26.365,25.26,1694995200000,25.403,193.92780033
2023-09-17,25.416,26.663,25.062,1694908800000,26.663,416.65368431
2023-09-16,26.552,26.639,24.84,1694822400000,24.84,2330.20427577
2023-09-15,24.805,25.009,24.328,1694736000000,24.486,127.36270591
2023-09-14,24.408,24.681,23.407,1694649600000,23.669,61.32543184
2023-09-13,23.594,23.816,22.862,1694563200000,22.921,160.16237667000001
2023-09-12,22.886,23.814,22.679,1694476800000,22.701,106.73483032
2023-09-11,22.653,23.596,22.3,1694390400000,23.545,122.34068492
2023-09-10,23.595,24.401,23.12,1694304000000,24.401,122.1420588
2023-09-09,24.448,24.717,24.448,1694217600000,24.497,7.3806726099999995
2023-09-08,24.533,24.917,24.376,1694131200000,24.818,24.93368447
2023-09-07,24.796,24.946,24.484,1694044800000,24.631,48.24952583
2023-09-06,24.615,25.066,24.005,1693958400000,25.066,71.23169433
2023-09-05,25.021,25.451,24.677,1693872000000,24.956,65.95476531
2023-09-04,24.944,25.013,24.63,1693785600000,24.887,15.231606209999999
