date,close,high,low,mts,open,volume
2024-02-25,0.79366,0.80369,0.78745,1708819200000,0.80259,152058.27964473
2024-02-24,0.8042,0.8244,0.78057,1708732800000,0.80251,217338.54760801
2024-02-23,0.79932,0.8797,0.76193,1708646400000,0.77751,1153167.62190171
2024-02-22,0.77262,0.78236,0.75069,1708560000000,0.76321,469879.08938763
2024-02-21,0.7633,0.79562,0.737,1708473600000,0.7956,192278.83217235
2024-02-20,0.8,0.80582,0.75201,1708387200000,0.79165,438676.64916653
2024-02-19,0.79165,0.79187,0.7746,1708300800000,0.77755,464471.69285093
2024-02-18,0.77639,0.78485,0.76262,1708214400000,0.76808,208381.8930123
2024-02-17,0.76805,0.77279,0.7432,1708128000000,0.76599,160397.69062887
2024-02-16,0.7669,0.78256,0.74862,1708041600000,0.77219,355178.09520366
2024-02-15,0.77221,0.78024,0.75556,1707955200000,0.7563,519403.80137399
2024-02-14,0.7567,0.76077,0.7314,1707868800000,0.73754,215531.40474371
2024-02-13,0.73812,0.7574,0.725,1707782400000,0.75694,431677.6494949
2024-02-12,0.75366,0.75931,0.71868,1707696000000,0.73579,252791.93939116
2024-02-11,0.73482,0.74841,0.73042,1707609600000,0.73476,131520.51552183
2024-02-10,0.73583,0.74364,0.72585,1707523200000,0.74306,66839.74885564
2024-02-09,0.74157,0.75233,0.71951,1707436800000,0.71951,764285.94202934
2024-02-08,0.719,0.72605,0.71326,1707350400000,0.72008,215838.01204555
2024-02-07,0.71911,0.72377,0.7038,1707264000000,0.7131,175947.54722358
2024-02-06,0.7123,0.72302,0.71128,1707177600000,0.71168,258703.66168321
2024-02-05,0.7093,0.71099,0.68849,1707091200000,0.69701,106254.23047935
2024-02-04,0.69665,0.71965,0.692,1707004800000,0.71965,78305.7645079
2024-02-03,0.7236,0.73224,0.7098,1706918400000,0.71373,263851.77827224
2024-02-02,0.71508,0.71518,0.6966,1706832000000,0.70296,138506.30374289
2024-02-01,0.703,0.7043,0.67617,1706745600000,0.69241,260833.14651977
2024-01-31,0.6892,0.70534,0.67992,1706659200000,0.70429,147888.21515885
2024-01-30,0.701,0.72475,0.70085,1706572800000,0.71808,112639.75808886
2024-01-29,0.71741,0.72,0.69588,1706486400000,0.707,64267.54687874
2024-01-28,0.70988,0.73342,0.70073,1706400000000,0.70983,194432.90284542
2024-01-27,0.70993,0.712,0.69624,1706313600000,0.70709,90836.1848231
2024-01-26,0.70449,0.70729,0.68541,1706227200000,0.68888,187188.91315027
2024-01-25,0.68941,0.69358,0.67467,1706140800000,0.68918,290290.41754624
2024-01-24,0.68891,0.69,0.6703,1706054400000,0.67631,44003.63447905
2024-01-23,0.67781,0.70509,0.64444,1705968000000,0.69118,444633.96835245
2024-01-22,0.69077,0.726,0.67649,1705881600000,0.72238,346743.88205817
