date,close,high,low,mts,open,volume
2024-02-25,26.8,27.406,25.999,1708819200000,26.121,4482.11678087
2024-02-24,26.144,26.187,25.111,1708732800000,25.399,4203.11099351
2024-02-23,25.469,25.936,24.991,1708646400000,25.863,2042.97813589
2024-02-22,25.813,26.363,25.456,1708560000000,26.029,2060.12619244
2024-02-21,26.073,27.25,25.148,1708473600000,27.25,5759.58789223
2024-02-20,27.007,27.632,25.869,1708387200000,27.632,1642.33073934
2024-02-19,27.415,27.883,26.248,1708300800000,26.502,10878.90965596
2024-02-18,26.536,26.708,25.743,1708214400000,26.012,3329.8897627300003
2024-02-17,26.013,26.782,25.435,1708128000000,26.715,1232.39094167
2024-02-16,26.831,27.4,26.285,1708041600000,26.72,2647.1872296
2024-02-15,26.779,27.474,26.337,1707955200000,26.875,1018.62768377
2024-02-14,26.886,27.144,25.79,1707868800000,26.145,3305.57419027
2024-02-13,26.225,27.285,25.801,1707782400000,26.983,6727.32935104
2024-02-12,26.987,27.19,25.499,1707696000000,25.873,32286.80464193
2024-02-11,25.903,26.367,25.58,1707609600000,25.896,29314.13659603
2024-02-10,25.893,26.393,25.429,1707523200000,26.245,2047.45413832
2024-02-09,26.187,26.7,25.576,1707436800000,25.716,6339.3176814
2024-02-08,25.637,25.822,25.052,1707350400000,25.216,1178.24426084
2024-02-07,25.173,25.331,24.304,1707264000000,24.736,1254.3994142
2024-02-06,24.737,24.953,24.175,1707177600000,24.259,6431.37547582
2024-02-05,24.306,25.169,24.067,1707091200000,24.988,4113.52853573
2024-02-04,25.028,25.611,24.648,1707004800000,24.85,4306.16869086
2024-02-03,24.85,25.696,24.527,1706918400000,25.198,3003.91686304
2024-02-02,25.114,25.395,24.37,1706832000000,24.37,1165.23343904
2024-02-01,24.4,24.907,23.512,1706745600000,24.349,8160.76591677
2024-01-31,24.372,25.818,24.131,1706659200000,25.456,1924.53041578
2024-01-30,25.352,26.213,24.528,1706572800000,24.7,4877.51431128
2024-01-29,24.736,24.841,23.06,1706486400000,23.46,3706.24434894
2024-01-28,23.49,24.472,23.365,1706400000000,23.943,5889.38854395
2024-01-27,23.996,24.595,23.834,1706313600000,24.074,2538.68813712
2024-01-26,23.878,24.11,22.874,1706227200000,23.236,3936.95608174
2024-01-25,23.293,23.51,22.205,1706140800000,22.919,3310.83297892
2024-01-24,23.03,23.471,22.592,1706054400000,23.141,568.28372454
2024-01-23,23.151,23.852,21.724,1705968000000,22.99,20803.95598366
2024-01-22,22.884,24.655,22.823,1705881600000,24.5,5965.09015092
2024-01-21,24.505,25.405,24.505,1705795200000,24.748,1143.30406613
2024-01-20,24.752,25.311,24.18,1705708800000,25.311,5550.53096949
2024-01-19,25.312,25.486,22.896,1705622400000,24.533,6233.04352902
2024-01-18,24.461,26.129,24.061,1705536000000,26.129,8051.68109209
2024-01-17,26.157,27.349,25.653,1705449600000,27.238,4570.4895902
2024-01-16,27.321,27.687,26.061,1705363200000,26.659,11397.90466721
2024-01-15,26.757,27.727,26.07,1705276800000,26.581,11651.77801675
2024-01-14,26.38,28.555,26.271,1705190400000,28.555,3867.79118785
2024-01-13,28.662,29.963,27.911,1705104000000,29.276,9973.67140348
2024-01-12,29.064,32.415,27.619,1705017600000,29.747,21430.6459617
2024-01-11,29.632,32.119,25.816,1704931200000,26.586,48150.72550227
2024-01-10,26.16,26.582,20.364,1704844800000,21.182,20421.1394426
2024-01-09,21.206,21.206,19.47,1704758400000,20.377,6122.06827012
2024-01-08,20.3,20.434,18.352,1704672000000,19.308,7658.0957069999995
2024-01-07,19.259,20.099,19.044,1704585600000,19.893,1329.29735829
2024-01-06,19.898,20.279,19.361,1704499200000,20.168,1675.14076169
2024-01-05,20.128,20.644,19.354,1704412800000,20.485,1811.08105402
2024-01-04,20.533,20.761,19.816,1704326400000,20.096,2487.90437224
2024-01-03,20.043,22.407,18.202,1704240000000,22.017,14300.66696365
2024-01-02,22.005,23.032,21.937,1704153600000,22.475,2192.80951805
2024-01-01,22.524,22.527,21.519,1704067200000,21.952,3216.95691515
2023-12-31,21.912,22.497,21.415,1703980800000,22.261,1788.80109454
2023-12-30,22.299,23.327,22.157,1703894400000,22.479,1205.59142285
2023-12-29,22.539,23.421,21.832,1703808000000,22.731,5005.77856455
2023-12-28,22.455,24.381,22.182,1703721600000,22.76,8529.43878728
2023-12-27,22.654,22.737,20.41,1703635200000,20.886,4157.76486215
2023-12-26,20.848,21.467,19.644,1703548800000,21.397,9016.39454876
2023-12-25,21.469,21.691,20.655,1703462400000,20.863,4106.26348231
2023-12-24,20.932,21.716,20.541,1703376000000,21.489,1901.99926057
2023-12-23,21.54,22.289,21.04,1703289600000,21.951,1933.19152498
2023-12-22,21.923,22.173,20.611,1703203200000,20.654,6148.20102778
2023-12-21,20.691,20.95,20.044,1703116800000,20.167,1453.60237052
2023-12-20,20.184,20.586,19.612,1703030400000,19.703,2404.12513429
2023-12-19,19.671,20.158,19.465,1702944000000,19.832,3137.65658845
2023-12-18,19.931,20.078,18.791,1702857600000,20.041,5979.52541587
2023-12-17,19.988,20.719,19.9,1702771200000,20.719,1318.72350022
2023-12-16,20.766,20.868,19.751,1702684800000,19.986,879.38605868
2023-12-15,19.94,20.898,19.844,1702598400000,20.873,1710.33659436
2023-12-14,20.892,20.985,20.033,1702512000000,20.782,5392.51780238
2023-12-13,20.735,20.884,19.459,1702425600000,20.313,1555.62549811
2023-12-12,20.36,20.56,19.891,1702339200000,20.224,1198.95153759
2023-12-11,20.184,22.011,18.181,1702252800000,22.011,15114.01079484
2023-12-10,21.972,22.506,21.46,1702166400000,22.049,5575.48715033
2023-12-09,22.16,23.408,21.703,1702080000000,22.323,14038.90749677
2023-12-08,22.279,22.6,21.807,1701993600000,22.082,2646.79435391
2023-12-07,21.955,22.326,20.31,1701907200000,20.31,7486.0144482
2023-12-06,20.215,20.87,19.905,1701820800000,20.291,11614.74262006
2023-12-05,20.285,20.45,19.303,1701734400000,19.91,3227.40571871
2023-12-04,19.941,20.334,19.447,1701648000000,19.811,8515.96105232
2023-12-03,19.809,19.992,19.054,1701561600000,19.6,8642.76790595
2023-12-02,19.611,19.702,19.003,1701475200000,19.003,3954.1709509
2023-12-01,18.976,19.09,18.611,1701388800000,18.611,396.02351754
2023-11-30,18.627,18.781,18.516,1701302400000,18.734,147.08512203
2023-11-29,18.749,19.038,18.596,1701216000000,18.893,4090.5795225399997
2023-11-28,18.854,18.997,18.259,1701129600000,18.528,3862.80819322
2023-11-27,18.58,19.038,18.166,1701043200000,19.038,689.85480428
2023-11-26,19.104,19.521,18.499,1700956800000,19.455,1364.5311517
2023-11-25,19.445,19.534,19.158,1700870400000,19.197,3212.76698779
2023-11-24,19.194,19.558,18.903,1700784000000,18.941,3953.0526492
2023-11-23,18.919,19.144,18.775,1700697600000,19.011,199.79499753
2023-11-22,19.041,19.286,18.254,1700611200000,18.306,6798.55133554
2023-11-21,18.255,19.598,17.633,1700524800000,19.471,13063.3479753
2023-11-20,19.553,19.932,19.282,1700438400000,19.528,347.19404326
2023-11-19,19.539,19.539,18.965,1700352000000,19.215,653.4872539200001
2023-11-18,19.238,19.319,18.458,1700265600000,19.319,333.29301751
2023-11-17,19.378,19.594,18.444,1700179200000,19.328,873.92954415
2023-11-16,19.264,20.581,18.939,1700092800000,20.047,3346.88676267
2023-11-15,19.856,19.856,18.777,1700006400000,19.057,12414.874035929999
2023-11-14,19.039,20.117,18.363,1699920000000,20.0,7023.08588467
2023-11-13,20.039,21.07,19.573,1699833600000,20.058,24277.02948618
2023-11-12,19.978,20.281,19.123,1699747200000,19.981,3213.71842454
2023-11-11,20.127,20.725,19.592,1699660800000,20.725,5680.58016375
2023-11-10,20.742,21.809,20.194,1699574400000,20.85,10126.78641533
2023-11-09,20.657,20.682,17.841,1699488000000,18.325,36384.29714577
2023-11-08,18.361,18.469,18.045,1699401600000,18.145,398.87608506
2023-11-07,18.124,18.504,17.589,1699315200000,18.47,2814.29940359
2023-11-06,18.55,18.921,17.658,1699228800000,18.017,1905.57969122
2023-11-05,18.009,18.358,17.395,1699142400000,17.395,3576.27296418
2023-11-04,17.527,17.609,17.13,1699056000000,17.27,717.40992525
2023-11-03,17.28,17.288,16.757,1698969600000,17.186,1126.66746817
2023-11-02,17.215,17.973,16.808,1698883200000,17.797,3102.81402651
2023-11-01,17.783,18.004,17.02,1698796800000,17.575,9349.36661253
2023-10-31,17.414,17.77,16.463,1698710400000,16.843,6185.93961698
2023-10-30,16.796,16.926,16.298,1698624000000,16.66,2636.87902588
2023-10-29,16.68,16.73,16.015,1698537600000,16.251,2840.34597825
2023-10-28,16.248,16.421,16.061,1698451200000,16.084,1605.66407995
2023-10-27,16.087,16.582,15.77,1698364800000,16.54,1474.77817913
2023-10-26,16.579,17.164,15.857,1698278400000,16.414,7471.88369356
2023-10-25,16.384,16.764,16.22,1698192000000,16.485,3348.63579733
2023-10-24,16.502,17.299,16.027,1698105600000,16.655,7842.26677454
2023-10-23,16.617,16.747,15.696,1698019200000,15.838,16139.3099434
2023-10-22,15.881,15.89,15.317,1697932800000,15.75,1911.86441104
2023-10-21,15.707,15.84,15.234,1697846400000,15.439,1326.12744963
2023-10-20,15.305,15.504,14.77,1697760000000,14.831,1128.68928535
2023-10-19,14.812,14.86,14.643,1697673600000,14.837,1354.91116857
2023-10-18,14.809,15.044,14.794,1697587200000,14.941,1558.49731637
2023-10-17,14.966,15.261,14.735,1697500800000,15.258,1166.32118062
2023-10-16,15.25,15.883,14.939,1697414400000,14.939,3694.01269518
2023-10-15,14.939,15.085,14.88,1697328000000,14.997,682.34513931
2023-10-14,15.018,15.033,14.836,1697241600000,14.868,477.92684511
2023-10-13,14.868,14.991,14.712,1697155200000,14.792,181.44562009
2023-10-12,14.774,15.089,14.618,1697068800000,14.918,3307.835061
2023-10-11,14.929,14.965,14.561,1696982400000,14.948,1014.6307894
2023-10-10,14.964,15.159,14.817,1696896000000,15.056,817.93573955
2023-10-09,15.048,15.504,14.436,1696809600000,15.486,16842.80343711
2023-10-08,15.521,15.704,15.359,1696723200000,15.648,615.48289511
2023-10-07,15.659,15.769,15.535,1696636800000,15.743,272.17264112
2023-10-06,15.727,15.851,15.394,1696550400000,15.438,460.22907444
2023-10-05,15.451,15.799,15.377,1696464000000,15.635,7642.09622898
2023-10-04,15.666,15.719,15.118,1696377600000,15.68,2224.57647178
2023-10-03,15.687,16.684,15.643,1696291200000,16.145,1336.88966492
2023-10-02,16.204,16.924,15.795,1696204800000,16.713,1997.26426786
2023-10-01,16.694,16.827,16.238,1696118400000,16.345,1347.66281855
2023-09-30,16.366,16.83,15.818,1696032000000,15.888,2812.30673005
2023-09-29,15.882,16.047,15.668,1695945600000,15.84,8686.18165766
2023-09-28,15.821,15.957,15.356,1695859200000,15.356,530.34301637
2023-09-27,15.371,15.765,15.066,1695772800000,15.11,3274.44389501
2023-09-26,15.122,15.294,14.911,1695686400000,15.219,2251.2374019
2023-09-25,15.228,15.37,15.008,1695600000000,15.118,572.66922504
2023-09-24,15.095,15.413,14.954,1695513600000,15.254,871.43875743
2023-09-23,15.276,15.316,15.153,1695427200000,15.222,181.25434483
2023-09-22,15.195,15.342,15.102,1695340800000,15.238,676.78774763
2023-09-21,15.22,15.63,15.073,1695254400000,15.564,1614.18497419
2023-09-20,15.605,15.797,15.418,1695168000000,15.746,344.87159551
2023-09-19,15.772,15.943,15.639,1695081600000,15.663,2133.96390433
2023-09-18,15.698,16.03,15.311,1694995200000,15.42,1477.72818134
2023-09-17,15.407,15.678,15.243,1694908800000,15.657,857.80791575
2023-09-16,15.659,15.972,15.488,1694822400000,15.724,444.81846663
2023-09-15,15.699,15.866,15.225,1694736000000,15.292,10512.59387164
2023-09-14,15.259,15.391,15.022,1694649600000,15.167,2232.57776063
2023-09-13,15.15,15.224,14.884,1694563200000,14.93,493.86988538
2023-09-12,14.981,15.253,14.72,1694476800000,14.72,469.51049503
2023-09-11,14.73,15.154,14.455,1694390400000,15.116,1055.09129907
2023-09-10,15.117,15.387,14.515,1694304000000,15.385,10385.28463837
2023-09-09,15.403,15.499,15.369,1694217600000,15.424,133.8735585
2023-09-08,15.434,15.646,15.189,1694131200000,15.546,1107.70242567
2023-09-07,15.578,15.71,15.345,1694044800000,15.482,683.56457665
2023-09-06,15.493,15.67,15.14,1693958400000,15.412,2643.70487769
2023-09-05,15.395,15.445,15.113,1693872000000,15.358,1608.22129
2023-09-04,15.37,15.51,15.13,1693785600000,15.392,1056.5754149
2023-09-03,15.402,15.534,15.219,1693699200000,15.445,113.54238641
2023-09-02,15.46,15.527,15.303,1693612800000,15.406,377.37886076
2023-09-01,15.392,15.654,15.222,1693526400000,15.546,1119.97790649
2023-08-31,15.521,16.205,15.243,1693440000000,15.996,2134.07882232
2023-08-30,16.045,16.91,16.008,1693353600000,16.904,1231.58106705
2023-08-29,16.887,17.189,15.584,1693267200000,15.934,9683.63570603
2023-08-28,15.919,16.02,15.611,1693180800000,16.02,1486.5265972
2023-08-27,16.017,16.076,15.755,1693094400000,15.87,833.22178831
2023-08-26,15.888,16.103,15.763,1693008000000,15.991,976.61535385
2023-08-25,16.011,16.118,15.751,1692921600000,16.001,813.42474179
2023-08-24,16.12,16.259,15.827,1692835200000,16.21,228.50996363
2023-08-23,16.196,16.258,15.52,1692748800000,15.52,6391.92241709
2023-08-22,15.481,15.842,14.886,1692662400000,15.783,6280.41808031
2023-08-21,15.809,15.927,15.345,1692576000000,15.593,2230.74249988
2023-08-20,15.572,15.638,15.365,1692489600000,15.588,109.41235229
2023-08-19,15.556,15.748,15.318,1692403200000,15.437,1174.56636845
2023-08-18,15.385,15.881,14.96,1692316800000,14.961,1265.59582153
2023-08-17,14.939,16.385,13.351,1692230400000,16.261,14322.53889616
2023-08-16,16.274,16.749,15.737,1692144000000,16.72,3233.25263682
2023-08-15,16.686,17.525,15.931,1692057600000,17.521,2899.05616853
2023-08-14,17.515,17.627,17.375,1691971200000,17.512,1507.47798398
2023-08-13,17.53,17.882,17.425,1691884800000,17.728,2396.88829456
2023-08-12,17.755,17.757,17.6,1691798400000,17.66,190.96927358
2023-08-11,17.633,17.743,17.511,1691712000000,17.738,493.150114
2023-08-10,17.715,17.876,17.618,1691625600000,17.871,600.09200901
2023-08-09,17.876,18.077,17.678,1691539200000,17.935,337.20529571
2023-08-08,17.97,18.155,17.599,1691452800000,17.717,2872.35853108
2023-08-07,17.717,18.008,17.195,1691366400000,17.872,2617.42707588
2023-08-06,17.837,18.001,17.821,1691280000000,17.922,827.49982369
2023-08-05,17.948,17.95,17.733,1691193600000,17.92,1002.75113148
2023-08-04,17.97,18.117,17.7,1691107200000,17.925,439.02542258
2023-08-03,17.975,18.179,17.835,1691020800000,18.057,633.1418582599999
2023-08-02,18.074,18.581,17.757,1690934400000,18.568,760.19596775
2023-08-01,18.565,18.568,17.791,1690848000000,18.486,2519.33182116
2023-07-31,18.538,19.037,18.354,1690761600000,18.859,1408.39752529
2023-07-30,18.876,19.135,18.217,1690675200000,18.59,4192.39484861
2023-07-29,18.63,18.643,18.422,1690588800000,18.443,356.35858024
2023-07-28,18.478,18.818,18.406,1690502400000,18.436,1380.74769876
2023-07-27,18.392,18.424,18.021,1690416000000,18.299,775.09530383
2023-07-26,18.314,18.497,17.927,1690329600000,18.134,673.71966424
2023-07-25,18.1,18.198,17.947,1690243200000,18.188,414.32321368
2023-07-24,18.127,18.785,17.713,1690156800000,18.687,9700.97780674
2023-07-23,18.728,18.901,18.428,1690070400000,18.453,693.50210476
2023-07-22,18.504,18.892,18.259,1689984000000,18.77,2075.37467909
2023-07-21,18.752,18.936,18.607,1689897600000,18.703,437.16748862
2023-07-20,18.686,19.194,18.518,1689811200000,18.804,1274.13159312
