date,close,high,low,mts,open,volume
2024-02-25,3056.5,3072.9,2988.7,1708819200000,2994.9,15227.47919951
2024-02-24,2994.4,3007.2,2907.4,1708732800000,2921.7,3518.73279282
2024-02-23,2922.0,2992.5,2905.7,1708646400000,2973.1,3687.48569966
2024-02-22,2969.0,3032.8,2906.9,1708560000000,2968.6,15688.54657202
2024-02-21,2969.1,3011.8,2870.0,1708473600000,3009.7,11387.4757962
2024-02-20,3010.3,3022.1,2873.6,1708387200000,2943.0,23080.970679590002
2024-02-19,2941.5,2976.6,2856.4,1708300800000,2877.1,23729.98349693
2024-02-18,2877.1,2893.4,2764.0,1708214400000,2783.5,16113.568580180001
2024-02-17,2785.3,2803.4,2717.4,1708128000000,2801.1,3258.60875318
2024-02-16,2801.8,2851.2,2741.9,1708041600000,2821.9,11593.78801106
2024-02-15,2822.7,2858.9,2757.5,1707955200000,2774.8,25167.19327961
2024-02-14,2775.0,2785.8,2622.4,1707868800000,2643.7,16744.94862019
2024-02-13,2643.9,2688.0,2592.3,1707782400000,2662.4,12172.01125984
2024-02-12,2659.8,2665.4,2474.4,1707696000000,2509.6,16155.11787172
2024-02-11,2508.9,2541.3,2496.3,1707609600000,2502.9,4332.43732936
2024-02-10,2503.3,2518.8,2473.7,1707523200000,2488.1,3548.13309176
2024-02-09,2487.6,2528.4,2418.5,1707436800000,2420.6,34513.92481844
2024-02-08,2419.2,2460.8,2411.6,1707350400000,2424.4,3426.90373961
2024-02-07,2423.7,2444.3,2354.8,1707264000000,2372.6,2900.44780615
2024-02-06,2374.3,2391.0,2299.1,1707177600000,2300.3,3936.62063235
2024-02-05,2301.1,2338.1,2269.9,1707091200000,2289.2,2300.1543658
2024-02-04,2289.3,2310.0,2267.1,1707004800000,2295.8,2874.21753895
2024-02-03,2296.1,2329.0,2293.2,1706918400000,2307.4,1007.63447841
2024-02-02,2308.0,2324.3,2282.3,1706832000000,2304.9,2269.2667738
2024-02-01,2304.7,2311.4,2240.9,1706745600000,2283.0,3491.55790332
2024-01-31,2283.6,2351.0,2264.2,1706659200000,2346.8,2854.82375386
2024-01-30,2344.2,2391.0,2297.6,1706572800000,2312.7,3833.12001033
2024-01-29,2317.0,2322.3,2234.1,1706486400000,2257.3,3695.6692451
2024-01-28,2257.4,2306.3,2239.0,1706400000000,2267.7,1821.86272171
2024-01-27,2268.7,2282.9,2251.5,1706313600000,2268.1,934.73008248
2024-01-26,2266.9,2287.9,2197.5,1706227200000,2220.5,3315.86441095
2024-01-25,2220.1,2244.6,2172.0,1706140800000,2236.5,4863.8710450300005
2024-01-24,2237.1,2267.0,2195.6,1706054400000,2244.6,4537.36249186
2024-01-23,2246.3,2353.5,2168.4,1705968000000,2315.7,32044.28567064
2024-01-22,2315.0,2469.4,2305.0,1705881600000,2462.5,19790.52105866
2024-01-21,2458.0,2486.7,2456.5,1705795200000,2475.8,1112.74165087
2024-01-20,2473.3,2494.0,2457.6,1705708800000,2493.4,2571.84654697
2024-01-19,2494.1,2507.6,2418.6,1705622400000,2470.9,8771.71316868
2024-01-18,2471.0,2549.1,2428.6,1705536000000,2530.4,4849.15355652
2024-01-17,2530.8,2593.9,2508.0,1705449600000,2588.6,5641.24688216
2024-01-16,2586.7,2616.7,2497.2,1705363200000,2512.2,3579.3156237
2024-01-15,2514.6,2552.5,2472.1,1705276800000,2474.6,2869.86659517
2024-01-14,2472.7,2578.5,2468.7,1705190400000,2577.5,3673.61811048
2024-01-13,2576.2,2589.0,2498.2,1705104000000,2527.0,5632.50850463
2024-01-12,2524.0,2715.9,2457.3,1705017600000,2618.5,17760.77411961
2024-01-11,2620.0,2685.9,2562.3,1704931200000,2583.3,26161.06695155
2024-01-10,2580.4,2635.1,2340.4,1704844800000,2344.5,34325.16390527
2024-01-09,2344.1,2371.5,2226.7,1704758400000,2333.0,12598.71964245
2024-01-08,2333.0,2359.6,2168.4,1704672000000,2223.6,7226.86144985
2024-01-07,2224.1,2260.0,2206.6,1704585600000,2242.9,1908.34561305
2024-01-06,2242.0,2272.9,2218.5,1704499200000,2271.6,3332.46799595
2024-01-05,2270.1,2279.5,2209.5,1704412800000,2271.0,4118.39445869
2024-01-04,2270.8,2298.4,2204.7,1704326400000,2211.3,6225.54945868
2024-01-03,2211.8,2387.1,2097.4,1704240000000,2358.2,21831.3641157
2024-01-02,2356.7,2431.9,2340.0,1704153600000,2352.7,12905.24556897
2024-01-01,2352.5,2352.6,2269.5,1704067200000,2286.5,5240.32140427
2023-12-31,2284.9,2323.7,2260.0,1703980800000,2294.0,2123.55930096
2023-12-30,2293.5,2324.7,2271.3,1703894400000,2299.7,2762.08945001
2023-12-29,2302.7,2388.6,2258.1,1703808000000,2346.5,6061.74631413
2023-12-28,2348.0,2447.1,2337.1,1703721600000,2380.7,19683.8564444
2023-12-27,2379.6,2393.5,2215.3,1703635200000,2233.1,15021.38972314
2023-12-26,2234.0,2277.0,2182.0,1703548800000,2274.2,4671.23200552
2023-12-25,2275.0,2308.4,2257.3,1703462400000,2267.1,1735.58872522
2023-12-24,2267.1,2325.2,2248.1,1703376000000,2312.6,2616.56132768
2023-12-23,2312.8,2337.1,2269.2,1703289600000,2329.7,1891.48836828
2023-12-22,2330.0,2346.9,2233.1,1703203200000,2242.3,6478.57158066
2023-12-21,2241.5,2281.8,2187.0,1703116800000,2201.6,5257.03049926
2023-12-20,2203.7,2268.0,2160.2,1703030400000,2180.1,5267.34387058
2023-12-19,2180.5,2257.2,2138.0,1702944000000,2220.7,4239.97042534
2023-12-18,2219.4,2224.7,2118.2,1702857600000,2198.1,5091.69429323
2023-12-17,2197.7,2250.0,2192.0,1702771200000,2232.3,2249.44102985
2023-12-16,2231.7,2265.6,2213.5,1702684800000,2223.9,2302.14574731
2023-12-15,2220.8,2319.8,2201.6,1702598400000,2317.5,3069.99437691
2023-12-14,2319.1,2334.1,2229.5,1702512000000,2262.1,4205.84156998
2023-12-13,2262.5,2285.1,2147.8,1702425600000,2204.5,5364.13362147
2023-12-12,2204.4,2245.0,2166.7,1702339200000,2226.3,4637.45010798
2023-12-11,2226.9,2356.4,2137.8,1702252800000,2353.6,11254.64576144
2023-12-10,2354.6,2378.9,2324.5,1702166400000,2342.5,2057.9056535
2023-12-09,2341.9,2404.1,2330.5,1702080000000,2359.2,6437.76474976
2023-12-08,2358.3,2392.2,2336.4,1701993600000,2356.5,4164.64847704
2023-12-07,2357.5,2382.7,2224.2,1701907200000,2235.3,16451.97046628
2023-12-06,2235.7,2312.5,2222.4,1701820800000,2295.5,10670.18131899
2023-12-05,2294.7,2307.8,2186.1,1701734400000,2241.4,12454.92852108
2023-12-04,2241.2,2269.0,2191.0,1701648000000,2192.1,18530.4419615
2023-12-03,2191.5,2214.7,2146.8,1701561600000,2163.9,11778.22212474
2023-12-02,2163.9,2184.0,2087.1,1701475200000,2087.2,10989.9936798
2023-12-01,2087.1,2109.5,2046.1,1701388800000,2052.7,13579.22571387
2023-11-30,2052.0,2054.9,2021.5,1701302400000,2028.2,1224.2825973
2023-11-29,2028.5,2074.9,2018.3,1701216000000,2045.8,4456.40865887
2023-11-28,2046.0,2074.5,1996.5,1701129600000,2027.3,13753.19296082
2023-11-27,2029.1,2070.4,1987.6,1701043200000,2062.5,17375.71841242
2023-11-26,2061.7,2094.1,2036.8,1700956800000,2083.3,5622.65041942
2023-11-25,2084.5,2090.0,2065.4,1700870400000,2080.9,1846.34298481
2023-11-24,2079.7,2132.8,2059.9,1700784000000,2061.6,13871.21425517
2023-11-23,2062.5,2089.3,2040.4,1700697600000,2064.2,2424.28810659
2023-11-22,2063.9,2092.4,1930.5,1700611200000,1933.2,6409.30743706
2023-11-21,1934.1,2034.9,1931.4,1700524800000,2021.6,5656.79306314
2023-11-20,2021.6,2066.3,1991.5,1700438400000,2013.1,4819.23919407
2023-11-19,2012.6,2015.9,1945.2,1700352000000,1963.4,2438.51397077
2023-11-18,1962.9,1973.0,1919.5,1700265600000,1961.5,7216.31844442
2023-11-17,1961.8,1991.4,1906.2,1700179200000,1962.1,6096.3554544
2023-11-16,1962.0,2090.8,1940.0,1700092800000,2059.8,5185.39926766
2023-11-15,2059.5,2063.2,1968.2,1700006400000,1980.0,5355.95966701
2023-11-14,1980.0,2065.2,1933.0,1699920000000,2054.9,9405.36846343
2023-11-13,2055.2,2118.8,2029.9,1699833600000,2042.9,8696.00866973
2023-11-12,2044.2,2064.6,2013.5,1699747200000,2053.5,53868.5971353
2023-11-11,2053.3,2089.0,2031.1,1699660800000,2078.4,14219.069760620001
2023-11-10,2077.4,2134.7,2066.2,1699574400000,2120.9,48873.9978506
2023-11-09,2120.9,2131.5,1883.4,1699488000000,1888.6,31351.71553736
2023-11-08,1889.1,1904.4,1875.0,1699401600000,1887.3,3443.90474042
2023-11-07,1888.9,1908.6,1853.5,1699315200000,1902.1,9789.43400025
2023-11-06,1902.1,1916.5,1872.0,1699228800000,1894.3,4817.19519253
2023-11-05,1895.3,1915.8,1848.9,1699142400000,1858.8,11133.64516599
2023-11-04,1859.1,1872.5,1826.9,1699056000000,1835.2,2771.66257217
2023-11-03,1834.6,1835.9,1777.6,1698969600000,1801.3,5307.26679509
2023-11-02,1801.1,1876.0,1785.7,1698883200000,1848.4,7067.04336945
2023-11-01,1848.4,1859.4,1784.5,1698796800000,1815.8,7649.31442245
2023-10-31,1817.2,1820.3,1783.8,1698710400000,1810.1,2875.60669036
2023-10-30,1810.1,1831.5,1779.1,1698624000000,1796.9,5381.4394499
2023-10-29,1796.0,1812.9,1764.5,1698537600000,1777.2,3081.94628607
2023-10-28,1777.6,1805.0,1771.1,1698451200000,1780.8,1936.38414785
2023-10-27,1780.6,1804.8,1743.8,1698364800000,1804.3,4754.94377907
2023-10-26,1804.9,1866.1,1761.9,1698278400000,1787.5,6249.76490262
2023-10-25,1787.4,1818.2,1762.3,1698192000000,1786.5,4864.44537796
2023-10-24,1786.5,1855.6,1756.8,1698105600000,1766.3,20916.74597109
2023-10-23,1766.3,1799.0,1659.6,1698019200000,1665.1,13111.0305628
2023-10-22,1665.0,1669.2,1621.9,1697932800000,1629.4,3481.27993493
2023-10-21,1628.9,1645.7,1593.8,1697846400000,1604.6,2152.68271291
2023-10-20,1604.9,1631.9,1563.4,1697760000000,1568.5,3755.52579401
2023-10-19,1568.8,1575.7,1542.3,1697673600000,1563.5,8694.71006377
2023-10-18,1564.2,1586.1,1556.4,1697587200000,1565.6,3164.31547687
2023-10-17,1565.5,1601.6,1552.4,1697500800000,1600.8,3484.62000321
2023-10-16,1600.9,1656.0,1556.5,1697414400000,1558.2,6364.83325208
2023-10-15,1558.7,1567.9,1549.5,1697328000000,1555.8,1876.5700718800001
2023-10-14,1555.8,1563.0,1545.8,1697241600000,1552.9,2857.54008476
2023-10-13,1552.9,1575.4,1539.1,1697155200000,1541.6,3595.72371988
2023-10-12,1542.0,1570.0,1521.8,1697068800000,1567.4,10755.72832844
2023-10-11,1567.4,1579.3,1545.4,1696982400000,1568.8,5588.05894292
2023-10-10,1568.9,1596.0,1551.3,1696896000000,1581.7,2808.46976908
2023-10-09,1581.3,1636.0,1549.3,1696809600000,1633.6,8661.77187094
2023-10-08,1633.2,1641.2,1617.0,1696723200000,1634.5,1548.65725468
2023-10-07,1634.5,1647.9,1630.5,1696636800000,1645.5,953.56430734
2023-10-06,1645.7,1663.5,1612.4,1696550400000,1612.4,4436.36047535
2023-10-05,1611.5,1656.1,1607.1,1696464000000,1648.2,2936.6393275
2023-10-04,1648.4,1658.1,1623.1,1696377600000,1656.7,3311.92846194
2023-10-03,1656.7,1672.2,1644.9,1696291200000,1664.7,3693.16330609
2023-10-02,1664.9,1746.0,1637.9,1696204800000,1736.2,10414.58539335
2023-10-01,1735.5,1765.0,1669.2,1696118400000,1671.9,3993.65512265
2023-09-30,1671.8,1695.0,1667.7,1696032000000,1668.8,2554.78342285
2023-09-29,1668.9,1691.0,1650.9,1695945600000,1655.4,6400.20957956
2023-09-28,1654.6,1669.3,1599.5,1695859200000,1599.8,4965.84437822
2023-09-27,1599.7,1635.6,1585.8,1695772800000,1595.5,3633.48573882
2023-09-26,1594.8,1602.4,1582.3,1695686400000,1590.0,1969.40823703
2023-09-25,1590.4,1599.3,1566.1,1695600000000,1582.8,3361.1142597
2023-09-24,1583.5,1603.5,1573.1,1695513600000,1595.4,1803.28587908
2023-09-23,1595.6,1600.0,1590.5,1695427200000,1595.9,1375.1406737300001
2023-09-22,1595.4,1603.8,1579.4,1695340800000,1587.1,1965.31648295
2023-09-21,1586.0,1626.4,1570.1,1695254400000,1623.1,7700.68392975
2023-09-20,1623.1,1651.1,1605.6,1695168000000,1644.8,4257.95378651
2023-09-19,1645.6,1662.6,1628.9,1695081600000,1638.1,3313.20395026
2023-09-18,1638.4,1671.3,1605.0,1694995200000,1624.1,4571.54591149
2023-09-17,1624.3,1636.0,1613.8,1694908800000,1635.9,1383.09096316
2023-09-16,1635.8,1653.6,1633.1,1694822400000,1643.0,1527.4114742900001
2023-09-15,1642.8,1654.8,1613.6,1694736000000,1627.1,2600.0465391
2023-09-14,1627.6,1645.0,1608.7,1694649600000,1609.0,3862.96350962
2023-09-13,1609.2,1620.2,1583.8,1694563200000,1593.6,3288.37645853
2023-09-12,1593.7,1626.9,1551.1,1694476800000,1552.8,5350.6327064
2023-09-11,1552.4,1619.6,1532.2,1694390400000,1618.0,6898.21000616
2023-09-10,1618.8,1636.3,1597.9,1694304000000,1636.3,4697.44094198
2023-09-09,1636.3,1638.0,1630.6,1694217600000,1637.2,2072.96818989
2023-09-08,1637.4,1659.7,1617.0,1694131200000,1649.4,4604.08534554
2023-09-07,1649.7,1661.7,1625.0,1694044800000,1634.3,3317.57511076
2023-09-06,1634.3,1672.0,1609.8,1693958400000,1634.8,8823.34543243
2023-09-05,1634.6,1649.5,1610.6,1693872000000,1631.0,6728.54595144
2023-09-04,1630.8,1644.8,1617.1,1693785600000,1636.7,2823.36171398
2023-09-03,1636.6,1648.2,1626.4,1693699200000,1637.4,1789.6065346
2023-09-02,1637.4,1646.3,1628.4,1693612800000,1630.1,2351.4213164
2023-09-01,1629.9,1655.6,1602.4,1693526400000,1647.7,4473.16011002
2023-08-31,1648.2,1728.4,1632.1,1693440000000,1707.3,6508.69143858
2023-08-30,1706.9,1732.2,1697.3,1693353600000,1731.1,3737.89582668
2023-08-29,1729.8,1748.5,1642.3,1693267200000,1654.8,7768.59538286
2023-08-28,1655.4,1665.7,1624.6,1693180800000,1658.8,3033.85431406
2023-08-27,1659.6,1661.2,1647.9,1693094400000,1648.4,928.86167284
2023-08-26,1648.1,1656.5,1645.6,1693008000000,1654.7,969.16827004
2023-08-25,1655.1,1677.9,1637.3,1692921600000,1663.2,3464.09890884
2023-08-24,1662.2,1684.7,1637.9,1692835200000,1681.1,4282.94566069
2023-08-23,1680.4,1702.9,1630.6,1692748800000,1636.0,9526.44790999
2023-08-22,1636.0,1670.2,1582.9,1692662400000,1669.0,7167.69323336
2023-08-21,1670.1,1689.5,1647.7,1692576000000,1686.4,5540.47633169
2023-08-20,1686.4,1695.6,1662.9,1692489600000,1670.5,2889.68333773
2023-08-19,1670.0,1697.0,1655.2,1692403200000,1662.3,3512.85215343
2023-08-18,1662.3,1699.3,1643.1,1692316800000,1682.4,10674.9894759
2023-08-17,1682.4,1809.4,1517.0,1692230400000,1807.9,18265.95091215
2023-08-16,1808.0,1831.2,1798.3,1692144000000,1829.4,3409.03192043
2023-08-15,1829.1,1847.1,1810.8,1692057600000,1845.6,2096.45324368
2023-08-14,1845.3,1856.1,1836.0,1691971200000,1841.5,1285.67307333
2023-08-13,1841.7,1862.5,1835.0,1691884800000,1850.5,970.73055153
2023-08-12,1850.5,1854.3,1847.7,1691798400000,1849.4,676.98192551
2023-08-11,1849.6,1857.2,1838.6,1691712000000,1852.4,2739.07413613
2023-08-10,1853.1,1866.3,1846.3,1691625600000,1856.4,1316.99634282
2023-08-09,1856.5,1872.7,1847.1,1691539200000,1857.3,1971.6946317
2023-08-08,1857.6,1877.4,1828.0,1691452800000,1829.3,6368.54552047
2023-08-07,1829.3,1846.5,1802.6,1691366400000,1830.2,9554.04395262
2023-08-06,1830.2,1838.5,1826.6,1691280000000,1836.8,5938.4474952
2023-08-05,1836.8,1839.4,1828.0,1691193600000,1830.4,3500.59110237
2023-08-04,1830.4,1852.0,1816.0,1691107200000,1836.8,2887.64652666
2023-08-03,1836.9,1859.8,1827.4,1691020800000,1841.3,2327.2465103
2023-08-02,1842.0,1881.1,1823.2,1690934400000,1876.0,2342.74956034
2023-08-01,1873.9,1877.2,1815.2,1690848000000,1858.2,7157.09465034
2023-07-31,1858.6,1879.2,1853.8,1690761600000,1863.8,1383.84868759
2023-07-30,1864.2,1888.0,1852.2,1690675200000,1883.8,1901.00735592
