date,close,high,low,mts,open,volume
2024-02-25,1.075,1.0848,1.075,1708819200000,1.0847,208.97793520000002
2024-02-24,1.0848,1.088,1.076,1708732800000,1.0849,337.62014002
2024-02-23,1.0826,1.0846,1.074,1708646400000,1.0753,244.96522506
2024-02-22,1.0843,1.085,1.074,1708560000000,1.081,248.02468363
2024-02-21,1.081,1.081,1.0714,1708473600000,1.0799,94.94709318
2024-02-20,1.0798,1.08,1.0685,1708387200000,1.0785,753.27336242
2024-02-19,1.0777,1.0801,1.0694,1708300800000,1.0795,222.95956962
2024-02-18,1.0796,1.0801,1.07,1708214400000,1.0796,259.37460935
2024-02-17,1.0796,1.085,1.0697,1708128000000,1.07,16587.0687034
2024-02-16,1.0779,1.078,1.0662,1708041600000,1.0701,942.03501476
2024-02-15,1.0694,1.0759,1.065,1707955200000,1.0747,544.19755857
2024-02-14,1.0746,1.075,1.0654,1707868800000,1.0736,352.67885796
2024-02-13,1.0738,1.0818,1.067,1707782400000,1.0795,2374.92938442
2024-02-12,1.071,1.0818,1.071,1707696000000,1.0818,5433.47275941
2024-02-11,1.0738,1.0817,1.0718,1707609600000,1.0809,341.01977109
2024-02-10,1.0727,1.0813,1.0722,1707523200000,1.0804,347.76598553
2024-02-09,1.0805,1.081,1.0699,1707436800000,1.0775,911.91856711
2024-02-08,1.0776,1.078,1.0671,1707350400000,1.0714,70.99425959999999
2024-02-07,1.0779,1.078,1.0688,1707264000000,1.0774,2089.1761831
2024-02-06,1.0778,1.0786,1.067,1707177600000,1.0783,206.33229743
2024-02-05,1.0759,1.0797,1.0682,1707091200000,1.0797,2703.60522714
2024-02-04,1.0791,1.0799,1.072,1707004800000,1.0798,18.7368495
2024-02-03,1.0798,1.0799,1.0715,1706918400000,1.0715,280.46028895
2024-02-02,1.0797,1.1008,1.071,1706832000000,1.087,23630.3860492
2024-02-01,1.087,1.087,1.0751,1706745600000,1.0826,290.08674601
2024-01-31,1.0747,1.086,1.074,1706659200000,1.0844,12056.120420809999
2024-01-30,1.0848,1.0849,1.075,1706572800000,1.079,531.8602926899999
2024-01-29,1.0834,1.0863,1.075,1706486400000,1.0855,4142.17022894
2024-01-28,1.0854,1.0872,1.0771,1706400000000,1.0798,169.85473832
2024-01-27,1.0874,1.0876,1.078,1706313600000,1.0865,253.78881126000002
2024-01-26,1.0868,1.088,1.0771,1706227200000,1.0856,484.85898534
2024-01-25,1.0854,1.0926,1.077,1706140800000,1.0896,38658.2856863
2024-01-24,1.0907,1.0959,1.0796,1706054400000,1.0796,804.33751725
2024-01-23,1.0868,1.093,1.078,1705968000000,1.0907,7875.50843248
2024-01-22,1.0826,1.0929,1.0824,1705881600000,1.0849,15262.39384623
2024-01-21,1.0928,1.0929,1.0847,1705795200000,1.0855,4299.14162123
2024-01-20,1.0928,1.093,1.0849,1705708800000,1.0849,1363.66358188
2024-01-19,1.0923,1.095,1.0824,1705622400000,1.0908,7805.44519754
2024-01-18,1.0908,1.091,1.08,1705536000000,1.089,17616.19766373
2024-01-17,1.089,1.094,1.077,1705449600000,1.0907,11268.6650503
2024-01-16,1.0841,1.0959,1.0835,1705363200000,1.0959,636440.5124702
