date,close,high,low,mts,open,volume
2024-02-25,3.531e-05,4.264e-05,3.531e-05,1708819200000,4.187e-05,100135003.866135
2024-02-24,3.482e-05,4.187e-05,3.482e-05,1708732800000,3.902e-05,37410415.61078198
2024-02-23,3.405e-05,4.19e-05,3.306e-05,1708646400000,4.19e-05,1936340.2406697802
2024-02-22,4.2e-05,4.2e-05,3.218e-05,1708560000000,3.346e-05,323253930.6104116
2024-02-21,3.218e-05,3.55e-05,3.218e-05,1708473600000,3.44e-05,1546644.27938563
2024-02-20,3.455e-05,3.678e-05,3.213e-05,1708387200000,3.678e-05,22316776.476180412
2024-02-19,3.532e-05,3.566e-05,3.402e-05,1708300800000,3.412e-05,159618043.47378185
2024-02-18,3.374e-05,3.374e-05,3.374e-05,1708214400000,3.374e-05,50000.0
2024-02-17,3.195e-05,3.332e-05,3.154e-05,1708128000000,3.332e-05,810447590.9220595
2024-02-16,3.361e-05,3.412e-05,3.337e-05,1708041600000,3.412e-05,2026177.6202335102
2024-02-15,3.395e-05,3.43e-05,3.33e-05,1707955200000,3.41e-05,76969392.74305573
2024-02-14,3.367e-05,3.43e-05,3.237e-05,1707868800000,3.237e-05,186712652.23393732
2024-02-12,3.075e-05,3.709e-05,3.073e-05,1707696000000,3.709e-05,202985.98369021
2024-02-10,3.11e-05,3.187e-05,3.069e-05,1707523200000,3.187e-05,986128.26456083
2024-02-09,3.129e-05,3.183e-05,3.103e-05,1707436800000,3.141e-05,14885681.01684801
2024-02-08,2.888e-05,2.888e-05,2.863e-05,1707350400000,2.863e-05,3352930.57401038
2024-02-07,2.789e-05,2.81e-05,2.782e-05,1707264000000,2.81e-05,380242.88885871
2024-02-06,2.801e-05,2.807e-05,2.747e-05,1707177600000,2.747e-05,2780403.31496842
2024-02-05,2.747e-05,2.81e-05,2.747e-05,1707091200000,2.8e-05,12023893.42575178
2024-02-03,2.791e-05,2.805e-05,2.791e-05,1706918400000,2.805e-05,217426.61415044
2024-02-01,2.786e-05,2.862e-05,2.698e-05,1706745600000,2.862e-05,110588535.5369132
2024-01-31,2.863e-05,2.956e-05,2.8e-05,1706659200000,2.942e-05,949781.53090057
2024-01-30,2.84e-05,2.97e-05,2.84e-05,1706572800000,2.914e-05,4655664.41150658
2024-01-28,2.902e-05,3.006e-05,2.901e-05,1706400000000,2.919e-05,4226563.07030081
2024-01-27,2.883e-05,3.1e-05,2.883e-05,1706313600000,2.913e-05,1902719.70938169
2024-01-26,3.254e-05,3.254e-05,2.858e-05,1706227200000,2.858e-05,2763221.95809866
2024-01-25,2.81e-05,2.904e-05,2.791e-05,1706140800000,2.901e-05,23812194.16793003
2024-01-24,2.856e-05,3.751e-05,2.8e-05,1706054400000,3.482e-05,632210499.8354576
2024-01-23,2.826e-05,2.972e-05,2.753e-05,1705968000000,2.972e-05,3437822.67503953
2024-01-22,2.92e-05,3.133e-05,2.92e-05,1705881600000,3.132e-05,2179629.99163761
2024-01-21,3.155e-05,3.269e-05,3.093e-05,1705795200000,3.269e-05,9759723.84073652
2024-01-20,3.214e-05,3.214e-05,2.913e-05,1705708800000,2.913e-05,715067.7252704
2024-01-19,2.911e-05,3.161e-05,2.831e-05,1705622400000,2.902e-05,1410872.56830311
2024-01-18,3.025e-05,3.093e-05,2.999e-05,1705536000000,3.059e-05,14117364.809549721
2024-01-17,3.095e-05,3.129e-05,3.064e-05,1705449600000,3.108e-05,685396.54549694
2024-01-16,3.162e-05,3.162e-05,3.02e-05,1705363200000,3.073e-05,25836860.81786231
2024-01-15,3.095e-05,3.095e-05,3.018e-05,1705276800000,3.062e-05,1432064.12637551
2024-01-14,3.012e-05,3.124e-05,3.012e-05,1705190400000,3.124e-05,3280390.92391044
2024-01-13,3.109e-05,3.109e-05,2.963e-05,1705104000000,3.008e-05,2920379.00550711
2024-01-12,3.006e-05,3.309e-05,2.96e-05,1705017600000,3.197e-05,15296591.147717651
2024-01-11,3.231e-05,3.335e-05,3.078e-05,1704931200000,3.187e-05,190567021.95484236
2024-01-10,3.149e-05,3.182e-05,2.768e-05,1704844800000,2.925e-05,265610402.7264903
2024-01-09,2.872e-05,3.545e-05,2.684e-05,1704758400000,3.012e-05,13257648.57055552
2024-01-08,3.03e-05,3.08e-05,2.51e-05,1704672000000,2.919e-05,34915513.87099476
2024-01-07,2.99e-05,3.182e-05,2.914e-05,1704585600000,3.182e-05,31509097.14561392
2024-01-06,3.178e-05,3.947e-05,3.01e-05,1704499200000,3.173e-05,24826978.58686672
2024-01-05,3.102e-05,3.338e-05,2.7e-05,1704412800000,3.213e-05,18539327.35236522
2024-01-04,3.251e-05,3.273e-05,3.078e-05,1704326400000,3.143e-05,50680910.00131144
2024-01-03,3.114e-05,3.727e-05,2.809e-05,1704240000000,3.727e-05,354333022.9019979
2024-01-02,3.566e-05,3.747e-05,3.566e-05,1704153600000,3.688e-05,51186259.17079143
2024-01-01,3.747e-05,3.747e-05,3.435e-05,1704067200000,3.746e-05,5193131.78968872
2023-12-31,3.513e-05,3.747e-05,3.431e-05,1703980800000,3.52e-05,8268896.57534494
2023-12-30,3.472e-05,3.943e-05,3.472e-05,1703894400000,3.55e-05,241314.51538614
2023-12-29,3.474e-05,3.498e-05,3.463e-05,1703808000000,3.485e-05,2027774.35268432
2023-12-28,3.533e-05,3.946e-05,3.512e-05,1703721600000,3.944e-05,4809079.39453401
2023-12-27,3.944e-05,3.947e-05,3.394e-05,1703635200000,3.56e-05,39394699.83627585
2023-12-26,3.58e-05,3.79e-05,3.306e-05,1703548800000,3.728e-05,15260543.1091673
2023-12-25,3.754e-05,3.759e-05,3.529e-05,1703462400000,3.529e-05,216017870.48569486
2023-12-24,3.532e-05,3.947e-05,3.467e-05,1703376000000,3.654e-05,276347469.8908816
2023-12-23,3.654e-05,3.821e-05,3.542e-05,1703289600000,3.797e-05,149402377.46969897
2023-12-22,3.79e-05,3.79e-05,3.491e-05,1703203200000,3.599e-05,130534685.86494172
2023-12-21,3.617e-05,3.636e-05,3.431e-05,1703116800000,3.445e-05,65249630.38807183
2023-12-20,3.431e-05,3.568e-05,3.373e-05,1703030400000,3.402e-05,54853607.12112741
2023-12-19,3.415e-05,3.587e-05,3.364e-05,1702944000000,3.525e-05,585529197.4348371
2023-12-18,3.517e-05,3.675e-05,3.276e-05,1702857600000,3.623e-05,1256755859.2654328
2023-12-17,3.622e-05,3.967e-05,3.61e-05,1702771200000,3.937e-05,5471943.49121852
2023-12-16,3.906e-05,3.938e-05,3.569e-05,1702684800000,3.647e-05,40939733.76995158
2023-12-15,3.644e-05,3.894e-05,3.625e-05,1702598400000,3.894e-05,658138156.4481307
2023-12-14,3.929e-05,3.959e-05,3.769e-05,1702512000000,3.891e-05,46070624.0587769
2023-12-13,3.883e-05,3.929e-05,3.613e-05,1702425600000,3.853e-05,137464808.10018194
2023-12-12,3.814e-05,3.886e-05,3.651e-05,1702339200000,3.699e-05,104971824.47245485
2023-12-11,3.701e-05,4.082e-05,3.544e-05,1702252800000,4.072e-05,86684605.05996326
2023-12-10,4.059e-05,4.117e-05,3.891e-05,1702166400000,4.041e-05,77904588.95510598
2023-12-09,4.034e-05,4.327e-05,4.014e-05,1702080000000,4.164e-05,1312727553.9467037
2023-12-08,4.11e-05,4.185e-05,3.973e-05,1701993600000,4.167e-05,44404360.0458337
2023-12-07,4.165e-05,4.22e-05,3.864e-05,1701907200000,3.907e-05,97165286.14803824
2023-12-06,3.92e-05,4.36e-05,3.879e-05,1701820800000,4.277e-05,140077672.15236807
2023-12-05,4.225e-05,4.696e-05,3.594e-05,1701734400000,3.735e-05,299145715.61179054
2023-12-04,3.723e-05,3.966e-05,3.352e-05,1701648000000,3.353e-05,204107845.16099283
2023-12-03,3.375e-05,3.473e-05,3.303e-05,1701561600000,3.437e-05,12086273.16023039
