date,close,high,low,mts,open,volume
2024-02-24,0.4715,0.495,0.47031,1708732800000,0.49188,1028.33201506
2024-02-23,0.49404,0.49642,0.49404,1708646400000,0.49641,322.382192
2024-02-22,0.50765,0.52602,0.50427,1708560000000,0.52272,1165.97002162
2024-02-21,0.52608,0.53825,0.5181,1708473600000,0.53344,1400.76714363
2024-02-20,0.53861,0.54277,0.53843,1708387200000,0.53843,243.69290212
2024-02-19,0.55349,0.56725,0.55111,1708300800000,0.56466,2169.0217988
2024-02-18,0.56705,0.57188,0.55596,1708214400000,0.57188,1783.87297193
2024-02-17,0.57898,0.58397,0.55564,1708128000000,0.56279,789.96077717
2024-02-16,0.55594,0.61264,0.55594,1708041600000,0.58807,300.54436584
2024-02-15,0.58234,0.58839,0.57748,1707955200000,0.58838,267.91984453000003
2024-02-14,0.58921,0.58921,0.58921,1707868800000,0.58921,2.0
2024-02-13,0.5897,0.61151,0.5897,1707782400000,0.60832,2926.39545501
2024-02-12,0.60869,0.61106,0.60117,1707696000000,0.61015,747.27028675
2024-02-11,0.61458,0.61458,0.61379,1707609600000,0.61379,507.30635342
2024-02-10,0.63105,0.63105,0.60133,1707523200000,0.61495,21.42142658
2024-02-09,0.61909,0.63725,0.61496,1707436800000,0.63725,626.20223177
2024-02-08,0.63726,1.0,0.63725,1707350400000,1.0,2811.40934181
