date,close,high,low,mts,open,volume
2024-02-25,352.23,352.88,327.0,1708819200000,330.59,12.64381863
2024-02-24,330.49,330.49,306.27,1708732800000,310.33,5.86060405
2024-02-23,307.56,313.27,304.99,1708646400000,312.5,3.25675631
2024-02-22,313.71,318.75,303.8,1708560000000,308.57,9.10838509
2024-02-21,310.81,314.43,298.45,1708473600000,313.52,8.82913099
2024-02-20,311.35,313.51,296.56,1708387200000,303.31,4.81872161
2024-02-19,302.01,304.8,293.08,1708300800000,296.43,16.01201202
2024-02-18,297.4,298.9,282.08,1708214400000,285.88,7.7661794
2024-02-17,285.61,287.04,275.69,1708128000000,285.9,3.78003348
2024-02-16,285.21,285.21,277.78,1708041600000,279.16,12.42204722
2024-02-15,279.78,289.58,277.72,1707955200000,286.52,10.91751674
2024-02-14,284.82,290.0,280.94,1707868800000,281.73,11.97298646
2024-02-13,284.95,288.82,270.77,1707782400000,273.87,12.45570262
2024-02-12,270.19,272.62,250.77,1707696000000,255.36,3.99070541
2024-02-11,254.12,256.81,243.08,1707609600000,244.27,5.82970504
2024-02-10,245.8,248.47,243.6,1707523200000,246.55,2.95805088
2024-02-09,245.93,248.86,239.59,1707436800000,239.86,7.93075332
2024-02-08,240.79,250.88,240.79,1707350400000,245.66,2.90718396
2024-02-07,244.31,245.45,234.29,1707264000000,234.94,10.57751367
2024-02-06,235.78,238.02,229.07,1707177600000,233.35,4.85770049
2024-02-05,229.97,235.14,215.51,1707091200000,217.47,15.36826254
2024-02-04,217.24,219.14,214.69,1707004800000,216.02,2.59224684
2024-02-03,215.03,217.48,214.06,1706918400000,214.62,2.34940874
2024-02-02,215.94,216.28,212.6,1706832000000,215.18,2.67055433
2024-02-01,214.68,216.81,209.22,1706745600000,214.6,6.61267034
2024-01-31,214.59,236.39,212.65,1706659200000,227.94,21.24006312
2024-01-30,228.14,254.25,217.09,1706572800000,219.74,20.3323369
2024-01-29,219.43,220.6,208.37,1706486400000,208.73,5.26841135
2024-01-28,209.33,213.35,207.6,1706400000000,210.1,4.57105179
2024-01-27,211.13,214.65,210.74,1706313600000,212.4,4.07926876
2024-01-26,211.09,211.46,202.43,1706227200000,203.34,2.89809177
2024-01-25,203.62,205.71,197.93,1706140800000,203.2,4.72698898
2024-01-24,201.77,202.17,194.93,1706054400000,199.0,4.38617579
2024-01-23,197.92,206.81,191.48,1705968000000,203.39,7.76836827
2024-01-22,202.13,215.69,202.13,1705881600000,214.61,7.44152408
2024-01-21,215.44,217.18,210.5,1705795200000,212.54,3.52814623
2024-01-20,212.92,213.32,209.55,1705708800000,209.7,6.31524801
2024-01-19,210.75,212.11,203.6,1705622400000,206.8,2.92602539
2024-01-18,207.6,218.54,205.65,1705536000000,216.42,5.20143282
2024-01-17,214.37,220.47,213.06,1705449600000,219.29,9.31693676
2024-01-16,218.5,220.6,206.69,1705363200000,207.51,7.81636542
2024-01-15,207.38,210.31,204.2,1705276800000,204.5,3.45452186
2024-01-14,205.65,212.44,205.31,1705190400000,211.82,3.27239078
2024-01-13,212.89,212.89,206.1,1705104000000,206.66,9.39964496
2024-01-12,206.12,216.47,202.31,1705017600000,208.65,10.01187044
2024-01-11,209.45,214.35,204.87,1704931200000,205.84,8.81333472
2024-01-10,205.32,209.59,188.22,1704844800000,188.86,10.05266501
2024-01-09,188.31,190.28,182.56,1704758400000,189.75,7.12782957
2024-01-08,190.62,191.06,179.17,1704672000000,181.86,11.37401637
2024-01-07,182.39,187.05,181.14,1704585600000,186.21,4.41585342
2024-01-06,185.37,188.18,183.91,1704499200000,188.06,11.59901565
2024-01-05,187.19,191.06,184.15,1704412800000,190.46,5.98651928
2024-01-04,190.3,193.81,186.01,1704326400000,189.72,4.60918318
2024-01-03,187.98,206.73,185.41,1704240000000,203.76,10.02003217
2024-01-02,204.63,212.39,200.99,1704153600000,202.08,5.57863937
2024-01-01,200.92,201.83,193.39,1704067200000,195.34,6.19174402
2023-12-31,195.45,197.74,194.22,1703980800000,196.41,3.63428392
2023-12-30,196.06,198.63,194.37,1703894400000,195.96,3.02473773
2023-12-29,195.24,198.94,192.34,1703808000000,196.97,9.23396354
2023-12-28,196.36,203.59,194.78,1703721600000,200.28,14.90977848
2023-12-27,197.59,199.1,186.07,1703635200000,188.74,23.35095831
2023-12-26,188.18,197.12,185.47,1703548800000,197.12,33.74557431
2023-12-25,197.11,197.46,189.63,1703462400000,192.84,3.10879594
2023-12-24,191.98,206.0,188.48,1703376000000,196.58,12.81715007
2023-12-23,196.37,197.28,189.9,1703289600000,196.13,17.37736391
2023-12-22,196.52,199.28,189.49,1703203200000,191.51,36.14996908
2023-12-21,191.04,195.75,186.54,1703116800000,192.64,20.47404854
2023-12-20,192.37,208.61,186.1,1703030400000,207.9,19.1944137
2023-12-19,206.78,226.58,200.08,1702944000000,221.72,15.08731189
2023-12-18,221.55,221.68,206.02,1702857600000,219.33,3.39386959
2023-12-17,219.23,223.5,215.39,1702771200000,222.79,8.33072072
2023-12-16,222.65,245.06,204.15,1702684800000,214.87,14.51981312
2023-12-15,214.81,224.43,193.09,1702598400000,224.35,62.4993124
2023-12-14,221.69,226.67,201.33,1702512000000,226.34,93.20150179
2023-12-13,225.84,226.7,211.54,1702425600000,222.98,26.29225789
2023-12-12,224.36,230.07,208.49,1702339200000,226.56,32.77206681
2023-12-11,226.11,244.74,222.06,1702252800000,242.16,3.2849779
2023-12-10,244.88,245.99,237.38,1702166400000,237.45,2.88423212
2023-12-09,239.07,247.61,236.81,1702080000000,240.77,7.28206255
2023-12-08,242.74,242.74,223.33,1701993600000,230.48,24.94056173
2023-12-07,231.77,246.8,190.36,1701907200000,191.55,76.72628079
2023-12-06,190.79,201.43,190.2,1701820800000,198.78,5.50542549
2023-12-05,198.78,201.79,192.89,1701734400000,200.49,2.86084405
2023-12-04,200.76,210.0,198.79,1701648000000,202.7,11.74507694
2023-12-03,203.75,209.37,202.8,1701561600000,209.37,5.03083179
2023-12-02,208.39,208.76,199.28,1701475200000,199.86,2.51901815
2023-12-01,200.21,200.55,191.19,1701388800000,191.19,3.03493765
2023-11-30,191.74,193.24,190.64,1701302400000,193.24,1.44092457
2023-11-29,191.78,194.36,188.93,1701216000000,194.17,7.81688137
2023-11-28,196.92,196.92,191.11,1701129600000,191.11,1.94457868
2023-11-27,196.82,196.82,190.23,1701043200000,193.85,7.30050345
2023-11-25,201.47,205.25,201.47,1700870400000,204.72,1.7527366500000001
2023-11-24,200.1,213.3,199.56,1700784000000,200.85,6.3854891
2023-11-23,197.82,201.36,196.54,1700697600000,199.83,3.81395279
2023-11-22,201.03,203.3,192.21,1700611200000,192.29,5.64302765
2023-11-21,190.31,198.24,185.04,1700524800000,190.49,6.05964244
2023-11-20,190.0,191.91,180.05,1700438400000,180.13,21.29551328
2023-11-19,180.56,180.63,175.52,1700352000000,175.59,6.4268
2023-11-18,175.81,175.81,172.54,1700265600000,172.54,3.16575486
2023-11-17,173.38,173.38,168.32,1700179200000,172.15,51.49692233
2023-11-16,171.31,181.08,171.07,1700092800000,174.67,2.60912402
2023-11-15,172.75,175.23,168.97,1700006400000,168.97,4.14115914
2023-11-14,175.54,184.4,160.01,1699920000000,160.01,4.41805468
2023-11-13,160.25,162.64,154.42,1699833600000,154.42,11.939378660000001
2023-11-12,156.36,156.36,153.05,1699747200000,153.05,0.38139144999999997
2023-11-11,150.46,158.81,150.46,1699660800000,155.67,7.77718284
2023-11-10,155.82,162.65,149.45,1699574400000,160.48,21.15209608
2023-11-09,159.89,161.66,147.71,1699488000000,148.71,26.14019349
2023-11-08,148.22,148.94,138.3,1699401600000,138.93,9.10551839
2023-11-07,142.11,143.49,119.13,1699315200000,119.26,138.43710911
2023-11-06,114.09,117.39,112.12,1699228800000,112.12,4.52910608
2023-11-05,108.98,108.98,108.17,1699142400000,108.17,1.8535
2023-11-04,112.78,112.78,112.5,1699056000000,112.5,0.27951556
2023-11-03,111.71,111.88,111.71,1698969600000,111.88,0.7207
2023-11-02,108.12,113.9,107.63,1698883200000,108.71,6.84905343
2023-11-01,108.88,108.88,106.8,1698796800000,106.95,22.83157119
2023-10-31,109.57,109.85,108.96,1698710400000,108.96,3.859064
2023-10-30,106.18,106.18,105.77,1698624000000,105.9,2.02496347
2023-10-29,103.08,103.34,102.27,1698537600000,102.27,2.7280119999999997
2023-10-28,102.69,103.34,102.29,1698451200000,102.29,3.76405305
2023-10-27,102.36,103.99,96.865,1698364800000,103.33,13.14992259
2023-10-26,102.9,106.32,101.35,1698278400000,105.39,3.77136098
2023-10-25,105.14,107.08,101.49,1698192000000,103.14,13.658800339999999
2023-10-24,102.89,108.75,102.49,1698105600000,106.45,2.84145075
2023-10-23,105.95,105.95,100.42,1698019200000,100.42,3.3995513
2023-10-22,100.64,100.97,97.443,1697932800000,98.091,2.58364092
2023-10-21,97.944,98.585,96.76,1697846400000,97.263,2.11767324
2023-10-20,96.773,98.499,94.965,1697760000000,95.665,2.44581972
2023-10-19,95.386,95.671,93.338,1697673600000,94.513,2.71675385
