date,close,high,low,mts,open,volume
2024-02-24,0.39062,0.39466,0.38752,1708732800000,0.39112,5825.12837944
2024-02-23,0.37585,0.37694,0.37486,1708646400000,0.37694,1699.65881526
2024-02-22,0.37507,0.37759,0.3717,1708560000000,0.37526,337.33448911
2024-02-21,0.39351,0.39922,0.3935,1708473600000,0.39922,24.071715949999998
2024-02-20,0.39489,0.39847,0.39489,1708387200000,0.39748,627.66282673
2024-02-18,0.35704,0.39369,0.35677,1708214400000,0.37748,1664.82364564
2024-02-17,0.3573,0.35832,0.3551,1708128000000,0.3551,404.77109214999996
2024-02-16,0.3599,0.37496,0.3599,1708041600000,0.36648,698.70319747
2024-02-13,0.35986,0.37961,0.35986,1707782400000,0.37961,396.04654212
2024-02-11,0.37775,0.37775,0.37775,1707609600000,0.37775,1322.83256123
2024-02-10,0.36323,0.37098,0.36323,1707523200000,0.37098,1393.76605815
2024-02-09,0.37415,0.37415,0.36716,1707436800000,0.36873,32.15774174
2024-02-08,0.36375,0.36703,0.35739,1707350400000,0.36063,66.30617902
2024-02-07,0.33946,0.33947,0.33571,1707264000000,0.33819,13.95398823
2024-02-06,0.32204,0.32204,0.30011,1707177600000,0.30011,17.65188115
2024-02-05,0.30282,0.30393,0.30011,1707091200000,0.3034,909.41079121
2024-02-04,0.2423,0.33293,0.2423,1707004800000,0.33293,946.6614358100001
2024-02-02,0.37077,0.37077,0.37077,1706832000000,0.37077,3.90103893
2024-02-01,0.3803,0.3803,0.37573,1706745600000,0.37593,316.20339048
2024-01-31,0.39607,0.39607,0.39089,1706659200000,0.39231,64.51944248
2024-01-30,0.38557,0.38881,0.3792,1706572800000,0.38881,448.47950971
2024-01-29,0.38601,0.39,0.37921,1706486400000,0.37994,3277.02323483
2024-01-28,0.37373,0.37373,0.35929,1706400000000,0.36475,249.46546971
2024-01-26,0.31695,0.31992,0.30447,1706227200000,0.30657,108.34343314
2024-01-25,0.2943,0.30189,0.2943,1706140800000,0.30189,41905.36444184
2024-01-24,0.30294,0.3035,0.28294,1706054400000,0.2945,7895.227141769999
2024-01-23,0.28363,0.28363,0.27844,1705968000000,0.27844,45.65283215
2024-01-22,0.28712,0.28796,0.28395,1705881600000,0.28483,153.34711084
2024-01-21,0.27781,0.28049,0.27703,1705795200000,0.27704,84.69059795
2024-01-20,0.28049,0.28049,0.24231,1705708800000,0.27588,159800.25969601
2024-01-19,0.27823,0.28159,0.24231,1705622400000,0.2661,177832.50274591
2024-01-18,0.27267,0.27581,0.26891,1705536000000,0.27325,9585.411152910001
2024-01-16,0.27851,0.27851,0.27851,1705363200000,0.27851,5.80716579
2024-01-15,0.27777,0.28127,0.27777,1705276800000,0.28127,1698.39187499
2024-01-14,0.26672,0.2697,0.26672,1705190400000,0.2697,555.24771702
2024-01-13,0.26658,0.26658,0.25917,1705104000000,0.25917,794.70940385
2024-01-11,0.27547,0.28735,0.27366,1704931200000,0.28633,119.4823281
2024-01-10,0.2804,0.28308,0.26517,1704844800000,0.26517,1102.70976565
2024-01-09,0.26458,0.27571,0.24994,1704758400000,0.24994,28511.02384632
2024-01-08,0.25209,0.2589,0.25152,1704672000000,0.25489,21566.58279622
2024-01-07,0.24967,0.24967,0.24745,1704585600000,0.24745,62.84144252
2024-01-06,0.24854,0.25224,0.24373,1704499200000,0.24373,10170.64190354
2024-01-05,0.24568,0.24905,0.23426,1704412800000,0.24268,4305.08109257
2024-01-03,0.2374,0.2471,0.22972,1704240000000,0.23604,4855.87456908
2024-01-02,0.23815,0.2595,0.23698,1704153600000,0.24861,28206.12487228
2024-01-01,0.24684,0.24684,0.23602,1704067200000,0.23793,16095.517808909999
2023-12-31,0.24025,0.24331,0.23965,1703980800000,0.24331,114.18846527
2023-12-30,0.24667,0.2549,0.23433,1703894400000,0.23547,383179.33269366
2023-12-29,0.235,0.24812,0.22389,1703808000000,0.2474,390780.95748198
2023-12-28,0.24738,0.26031,0.23487,1703721600000,0.25706,332146.00493079
2023-12-27,0.25756,0.25756,0.23412,1703635200000,0.23733,202947.97920369
2023-12-26,0.23704,0.24204,0.23689,1703548800000,0.23845,15740.94983844
2023-12-25,0.23783,0.24123,0.22528,1703462400000,0.22528,1150.96640344
2023-12-24,0.22859,0.23488,0.22712,1703376000000,0.23079,138.36742581
2023-12-23,0.2362,0.23863,0.2362,1703289600000,0.23863,9.27772268
2023-12-22,0.23607,0.23953,0.22717,1703203200000,0.22914,3079.03808311
2023-12-21,0.23305,0.23305,0.22734,1703116800000,0.22734,2314.54223866
2023-12-20,0.2045,0.20946,0.20177,1703030400000,0.20396,86535.04771987
2023-12-19,0.20403,0.21841,0.19774,1702944000000,0.19893,448998.42036038
2023-12-18,0.19723,0.209,0.18157,1702857600000,0.18729,481045.85346753
2023-12-17,0.18747,0.19487,0.1822,1702771200000,0.18962,552420.05427838
2023-12-16,0.18991,0.20434,0.18798,1702684800000,0.20135,565500.05874608
2023-12-15,0.20145,0.22429,0.19825,1702598400000,0.20239,367356.98846187
2023-12-14,0.20341,0.6,0.19,1702512000000,0.19,150304.66822511
