date,close,high,low,mts,open,volume
2024-02-20,2.4998,2.4998,2.4998,1708387200000,2.4998,0.502988
2024-02-15,2.1566,2.1566,2.1566,1707955200000,2.1566,0.25
2024-02-14,2.1566,2.1566,2.1566,1707868800000,2.1566,0.5
2024-02-13,2.1566,2.1568,2.1566,1707782400000,2.1568,1.9000000000000001
2024-02-12,2.157,2.157,2.1568,1707696000000,2.1568,0.8999999999999999
2024-02-09,2.1566,2.9954,2.1566,1707436800000,2.9954,0.02
2024-02-08,3.0497,3.1,0.89,1707350400000,0.89,7.405189
2024-02-07,0.85,0.85,0.85,1707264000000,0.85,0.274541
2024-02-03,3.16,3.16,2.68,1706918400000,2.68,6.477181
2024-01-31,2.7,2.7,2.6996,1706659200000,2.7,5.0
2024-01-30,2.25,2.6,2.1791,1706572800000,2.6,21.611556659999998
2024-01-29,2.5,2.5,2.19,1706486400000,2.19,166.64670107
2024-01-25,1.7451,1.7451,1.7451,1706140800000,1.7451,9.14872017
2024-01-21,1.7877,1.82,1.7877,1705795200000,1.8185,6.27688513
2024-01-20,1.61,1.9642,1.5361,1705708800000,1.9642,757.48211654
2024-01-19,2.0826,2.1937,2.041,1705622400000,2.1937,115.20748161
2024-01-18,2.3359,2.3359,1.9091,1705536000000,2.2647,1877.28342798
2024-01-15,2.5256,2.5256,2.5256,1705276800000,2.5256,18.04875171
2024-01-13,2.4209,2.4653,2.4176,1705104000000,2.4178,67.72813602
2024-01-11,2.4842,2.5336,2.483,1704931200000,2.4834,4.4014144
2024-01-10,2.4655,2.4672,2.4655,1704844800000,2.4657,3.61431778
2024-01-09,2.4674,2.4676,2.4166,1704758400000,2.4168,7.04176346
2024-01-05,2.4622,2.5123,2.4607,1704412800000,2.5123,34.37377878
2024-01-03,2.5931,2.6431,2.5931,1704240000000,2.6431,1.34558531
2024-01-02,2.5843,2.6323,2.5547,1704153600000,2.5818,26.31208766
2024-01-01,2.5354,2.6022,2.5271,1704067200000,2.6022,30.15205387
2023-12-30,2.6523,2.6568,2.6034,1703894400000,2.642,108.33245042
2023-12-27,2.6639,2.6639,2.6528,1703635200000,2.6594,99.78532494999999
2023-12-26,2.6276,2.6987,2.5555,1703548800000,2.6987,300.38235407
2023-12-24,2.6479,2.6481,2.6479,1703376000000,2.6481,0.36391910000000005
2023-12-23,2.6715,2.7265,2.5471,1703289600000,2.6564,27.351013209999998
2023-12-22,2.6421,2.7258,2.6421,1703203200000,2.662,17.33662227
2023-12-21,2.7064,2.7064,2.5208,1703116800000,2.6401,1339.54082349
2023-12-19,2.6568,2.7178,2.6026,1702944000000,2.6844,1697.8376691600001
2023-12-18,2.75,2.85,2.7377,1702857600000,2.7401,20727.916186899998
2023-12-17,2.76,2.87,2.6682,1702771200000,2.8496,130860.43699336999
