date,close,high,low,mts,open,volume
2024-02-25,0.0045551,0.0046426,0.0042509,1708819200000,0.0043759,1877568.1113316
2024-02-24,0.0043812,0.004814,0.004107,1708732800000,0.0046693,7211938.02524611
2024-02-23,0.0046278,0.0047781,0.0044778,1708646400000,0.0047577,2497064.16745501
2024-02-22,0.0047905,0.0052443,0.0046194,1708560000000,0.0052443,7038747.44244338
2024-02-21,0.0052519,0.005466,0.0051926,1708473600000,0.0053846,3615549.2803178
2024-02-20,0.0054,0.006008,0.0054,1708387200000,0.005797,2105123.68543027
2024-02-19,0.0057502,0.0060845,0.0055387,1708300800000,0.0055387,3733771.15094287
2024-02-18,0.0055956,0.0057398,0.0050277,1708214400000,0.0057398,5103137.31911692
2024-02-17,0.0056722,0.0057978,0.0055735,1708128000000,0.0056872,2364269.44276643
2024-02-16,0.0056632,0.0058942,0.0055342,1708041600000,0.0057171,1329792.17123014
2024-02-15,0.0056728,0.0058928,0.005545,1707955200000,0.0056778,4173637.17977541
2024-02-14,0.0056881,0.0060265,0.0055629,1707868800000,0.0058765,5129875.12148675
2024-02-13,0.0058905,0.0063677,0.0058028,1707782400000,0.0061741,3341014.98516223
2024-02-12,0.0061778,0.006252,0.0058118,1707696000000,0.0061548,2026607.55724907
2024-02-11,0.0061744,0.0063313,0.0057677,1707609600000,0.0061309,2622975.58263704
2024-02-10,0.0063508,0.0063991,0.0061001,1707523200000,0.0063023,844027.84252995
2024-02-09,0.0062366,0.006611,0.0057302,1707436800000,0.0057808,1814523.63662927
2024-02-08,0.005764,0.0057726,0.0056298,1707350400000,0.0057382,853050.8746221199
2024-02-07,0.0057149,0.0057605,0.0055332,1707264000000,0.0055387,1781744.86143242
2024-02-06,0.0055634,0.0057613,0.0055167,1707177600000,0.0057125,1553943.87043311
2024-02-05,0.0056275,0.0058552,0.0055957,1707091200000,0.0056538,2572930.65260609
2024-02-04,0.0056058,0.0057599,0.005521,1707004800000,0.0057599,974341.88949508
2024-02-03,0.0057674,0.0058402,0.0057143,1706918400000,0.0057559,1079904.18767378
2024-02-02,0.0057686,0.0058332,0.0055245,1706832000000,0.0056422,2858278.7440336198
2024-01-31,0.0054978,0.0057319,0.0054677,1706659200000,0.00565,14062.33461753
2024-01-30,0.00578,0.0058861,0.0055955,1706572800000,0.0058101,30880.891257119998
2024-01-29,0.0055832,0.0056943,0.0050665,1706486400000,0.0051689,639854.13291553
2024-01-28,0.0050227,0.0054434,0.0048711,1706400000000,0.0051193,686582.46578652
2024-01-26,0.0057302,0.0058593,0.0057302,1706227200000,0.0058316,29875.84344749
2024-01-25,0.0058448,0.0059215,0.0051193,1706140800000,0.0053837,322592.5151321
2024-01-24,0.005571,0.0058042,0.0055458,1706054400000,0.0057103,13568.358949489999
2024-01-23,0.0052465,0.0058436,0.0052128,1705968000000,0.0055918,789797.50597719
2024-01-22,0.0049822,0.0054544,0.0049822,1705881600000,0.0054273,236512.57194952
2024-01-21,0.0059682,0.0060098,0.0057244,1705795200000,0.0058784,142315.36978777
2024-01-20,0.0061289,0.0061905,0.0047364,1705708800000,0.00494,420893.86947397003
2024-01-19,0.0047463,0.0048847,0.0039464,1705622400000,0.0040085,1122458.02898355
2024-01-18,0.0043404,0.0043987,0.0039532,1705536000000,0.0041771,53217.25768163
2024-01-17,0.0039383,0.0039383,0.0039383,1705449600000,0.0039383,99589.2764
2024-01-16,0.0039971,0.0041373,0.0039971,1705363200000,0.0040279,182840.29601984
2024-01-15,0.0040297,0.0040297,0.0040297,1705276800000,0.0040297,18348.17911165
2024-01-14,0.0047706,0.0049444,0.0040294,1705190400000,0.0040294,738262.05598333
2024-01-13,0.003901,0.004011,0.0037465,1705104000000,0.0038657,333170.58562123
2024-01-12,0.0036106,0.0038469,0.0035815,1705017600000,0.0037577,140546.09485899
2024-01-10,0.0034307,0.0034533,0.0033091,1704844800000,0.0034533,3951.79883638
2024-01-09,0.0035,0.0039136,0.0035,1704758400000,0.0037434,410559.49875212
2024-01-08,0.0040833,0.0040833,0.0040224,1704672000000,0.0040224,2462.30293945
2024-01-07,0.0040492,0.0042051,0.0034562,1704585600000,0.0034562,471314.91324569
2024-01-06,0.0035274,0.0037486,0.0033747,1704499200000,0.0036839,294707.64772653
2024-01-05,0.0039784,0.0039784,0.0038403,1704412800000,0.0039753,53450.65633302
2024-01-04,0.0038292,0.0040833,0.003199,1704326400000,0.003199,2166480.76241054
2024-01-03,0.0026275,0.0030193,0.0026275,1704240000000,0.0029122,100426.00574774
2024-01-02,0.0028503,0.0029401,0.0028466,1704153600000,0.00285,730861.82124602
2024-01-01,0.0028218,0.0028243,0.0026789,1704067200000,0.0027075,4898.21260729
2023-12-31,0.0026853,0.0027464,0.0026853,1703980800000,0.0027464,5100.930439549999
2023-12-30,0.00255,0.0025929,0.00255,1703894400000,0.0025901,324787.07139214
2023-12-29,0.002543,0.0027692,0.002499,1703808000000,0.0027692,406508.5691006
2023-12-28,0.0027154,0.0029846,0.0027154,1703721600000,0.0029846,218620.04210411
2023-12-27,0.0030331,0.003199,0.0022351,1703635200000,0.0022907,2561321.2603683
2023-12-26,0.002229,0.0022967,0.0021692,1703548800000,0.0022358,132830.00434247
2023-12-25,0.0023402,0.0023402,0.0021158,1703462400000,0.0021406,631719.75019082
2023-12-24,0.0021301,0.0021301,0.0020582,1703376000000,0.0020838,973023.86633952
2023-12-23,0.0021165,0.0022657,0.0019243,1703289600000,0.0019243,2786974.78156963
2023-12-22,0.0020103,0.0020302,0.0019848,1703203200000,0.0020087,102536.16224199999
2023-12-21,0.0020387,0.0022779,0.00020001,1703116800000,0.0022666,43358439.42194967
2023-12-20,0.00197,0.0020633,0.00197,1703030400000,0.0020148,140810.95480126
2023-12-18,0.0017509,0.0017651,0.001692,1702857600000,0.0017651,504162.1627459
2023-12-17,0.0017744,0.0020709,0.0017414,1702771200000,0.0019831,2600416.86311379
2023-12-16,0.0020099,0.0023249,0.0018446,1702684800000,0.001859,2696139.54610141
2023-12-15,0.001866,0.0020415,0.0018537,1702598400000,0.0020174,383227.79710484
2023-12-14,0.0021855,0.0023249,0.0021117,1702512000000,0.00227,892767.95592963
2023-12-13,0.0023249,0.0024928,0.0022315,1702425600000,0.0023456,1422350.74393839
2023-12-12,0.0024023,0.0025125,0.001581,1702339200000,0.0016239,2642135.76074611
2023-12-11,0.00168,0.00168,0.0016703,1702252800000,0.0016718,3363.11677584
2023-12-08,0.0016952,0.0016952,0.0016952,1701993600000,0.0016952,7385.07935135
2023-12-07,0.0016302,0.0017692,0.0016302,1701907200000,0.00171,19742.070786610002
2023-12-06,0.0015883,0.00172,0.0015883,1701820800000,0.00172,227655.88930483
2023-12-05,0.0016911,0.00172,0.0015067,1701734400000,0.0016208,1822578.1820459
2023-12-04,0.0017837,0.001862,0.0017292,1701648000000,0.0017505,71587.47322567001
2023-12-03,0.0017571,0.0019862,0.0016782,1701561600000,0.0019862,2047189.35321998
2023-12-02,0.0020275,0.00218,0.0020128,1701475200000,0.0021331,46538.68576867
2023-12-01,0.0017728,0.0019203,0.0017728,1701388800000,0.001881,15504.50906886
2023-11-30,0.0016242,0.001743,0.0014281,1701302400000,0.0014281,1985161.7449412001
2023-11-29,0.0013876,0.0014281,0.0013675,1701216000000,0.0013675,32427.14649168
2023-11-28,0.0012453,0.0012666,0.0011,1701129600000,0.00119,1320917.28344397
2023-11-27,0.0010301,0.0010301,0.00099433,1701043200000,0.0010021,1208774.4908
2023-11-26,0.0010413,0.0011166,0.0010413,1700956800000,0.0010796,107738.11659165
2023-11-25,0.0010207,0.0010528,0.0010207,1700870400000,0.0010528,8090.64867043
2023-11-24,0.0010679,0.0010688,0.0010201,1700784000000,0.0010644,518151.66788065
2023-11-23,0.0010574,0.0011281,0.00094061,1700697600000,0.0010059,617137.23828641
2023-11-22,0.0010594,0.001102,0.00104,1700611200000,0.00104,838200.95132002
2023-11-21,0.00095415,0.0010825,0.00093525,1700524800000,0.0010825,59337.7141944
2023-11-20,0.0010396,0.0013503,0.0010396,1700438400000,0.0011478,1440126.91662438
2023-11-19,0.00128,0.0013676,0.00083922,1700352000000,0.00085199,429265.53554383
2023-11-18,0.00084902,0.00086254,0.00080719,1700265600000,0.00083672,1094534.84626436
2023-11-17,0.00089244,0.0009,0.00085586,1700179200000,0.0009,206870.57882517
2023-11-16,0.0010357,0.0010357,0.0010028,1700092800000,0.0010045,23585.44755852
2023-11-15,0.00089686,0.00091949,0.00086734,1700006400000,0.00087565,450698.70052956
2023-11-12,0.00098594,0.0010852,0.00097414,1699747200000,0.0010355,2168686.02134851
2023-11-11,0.0010123,0.0011007,0.00094529,1699660800000,0.00094529,2109152.41850769
2023-11-10,0.00062588,0.00064432,0.00062588,1699574400000,0.00062903,158878.24224837
2023-11-09,0.0006156,0.00066142,0.0006156,1699488000000,0.00064882,310087.86382157
2023-11-08,0.00063739,0.00066696,0.00063739,1699401600000,0.00063759,263929.76658456
2023-11-07,0.00060761,0.00076411,0.00058986,1699315200000,0.00076411,394636.64766668
2023-11-06,0.00079158,0.00080536,0.00064503,1699228800000,0.00066199,2354624.8554016002
2023-11-05,0.00050656,0.00052724,0.00050656,1699142400000,0.00051938,22681.79045851
2023-11-02,0.00058614,0.00058614,0.00058614,1698883200000,0.00058614,7962.31818542
2023-11-01,0.00060925,0.00064484,0.0005882,1698796800000,0.00062791,79272.08324952
2023-10-31,0.0006374,0.0006374,0.00058702,1698710400000,0.00061622,224771.62307924
2023-10-30,0.00056144,0.00061353,0.00055727,1698624000000,0.00059035,393363.40812198
2023-10-23,0.00066265,0.00066265,0.00065558,1698019200000,0.00065558,578667.484375
2023-10-20,0.00062915,0.00062915,0.00062915,1697760000000,0.00062915,4964.47148187
2023-10-19,0.00062915,0.00062916,0.00062915,1697673600000,0.00062916,106575.0
2023-10-18,0.00062915,0.00063622,0.00062915,1697587200000,0.00063622,569652.08825163
2023-10-15,0.000388,0.00078368,0.000388,1697328000000,0.00078368,6236.397105
2023-10-14,0.00078368,0.00078368,0.00078368,1697241600000,0.00078368,1244.808168
2023-10-10,0.00072871,0.00075841,0.00072871,1696896000000,0.000751,128290.93273741001
2023-10-05,0.00080692,0.00094529,0.00075076,1696464000000,0.00094529,34309.83655557
2023-10-04,0.00081,0.00094529,0.00081,1696377600000,0.00094528,18236.78172913
2023-10-03,0.00094528,0.00094528,0.00090865,1696291200000,0.00094174,1390419.45356769
2023-10-02,0.00094174,0.0009742,0.00094174,1696204800000,0.0009742,5135.6274084
2023-10-01,0.00095156,0.00095156,0.00094174,1696118400000,0.00094174,3320.92564739
2023-09-30,0.00095156,0.00095156,0.00094174,1696032000000,0.0009454,106361.07887017001
2023-09-28,0.00094541,0.00094541,0.00094541,1695859200000,0.00094541,31906.567552
2023-09-26,0.00097267,0.00097267,0.00091615,1695686400000,0.00093465,1322675.83440725
2023-09-22,0.00091543,0.00091543,0.00090991,1695340800000,0.00091467,221211.50549251
2023-09-21,0.00091467,0.00091732,0.00091467,1695254400000,0.00091732,300599.53365366
2023-09-18,0.00091732,0.00093274,0.00091732,1694995200000,0.00091733,114714.61354135
2023-09-13,0.00099173,0.00099173,0.00099173,1694563200000,0.00099173,99018.0894999
2023-09-12,0.0010077,0.0010082,0.00099173,1694476800000,0.00099443,102584.15925236
2023-09-05,0.0010089,0.0010089,0.0010089,1693872000000,0.0010089,16156.40065646
2023-08-31,0.0010116,0.0010286,0.0010116,1693440000000,0.0010138,374529.77344549
2023-08-30,0.0010138,0.0010401,0.0010138,1693353600000,0.0010401,2347997.75598603
2023-08-29,0.0010298,0.0010404,0.0010298,1693267200000,0.0010404,2668156.03930116
2023-08-28,0.0010404,0.0010628,0.0010404,1693180800000,0.0010534,1016330.39478603
2023-08-27,0.0010534,0.0010728,0.0010534,1693094400000,0.0010597,732519.08375238
2023-08-26,0.0010702,0.0010714,0.0010597,1693008000000,0.0010654,454089.25225237
2023-08-25,0.0010785,0.0010787,0.0010785,1692921600000,0.0010785,211233.97866384
2023-08-24,0.0010785,0.0010883,0.0010622,1692835200000,0.0010622,1670893.73263536
2023-08-23,0.0010433,0.0010622,0.0010299,1692748800000,0.0010299,2043510.95905698
2023-08-22,0.0010478,0.0010478,0.0010299,1692662400000,0.0010357,3439697.70963021
2023-08-21,0.0010357,0.0010357,0.001007,1692576000000,0.0010111,5725651.14201024
2023-08-20,0.0010111,0.0010187,0.0010111,1692489600000,0.0010165,170861.34524217
2023-08-19,0.0010187,0.0010187,0.0010111,1692403200000,0.0010115,2235711.31550205
2023-08-18,0.00099052,0.0010018,0.00099052,1692316800000,0.00099052,48438.20845176
2023-08-17,0.0010131,0.0010131,0.00099052,1692230400000,0.00099436,2104222.47191334
2023-08-16,0.0010072,0.0010254,0.0010072,1692144000000,0.0010204,3165196.14957421
2023-08-15,0.0010254,0.0010254,0.0010204,1692057600000,0.0010235,1053714.39135818
2023-08-14,0.0010051,0.0010091,0.00095999,1691971200000,0.00095999,3143228.52286384
2023-08-12,0.00098273,0.00099099,0.0009819,1691798400000,0.00099099,2839840.2377115
2023-08-11,0.0009906,0.00101,0.00098894,1691712000000,0.00101,74369.11722633
2023-08-10,0.00099247,0.00099247,0.00099247,1691625600000,0.00099247,23396.36270212
2023-08-09,0.0010095,0.0010095,0.00098894,1691539200000,0.00098894,15768.67501973
2023-08-08,0.0010095,0.0010095,0.00094536,1691452800000,0.00094536,16211298.1982785
2023-08-06,0.00094536,0.00094536,0.00092456,1691280000000,0.00093045,1465757.38590882
2023-08-05,0.00093046,0.00093754,0.00093045,1691193600000,0.00093754,607281.73546347
2023-08-03,0.00096405,0.00096405,0.0009389,1691020800000,0.0009389,3323627.33905845
2023-08-02,0.00093805,0.0009389,0.00093805,1690934400000,0.0009389,179714.83515654
2023-08-01,0.00093535,0.00094192,0.00093535,1690848000000,0.00093859,179227.55105426
2023-07-31,0.00094789,0.0010557,0.00094789,1690761600000,0.0010557,890198.3825849401
2023-07-30,0.0010556,0.0010921,0.0010556,1690675200000,0.0010921,284731.37796784
2023-07-29,0.0010556,0.00125,0.00083,1690588800000,0.00125,6780857.2607854
2023-07-26,0.00083,0.00083,0.00083,1690329600000,0.00083,203351.51945
