date,close,high,low,mts,open,volume
2024-02-25,48.071,48.323,46.298,1708819200000,47.32,146.91387263
2024-02-24,47.228,47.461,44.21,1708732800000,45.571,12.012119180000001
2024-02-23,45.291,46.495,44.215,1708646400000,45.989,398.85543301
2024-02-22,45.798,47.588,44.812,1708560000000,45.653,1366.24346047
2024-02-21,45.803,46.893,43.28,1708473600000,46.658,30.81940345
2024-02-20,46.606,47.912,44.12,1708387200000,47.75,1028.2971881
2024-02-19,47.638,51.0,45.348,1708300800000,45.348,609.70467163
2024-02-18,45.226,45.575,43.869,1708214400000,44.242,19.93665599
2024-02-17,44.344,45.518,42.526,1708128000000,45.417,134.73717603
2024-02-16,45.48,46.314,44.294,1708041600000,45.259,78.59490822
2024-02-15,44.999,46.84,44.714,1707955200000,45.242,484.40352557
2024-02-14,45.319,45.645,43.116,1707868800000,43.299,451.02113732
2024-02-13,43.678,44.188,42.196,1707782400000,43.808,816.40789484
2024-02-12,43.695,44.545,40.586,1707696000000,41.492,33.05251025
2024-02-11,41.603,42.584,41.317,1707609600000,41.366,3.83725356
2024-02-10,41.334,42.479,41.328,1707523200000,42.079,35.25080346
2024-02-09,41.797,42.318,40.244,1707436800000,40.515,219.81045821
2024-02-08,40.587,41.958,39.666,1707350400000,39.976,163.72445857
2024-02-07,39.794,40.173,38.11,1707264000000,38.391,53.41014065
2024-02-06,38.332,39.089,37.747,1707177600000,38.336,11.838186780000001
2024-02-05,38.147,38.734,36.678,1707091200000,37.407,9.713694030000001
2024-02-04,37.463,38.379,37.367,1707004800000,38.158,44.74480834
2024-02-03,38.158,40.419,38.126,1706918400000,39.224,138.39895474
2024-02-02,39.093,39.093,37.911,1706832000000,37.911,8.191707000000001
2024-02-01,37.946,38.179,37.127,1706745600000,38.087,13.40116515
2024-01-31,37.847,40.325,37.722,1706659200000,39.337,45.11668312
2024-01-30,38.874,40.682,38.874,1706572800000,40.093,46.43627025
2024-01-29,40.28,40.318,38.316,1706486400000,38.316,49.51970533
2024-01-28,38.528,39.562,38.175,1706400000000,39.066,37.615007
2024-01-27,39.059,39.71,37.194,1706313600000,37.525,82.11073766
2024-01-26,37.635,38.115,35.508,1706227200000,36.013,40.70860985
2024-01-25,35.972,36.451,35.179,1706140800000,36.105,59.44539747
2024-01-24,36.231,36.867,35.429,1706054400000,36.43,15.76654879
2024-01-23,36.395,37.476,33.831,1705968000000,36.766,219.02539167
2024-01-22,36.682,39.705,36.496,1705881600000,39.435,17.76139381
2024-01-21,39.305,40.259,39.147,1705795200000,39.424,32.76267313
2024-01-20,39.5,39.733,38.225,1705708800000,38.594,23.871657420000002
2024-01-19,38.754,40.138,36.843,1705622400000,39.497,186.28668243
2024-01-18,39.391,41.566,38.578,1705536000000,41.449,21.627809210000002
2024-01-17,41.661,43.15,41.217,1705449600000,42.497,325.92998497
2024-01-16,42.285,42.492,40.816,1705363200000,41.757,58.15900124
2024-01-15,41.604,42.485,40.663,1705276800000,40.967,16.414252
2024-01-14,40.845,42.908,40.736,1705190400000,42.908,12.48579705
2024-01-13,43.031,43.922,41.434,1705104000000,41.767,1262.77912134
2024-01-12,42.545,46.816,41.278,1705017600000,46.701,2105.46978509
2024-01-11,46.723,47.068,42.893,1704931200000,44.657,2037.01993905
2024-01-10,44.473,45.341,38.386,1704844800000,40.041,582.72047076
2024-01-09,39.485,42.238,38.045,1704758400000,41.85,110.597252
2024-01-08,42.596,43.927,35.0,1704672000000,37.842,2640.75928719
2024-01-07,37.534,41.943,37.516,1704585600000,40.291,265.53550432000003
2024-01-06,40.308,42.797,39.211,1704499200000,42.797,151.41436356
2024-01-05,42.978,47.056,41.044,1704412800000,46.489,651.89357675
