date,close,high,low,mts,open,volume
2024-02-25,18.578,18.788,18.401,1708819200000,18.51,1446.77620274
2024-02-24,18.532,18.574,17.772,1708732800000,17.997,4943.7566171
2024-02-23,17.909,18.29,17.6,1708646400000,18.135,7694.7989357
2024-02-22,18.105,19.003,18.077,1708560000000,18.598,12444.22587666
2024-02-21,18.569,19.232,18.0,1708473600000,19.226,45882.96535616
2024-02-20,19.253,19.858,18.403,1708387200000,19.819,27606.90969001
2024-02-19,19.806,20.208,19.662,1708300800000,20.069,11778.76710242
2024-02-18,20.086,20.312,19.773,1708214400000,20.038,6819.0962571
2024-02-17,20.026,20.261,19.248,1708128000000,19.524,8382.82390508
2024-02-16,19.567,20.9,19.2,1708041600000,19.995,98291.59237544
2024-02-15,19.93,20.489,19.7,1707955200000,20.286,30116.86414922
2024-02-14,20.305,20.444,19.807,1707868800000,20.0,15499.11301715
2024-02-13,19.911,20.578,19.51,1707782400000,20.461,30404.71281838
2024-02-12,20.511,20.84,19.805,1707696000000,20.175,15427.24404937
2024-02-11,20.127,20.65,18.914,1707609600000,19.126,19856.06277675
2024-02-10,19.108,19.108,18.013,1707523200000,18.5,104752.68127811
2024-02-09,18.467,18.624,18.039,1707436800000,18.232,28801.14255542
2024-02-08,18.203,19.25,18.0,1707350400000,18.937,9362.13626762
2024-02-07,18.857,19.051,18.074,1707264000000,18.299,12202.90756558
2024-02-06,18.293,19.247,18.286,1707177600000,19.13,21492.16749397
2024-02-05,19.13,19.77,17.907,1707091200000,18.043,39747.24022408
2024-02-04,18.168,18.69,17.571,1707004800000,17.671,15616.21273446
2024-02-03,17.655,18.112,17.525,1706918400000,17.822,6946.27915049
2024-02-02,17.792,18.866,17.173,1706832000000,17.173,66840.09266533
2024-02-01,17.126,17.372,15.17,1706745600000,15.469,34313.90476369
2024-01-31,15.426,16.034,15.1,1706659200000,15.478,18499.77769097
2024-01-30,15.467,15.8,14.909,1706572800000,14.987,5892.30124812
2024-01-29,15.018,15.082,14.292,1706486400000,14.452,23781.0563549
2024-01-28,14.494,14.685,14.202,1706400000000,14.323,8225.60783306
2024-01-27,14.346,14.4,14.113,1706313600000,14.2,1371.93376414
2024-01-26,14.183,14.294,13.653,1706227200000,13.72,7124.60348639
2024-01-25,13.767,14.227,13.518,1706140800000,14.227,11710.64884634
2024-01-24,14.24,14.423,13.932,1706054400000,14.317,13097.2083594
2024-01-23,14.304,14.869,13.58,1705968000000,14.64,17537.26862308
2024-01-22,14.587,15.963,14.537,1705881600000,15.461,19760.83777049
2024-01-21,15.474,15.923,15.411,1705795200000,15.798,5314.33931354
2024-01-20,15.764,16.538,15.692,1705708800000,16.11,21025.69769103
2024-01-19,16.117,16.4,14.506,1705622400000,14.721,27391.82372845
2024-01-18,14.679,15.686,14.234,1705536000000,15.686,20965.55613284
2024-01-17,15.738,16.4,15.307,1705449600000,15.307,19764.89102314
2024-01-16,15.256,15.333,14.799,1705363200000,15.135,6297.96157255
2024-01-15,15.203,16.009,14.832,1705276800000,14.883,35781.67881375
2024-01-14,14.786,15.382,14.31,1705190400000,14.339,11564.09827515
2024-01-13,14.363,14.428,13.81,1705104000000,14.191,3680.15047106
2024-01-12,14.157,15.286,13.615,1705017600000,15.013,55681.0649743
2024-01-11,15.021,15.669,14.603,1704931200000,14.972,23366.33348605
2024-01-10,15.007,15.328,13.58,1704844800000,13.697,14049.27906225
2024-01-09,13.708,14.204,13.294,1704758400000,14.197,17402.87261216
2024-01-08,14.143,14.408,12.513,1704672000000,13.115,12281.2673047
2024-01-07,13.156,13.758,13.044,1704585600000,13.422,4576.19055709
2024-01-06,13.45,14.09,13.231,1704499200000,14.09,5324.32807106
2024-01-05,14.054,14.681,13.823,1704412800000,14.559,19902.46769352
2024-01-04,14.551,14.749,13.997,1704326400000,14.203,5373.38859211
2024-01-03,14.169,15.574,12.358,1704240000000,15.261,52543.03448763
2024-01-02,15.171,16.084,15.08,1704153600000,15.562,14317.03111501
2024-01-01,15.556,15.556,14.844,1704067200000,14.987,8463.69856188
2023-12-31,14.975,15.515,14.763,1703980800000,15.181,4928.49918944
2023-12-30,15.195,15.621,15.09,1703894400000,15.52,27164.81850431
2023-12-29,15.548,16.223,15.2,1703808000000,16.051,9499.59908636
2023-12-28,16.004,17.772,16.004,1703721600000,16.745,61210.1339816
2023-12-27,16.732,16.732,14.685,1703635200000,15.036,24949.16794716
2023-12-26,15.069,15.911,14.28,1703548800000,15.579,20118.67620596
2023-12-25,15.613,15.745,15.155,1703462400000,15.31,13185.25356771
2023-12-24,15.34,15.962,15.156,1703376000000,15.682,11357.67951683
2023-12-23,15.707,15.918,14.942,1703289600000,15.485,16786.45557224
2023-12-22,15.514,15.732,15.094,1703203200000,15.324,11001.15881603
2023-12-21,15.314,15.314,14.213,1703116800000,14.213,18419.65428735
