date,close,high,low,mts,open,volume
2024-02-25,70.179,70.659,69.83,1708819200000,70.532,1198.51132052
2024-02-24,70.405,70.731,68.66,1708732800000,68.787,3879.00076783
2024-02-23,68.768,69.108,67.52,1708646400000,68.79,6768.8500824
2024-02-22,68.786,69.732,67.9,1708560000000,68.88,13008.66504866
2024-02-21,68.986,69.513,67.279,1708473600000,69.504,5855.54056546
2024-02-20,69.552,71.299,67.343,1708387200000,71.294,7783.03746767
2024-02-19,71.21,71.613,70.41,1708300800000,70.73,5067.39247197
2024-02-18,70.692,71.26,69.817,1708214400000,69.916,4011.27513447
2024-02-17,69.949,70.789,68.074,1708128000000,70.647,2942.5301148099998
2024-02-16,70.572,70.91,68.74,1708041600000,69.709,3120.49628926
2024-02-15,69.768,70.87,69.0,1707955200000,69.789,13748.26511208
2024-02-14,69.865,70.81,68.583,1707868800000,69.084,13320.58100529
2024-02-13,69.09,73.138,68.109,1707782400000,72.98,12728.83684417
2024-02-12,72.839,73.429,70.364,1707696000000,71.552,6322.49786787
2024-02-11,71.55,73.047,70.751,1707609600000,70.878,5454.56558164
2024-02-10,70.878,71.22,70.0,1707523200000,70.84,1856.10129258
2024-02-09,70.69,71.885,70.11,1707436800000,70.53,10644.73420928
2024-02-08,70.497,70.627,68.416,1707350400000,68.607,4060.72586784
2024-02-07,68.509,68.87,67.705,1707264000000,68.291,2888.88186036
2024-02-06,68.329,68.768,67.563,1707177600000,67.563,1231.8001685
2024-02-05,67.675,68.213,66.603,1707091200000,66.915,2469.34932425
2024-02-04,66.97,68.886,66.47,1707004800000,68.842,1043.70763882
2024-02-03,68.879,69.17,67.936,1706918400000,68.008,1165.54441451
2024-02-02,67.971,68.38,67.524,1706832000000,67.537,2194.17464729
2024-02-01,67.5,68.101,65.799,1706745600000,66.8,5970.68822597
2024-01-31,66.809,70.0,66.193,1706659200000,67.715,3931.53475888
2024-01-30,67.503,68.668,67.214,1706572800000,68.343,6097.0138769000005
2024-01-29,68.435,68.82,66.86,1706486400000,68.276,2000.62176523
2024-01-28,68.37,68.469,67.331,1706400000000,68.011,4606.0263791200005
2024-01-27,68.124,68.325,66.326,1706313600000,67.029,1180.45129788
2024-01-26,67.112,67.496,65.248,1706227200000,65.43,3320.93845302
2024-01-25,65.566,66.224,64.559,1706140800000,66.19,3161.2639799
2024-01-24,66.199,66.432,64.95,1706054400000,65.376,3605.20237175
2024-01-23,65.59,68.433,63.22,1705968000000,67.556,15062.70320256
2024-01-22,67.327,72.815,66.737,1705881600000,72.178,19791.54638952
2024-01-21,71.887,72.447,70.656,1705795200000,71.479,2562.62435773
2024-01-20,71.41,72.896,70.6,1705708800000,71.375,15597.32357988
2024-01-19,71.369,71.64,67.02,1705622400000,68.37,6383.32114307
2024-01-18,68.111,70.347,66.222,1705536000000,69.543,6727.68670579
2024-01-17,69.4,70.0,68.42,1705449600000,69.482,1771.40377241
2024-01-16,69.448,70.512,68.434,1705363200000,69.186,4280.14566973
2024-01-15,69.111,71.591,68.82,1705276800000,69.905,4099.17886945
2024-01-14,69.735,72.266,69.429,1705190400000,72.048,5178.57695951
2024-01-13,72.02,73.6,71.02,1705104000000,72.987,3652.70129581
2024-01-12,72.934,77.17,70.5,1705017600000,71.869,12120.0269382
2024-01-11,71.93,74.47,69.585,1704931200000,69.785,21278.08558182
2024-01-10,70.044,71.07,65.116,1704844800000,66.912,12634.88440603
2024-01-09,66.919,67.775,64.32,1704758400000,67.605,6756.80976989
2024-01-08,67.7,68.343,61.131,1704672000000,64.28,15948.9263214
2024-01-07,64.299,66.469,63.724,1704585600000,65.689,7778.72146842
2024-01-06,65.62,66.158,63.371,1704499200000,66.051,7919.33828801
2024-01-05,66.017,66.762,63.28,1704412800000,66.49,14611.09773245
2024-01-04,66.515,67.116,64.602,1704326400000,65.312,14753.65615377
2024-01-03,65.279,73.715,56.354,1704240000000,73.086,22624.17076754
2024-01-02,73.05,75.804,72.62,1704153600000,74.738,7681.59646069
2024-01-01,74.71,74.79,72.15,1704067200000,73.064,1783.91596905
2023-12-31,72.866,74.319,71.463,1703980800000,73.201,2389.72809738
2023-12-30,73.275,74.053,72.5,1703894400000,73.3,3321.6421237
2023-12-29,73.241,77.89,72.92,1703808000000,76.78,14433.51970697
2023-12-28,76.642,77.68,74.592,1703721600000,75.863,11135.56106641
2023-12-27,76.073,77.33,72.27,1703635200000,73.332,10864.83114677
2023-12-26,73.31,74.499,71.19,1703548800000,72.254,8823.48399736
2023-12-25,72.392,72.851,70.586,1703462400000,71.262,4232.4899026
2023-12-24,71.214,72.998,70.12,1703376000000,72.611,5266.40346437
2023-12-23,72.61,74.208,71.451,1703289600000,73.691,2835.8237043
2023-12-22,73.691,73.87,70.438,1703203200000,71.017,9949.23014048
2023-12-21,71.003,71.113,68.987,1703116800000,69.756,7919.78905339
2023-12-20,69.81,71.97,69.52,1703030400000,70.798,3436.14696227
2023-12-19,70.747,71.72,69.701,1702944000000,70.903,2109.08510643
2023-12-18,70.84,71.571,68.074,1702857600000,71.186,10139.62515824
2023-12-17,71.21,73.638,70.965,1702771200000,72.309,3714.28938406
2023-12-16,72.299,72.583,70.6,1702684800000,70.992,1594.94895587
2023-12-15,70.94,73.024,70.633,1702598400000,73.024,7234.2694602
2023-12-14,73.004,74.065,71.362,1702512000000,73.219,5038.53764237
2023-12-13,73.216,74.094,70.293,1702425600000,72.359,6866.98327702
2023-12-12,72.406,73.765,71.07,1702339200000,72.776,2565.59471629
2023-12-11,72.784,77.576,70.521,1702252800000,77.379,14759.92272966
2023-12-10,77.223,79.04,76.353,1702166400000,76.361,6093.42872377
2023-12-09,76.341,79.736,75.817,1702080000000,78.408,19719.37420864
