date,close,high,low,mts,open,volume
2024-02-25,0.68314,0.70354,0.65653,1708819200000,0.66397,6223.73189782
2024-02-24,0.66448,0.68074,0.62629,1708732800000,0.64934,5645.00685811
2024-02-23,0.65165,0.67235,0.639,1708646400000,0.65955,6070.1068565
2024-02-22,0.66199,0.67984,0.65464,1708560000000,0.67124,11431.19224902
2024-02-21,0.66702,0.68833,0.64836,1708473600000,0.68676,9426.74223157
2024-02-20,0.68666,0.7247,0.65351,1708387200000,0.71116,8162.44113389
2024-02-19,0.71265,0.73531,0.64335,1708300800000,0.71753,12202.51577515
2024-02-18,0.70981,0.72901,0.70425,1708214400000,0.71317,10868.47084567
2024-02-17,0.70985,0.71931,0.68622,1708128000000,0.71303,4870.3530187
2024-02-16,0.7137,0.74289,0.69807,1708041600000,0.72693,12961.99532102
2024-02-15,0.72776,0.75834,0.68287,1707955200000,0.69071,54643.27179512
2024-02-14,0.68848,0.69898,0.65482,1707868800000,0.65827,9690.83556
2024-02-13,0.65998,0.68808,0.64132,1707782400000,0.67855,3281.20608368
2024-02-12,0.67843,0.67875,0.62587,1707696000000,0.6621,19582.00306387
2024-02-11,0.65907,0.69523,0.6569,1707609600000,0.6836,11019.19948198
2024-02-10,0.68298,0.69587,0.66,1707523200000,0.66993,3018.93776885
2024-02-09,0.66729,0.67796,0.65164,1707436800000,0.65507,122770.06843461
2024-02-08,0.65614,0.68872,0.64564,1707350400000,0.66213,46420.03020798
2024-02-07,0.65817,0.67157,0.63495,1707264000000,0.64401,40986.80980185
2024-02-06,0.63853,0.65071,0.61933,1707177600000,0.63115,2282.02044743
2024-02-05,0.63035,0.65545,0.62236,1707091200000,0.62795,9750.74892139
2024-02-04,0.62778,0.66144,0.62167,1707004800000,0.65809,6631.39218271
2024-02-03,0.65809,0.66728,0.60449,1706918400000,0.6206,42747.37220249
2024-02-02,0.62203,0.62499,0.60441,1706832000000,0.60591,6565.446069
2024-02-01,0.60972,0.61234,0.58874,1706745600000,0.6034,6079.58255297
2024-01-31,0.60317,0.62743,0.59824,1706659200000,0.62743,4500.99108973
2024-01-30,0.62793,0.65221,0.6188,1706572800000,0.64391,5488.92363829
2024-01-29,0.64886,0.6508,0.62302,1706486400000,0.63698,6201.49194522
2024-01-28,0.63798,0.66581,0.62708,1706400000000,0.65296,5092.28962818
2024-01-27,0.6506,0.69556,0.61548,1706313600000,0.61548,8047.39748896
2024-01-26,0.61535,0.61933,0.58217,1706227200000,0.58924,11550.7125708
2024-01-25,0.58417,0.599,0.57434,1706140800000,0.59716,5650.94522405
2024-01-24,0.59766,0.60202,0.5805,1706054400000,0.58557,1614.21357719
2024-01-23,0.583,0.60896,0.55761,1705968000000,0.59419,11706.94311398
2024-01-22,0.59381,0.65182,0.58029,1705881600000,0.65182,24746.01533318
2024-01-21,0.64822,0.66953,0.64822,1705795200000,0.66447,2212.44296683
2024-01-20,0.66265,0.67151,0.65174,1705708800000,0.65984,9219.65330418
2024-01-19,0.65615,0.69322,0.61846,1705622400000,0.69057,63802.84337245
2024-01-18,0.68934,0.75,0.67689,1705536000000,0.73302,14813.02195821
2024-01-17,0.72825,0.74685,0.72222,1705449600000,0.74559,4115.55395983
2024-01-16,0.74712,0.77093,0.72888,1705363200000,0.73552,12654.14084025
2024-01-15,0.7364,0.773,0.71404,1705276800000,0.72482,12689.61820853
2024-01-14,0.72,0.77,0.72,1705190400000,0.75656,18872.79615713
2024-01-13,0.75572,0.80568,0.68584,1705104000000,0.69883,11827.37423602
2024-01-12,0.69489,0.76946,0.67644,1705017600000,0.72901,17728.97021834
2024-01-11,0.73169,0.75278,0.71058,1704931200000,0.7253,16842.53049469
2024-01-10,0.73147,0.73866,0.66041,1704844800000,0.67732,16715.23043542
2024-01-09,0.67306,0.72472,0.64362,1704758400000,0.71889,9736.84369269
2024-01-08,0.72153,0.73924,0.61843,1704672000000,0.66374,5245.40111344
2024-01-07,0.66308,0.7263,0.65518,1704585600000,0.69832,6089.44821571
2024-01-06,0.69751,0.73077,0.67338,1704499200000,0.72264,4611.4169544999995
2024-01-05,0.72694,0.76932,0.70303,1704412800000,0.76273,10593.96767373
2024-01-04,0.75611,0.79896,0.68225,1704326400000,0.69776,24296.53214278
2024-01-03,0.70398,0.86894,0.54459,1704240000000,0.84079,64822.18405723
2024-01-02,0.84079,0.88488,0.83028,1704153600000,0.86608,5290.62414073
2024-01-01,0.86374,0.86374,0.81185,1704067200000,0.82879,8698.52838108
2023-12-31,0.83564,0.89857,0.8,1703980800000,0.86112,20943.58244606
2023-12-30,0.85985,0.8812,0.8319,1703894400000,0.85114,6932.79863862
2023-12-29,0.84926,0.9287,0.83529,1703808000000,0.87615,17916.69160329
2023-12-28,0.87153,0.92795,0.85157,1703721600000,0.91914,20775.944309270002
2023-12-27,0.91557,0.93715,0.87586,1703635200000,0.90356,13835.141954230001
2023-12-26,0.89969,0.99781,0.84364,1703548800000,0.96883,35050.32901626
2023-12-25,0.97448,0.9917,0.93871,1703462400000,0.94684,5042.64578778
2023-12-24,0.94587,1.0025,0.9367,1703376000000,0.98423,8171.07174043
2023-12-23,0.98158,1.0423,0.95257,1703289600000,1.0021,21729.13443768
2023-12-22,1.0025,1.0288,0.92997,1703203200000,0.96289,10133.95606085
2023-12-21,0.97013,0.97999,0.93024,1703116800000,0.94046,7705.47134206
2023-12-20,0.94532,0.98964,0.9363,1703030400000,0.95735,15631.81246969
2023-12-19,0.95287,1.0184,0.90007,1702944000000,0.9018,26750.74877393
2023-12-18,0.91207,0.95425,0.84346,1702857600000,0.9469,27964.74694529
2023-12-17,0.93703,1.0077,0.89403,1702771200000,0.9606,54308.59912346
2023-12-16,0.96403,1.0096,0.92253,1702684800000,0.93832,9074.84524251
2023-12-15,0.93895,1.0275,0.93094,1702598400000,1.011,36913.63987208
2023-12-14,1.0054,1.0369,0.94758,1702512000000,1.0016,30071.67071091
2023-12-13,1.0054,1.0222,0.92,1702425600000,0.97914,64995.66950266
2023-12-12,0.97532,1.0012,0.93714,1702339200000,0.96155,29202.8987404
2023-12-11,0.96653,1.1272,0.92339,1702252800000,1.1012,100583.5780414
2023-12-10,1.0902,1.1845,0.94484,1702166400000,0.96219,143934.26461231
2023-12-09,0.96217,1.0758,0.95,1702080000000,1.0396,107810.21335417
2023-12-08,1.0379,1.0714,0.99708,1701993600000,0.99708,41507.72564282
2023-12-07,0.99471,1.0924,0.9881,1701907200000,1.0308,52783.36607416
2023-12-06,1.0347,1.2253,0.9791,1701820800000,1.1692,123645.91185007
2023-12-05,1.1625,1.2798,1.0647,1701734400000,1.27,575072.80152273
2023-12-04,1.2253,1.2694,0.8824,1701648000000,0.90232,589355.70775255
2023-12-03,0.89857,0.91402,0.798,1701561600000,0.80652,73704.45492528
2023-12-02,0.80332,0.82823,0.78477,1701475200000,0.79912,21419.85310282
2023-12-01,0.79754,0.81144,0.73131,1701388800000,0.73624,27965.105255950002
2023-11-30,0.73251,0.77868,0.72938,1701302400000,0.75955,16105.95220284
2023-11-29,0.75386,0.81866,0.75135,1701216000000,0.78033,29848.0193479
2023-11-28,0.75496,0.80073,0.69063,1701129600000,0.7353,67252.64452733
2023-11-27,0.74851,0.96002,0.7133,1701043200000,0.78175,144979.23274304
2023-11-26,0.79173,0.85338,0.65801,1700956800000,0.65801,194325.27913806
2023-11-25,0.67011,0.68591,0.63069,1700870400000,0.63069,10597.19435323
2023-11-24,0.63507,0.66441,0.63072,1700784000000,0.64471,12433.63117886
2023-11-23,0.62959,0.65463,0.62484,1700697600000,0.6428,1155.84998283
2023-11-22,0.62963,0.65,0.57451,1700611200000,0.57521,39734.5965131
2023-11-21,0.56364,0.62768,0.56259,1700524800000,0.62459,31406.23566542
2023-11-20,0.62576,0.6576,0.62277,1700438400000,0.64509,3843.48741131
2023-11-19,0.64781,0.65784,0.63451,1700352000000,0.63938,882.12671875
2023-11-18,0.64085,0.67419,0.59422,1700265600000,0.64537,29659.22843961
2023-11-17,0.6509,0.71618,0.6223,1700179200000,0.68688,50653.611307700005
2023-11-16,0.6944,0.80694,0.6793,1700092800000,0.76241,27156.91276887
2023-11-15,0.74754,0.81066,0.70653,1700006400000,0.71355,24617.9736614
2023-11-14,0.71145,0.82532,0.67091,1699920000000,0.7231,110086.78672643
2023-11-13,0.72537,0.85,0.71069,1699833600000,0.78863,113494.48271512
2023-11-12,0.78139,0.84753,0.64841,1699747200000,0.71391,47286.23863681
2023-11-11,0.722,0.87043,0.64544,1699660800000,0.85661,164309.23237793
2023-11-10,0.83912,0.87131,0.4823,1699574400000,0.4831,250624.36938717
2023-11-09,0.48066,0.53945,0.4271,1699488000000,0.47731,57434.141059580004
2023-11-08,0.48332,0.49087,0.46027,1699401600000,0.46373,18320.72113128
2023-11-07,0.46898,0.47825,0.44929,1699315200000,0.47186,29035.272106020002
2023-11-06,0.47599,0.48,0.4513,1699228800000,0.46024,6804.648914490001
2023-11-05,0.45909,0.47142,0.44929,1699142400000,0.4509,6291.4109129
2023-11-04,0.44816,0.45243,0.44216,1699056000000,0.44592,6838.83119978
2023-11-03,0.44493,0.44769,0.42445,1698969600000,0.43295,10683.27723019
2023-11-02,0.44877,0.47345,0.44271,1698883200000,0.46213,3396.40626828
2023-11-01,0.46548,0.49002,0.43476,1698796800000,0.45304,32196.50536291
2023-10-31,0.4582,0.49296,0.44068,1698710400000,0.4754,92203.94175822
2023-10-30,0.47712,0.49013,0.46835,1698624000000,0.46958,50935.34845033
2023-10-29,0.4728,0.4765,0.46208,1698537600000,0.46749,12027.71261873
2023-10-28,0.47029,0.49144,0.44103,1698451200000,0.44331,11476.00333762
2023-10-27,0.44364,0.45798,0.44044,1698364800000,0.44881,5867.84530467
2023-10-26,0.45001,0.46849,0.43068,1698278400000,0.45727,13078.65757155
2023-10-25,0.45444,0.474,0.42867,1698192000000,0.44024,63784.75033717
2023-10-24,0.43964,0.45469,0.42206,1698105600000,0.4363,97453.49529846
2023-10-23,0.43071,0.43332,0.38121,1698019200000,0.41631,56877.40899392
2023-10-22,0.41515,0.41817,0.40549,1697932800000,0.41452,609.32627903
2023-10-21,0.41419,0.4209,0.40149,1697846400000,0.40671,8010.1054781699995
2023-10-20,0.40539,0.41535,0.38923,1697760000000,0.39301,3647.40559437
2023-10-19,0.39169,0.40857,0.38864,1697673600000,0.40371,1269.87329543
2023-10-18,0.40503,0.41268,0.40066,1697587200000,0.40871,310.12966854999996
2023-10-17,0.40977,0.43373,0.40482,1697500800000,0.43118,723.42495136
2023-10-16,0.42957,0.44112,0.41087,1697414400000,0.41099,2018.22027952
2023-10-15,0.41098,0.41525,0.4002,1697328000000,0.40099,1105.81224823
2023-10-14,0.40281,0.40734,0.40166,1697241600000,0.40328,97.29533108
2023-10-13,0.40518,0.40923,0.39936,1697155200000,0.40229,139.84708439
2023-10-12,0.40366,0.405,0.39632,1697068800000,0.40219,94.81639625
2023-10-11,0.40514,0.40983,0.39491,1696982400000,0.40713,839.83758057
2023-10-10,0.40423,0.41704,0.3962,1696896000000,0.40688,1597.43257919
