date,close,high,low,mts,open,volume
2024-02-25,18.825,19.002,18.636,1708819200000,18.941,9.02406548
2024-02-24,18.73,19.112,18.053,1708732800000,18.297,51.632414260000004
2024-02-23,18.211,18.73,18.016,1708646400000,18.216,9.70092977
2024-02-22,18.189,18.657,17.655,1708560000000,17.933,116.94578361
2024-02-21,17.969,18.678,17.472,1708473600000,18.678,47.9986363
2024-02-20,18.447,18.899,17.672,1708387200000,18.899,10.89962868
2024-02-19,18.811,19.081,18.695,1708300800000,18.757,51.1478131
2024-02-18,18.675,18.895,18.089,1708214400000,18.402,14.78317855
2024-02-17,18.35,18.608,18.084,1708128000000,18.313,18.22956718
2024-02-16,18.274,18.384,17.987,1708041600000,18.153,9.847222799999999
2024-02-15,18.153,18.799,18.112,1707955200000,18.35,22.32962256
2024-02-14,18.418,18.426,17.912,1707868800000,18.044,43.76047248
2024-02-13,18.056,18.179,17.77,1707782400000,17.998,17.01439919
2024-02-12,17.965,18.108,17.596,1707696000000,17.813,11.86235547
2024-02-11,17.757,18.222,17.699,1707609600000,18.04,21.94285369
2024-02-10,17.89,18.201,17.89,1707523200000,18.14,9.33428026
2024-02-09,18.086,18.149,17.42,1707436800000,17.582,48.69123014
2024-02-08,17.643,17.714,17.389,1707350400000,17.458,81.38647952
2024-02-07,17.439,17.5,16.777,1707264000000,16.872,9.57136761
2024-02-06,16.839,17.039,16.794,1707177600000,16.875,6.96652979
2024-02-05,16.892,17.21,16.867,1707091200000,17.078,47.32682904999999
2024-02-04,17.102,18.269,17.102,1707004800000,17.891,12.20086304
2024-02-03,17.728,17.794,17.144,1706918400000,17.144,9.99040207
2024-02-02,17.105,17.522,16.635,1706832000000,16.635,180.1017843
2024-02-01,16.707,16.996,16.195,1706745600000,16.635,13.8490632
2024-01-31,16.515,17.366,16.432,1706659200000,17.366,123.46106376
2024-01-30,17.281,17.903,17.281,1706572800000,17.808,13.49845304
2024-01-29,17.806,18.041,17.447,1706486400000,17.499,80.65944772
2024-01-28,17.518,18.166,17.503,1706400000000,17.981,15.48400807
2024-01-27,17.944,20.191,17.657,1706313600000,17.967,282.33620158
2024-01-26,17.888,17.932,17.424,1706227200000,17.563,60.46686006
2024-01-25,17.581,18.091,17.336,1706140800000,17.475,478.1698636
2024-01-24,17.573,17.573,16.945,1706054400000,17.133,65.22892846
2024-01-23,17.239,17.856,16.689,1705968000000,17.251,13.69237998
2024-01-22,17.189,18.644,17.121,1705881600000,18.571,13.447002770000001
2024-01-21,18.61,19.304,18.334,1705795200000,18.415,120.42192753
2024-01-20,18.427,18.993,17.963,1705708800000,17.995,76.68065947
2024-01-19,17.943,18.086,17.074,1705622400000,17.947,23.77209615
2024-01-18,17.884,19.165,17.675,1705536000000,18.825,12.6875692
2024-01-17,18.663,19.253,18.474,1705449600000,19.253,9.12186533
2024-01-16,19.186,19.554,18.863,1705363200000,18.896,14.49122047
2024-01-15,18.862,19.2,18.491,1705276800000,18.491,9.54456714
2024-01-14,18.462,19.256,18.455,1705190400000,19.151,217.70131038
2024-01-13,19.116,19.295,18.644,1705104000000,18.674,54.98449123
2024-01-12,18.61,21.046,18.394,1705017600000,19.383,104.09963524
2024-01-11,19.236,19.553,18.3,1704931200000,18.35,128.59547727
2024-01-10,18.303,18.509,17.152,1704844800000,17.534,29.42165308
2024-01-09,17.415,18.139,17.019,1704758400000,17.771,329.76806029
2024-01-08,17.71,17.992,17.018,1704672000000,17.649,1710.3575178
2024-01-07,17.455,19.937,17.414,1704585600000,18.706,10.90287247
2024-01-06,18.671,19.053,17.581,1704499200000,18.453,73.83681286
2024-01-05,18.418,20.044,18.248,1704412800000,20.042,45.44768505
2024-01-04,20.044,20.307,19.011,1704326400000,19.238,11.18988274
2024-01-03,19.198,22.114,18.767,1704240000000,21.223,196.82161270999998
2024-01-02,21.216,22.413,21.211,1704153600000,21.734,76.27536241
2024-01-01,21.779,22.585,20.251,1704067200000,21.034,53.94681286
2023-12-31,20.987,22.503,20.683,1703980800000,21.247,196.82803231
2023-12-30,21.431,23.437,20.236,1703894400000,20.38,232.42671223
2023-12-29,20.33,21.965,19.943,1703808000000,21.136,93.84836530999999
2023-12-28,21.556,23.592,21.052,1703721600000,23.261,92.77668385999999
2023-12-27,23.164,28.811,20.31,1703635200000,21.83,993.35045961
2023-12-26,22.096,27.365,18.498,1703548800000,19.332,2691.94374593
2023-12-25,19.24,19.681,18.199,1703462400000,18.199,172.12260649
2023-12-24,18.325,19.937,18.121,1703376000000,18.668,410.81964585000003
2023-12-23,18.818,20.582,17.422,1703289600000,17.542,716.58776186
2023-12-22,17.634,17.634,16.997,1703203200000,17.227,293.05398088
2023-12-21,17.254,17.738,16.52,1703116800000,16.548,164.0455247
2023-12-20,16.578,16.707,16.106,1703030400000,16.106,60.86493048
2023-12-19,16.173,16.437,15.736,1702944000000,15.861,11.18150851
2023-12-18,15.943,16.011,15.008,1702857600000,15.953,24.81146503
2023-12-17,15.864,16.384,15.755,1702771200000,16.146,13.9135318
2023-12-16,15.903,16.108,15.563,1702684800000,15.773,88.55655185
2023-12-15,15.696,16.878,15.647,1702598400000,16.858,1108.88924364
2023-12-14,16.877,17.174,16.597,1702512000000,17.033,191.5135193
2023-12-13,16.978,17.161,16.258,1702425600000,17.072,110.94551289
2023-12-12,17.144,17.637,16.526,1702339200000,17.29,13.59736276
2023-12-11,17.307,17.722,16.711,1702252800000,17.381,274.3195321
2023-12-10,17.282,17.971,16.892,1702166400000,17.423,204.44532265
2023-12-09,17.655,17.655,16.816,1702080000000,16.868,133.69814816
2023-12-08,16.795,16.996,16.097,1701993600000,16.212,47.85247104
2023-12-07,16.062,16.443,15.918,1701907200000,16.103,19.86282194
2023-12-06,16.121,16.255,15.741,1701820800000,16.18,21.08847474
2023-12-05,16.196,16.282,15.653,1701734400000,16.105,12.69060289
2023-12-04,16.144,16.293,15.622,1701648000000,15.694,17.86993873
2023-12-03,15.592,16.234,15.538,1701561600000,15.778,53.77036779
2023-12-02,15.824,16.782,15.372,1701475200000,15.372,317.78878773
2023-12-01,15.33,15.545,15.006,1701388800000,15.165,203.92718255
2023-11-30,15.347,15.347,15.315,1701302400000,15.315,84.26584
2023-11-29,14.991,15.035,14.991,1701216000000,15.035,0.16619003
2023-11-28,15.073,15.073,14.822,1701129600000,14.822,21.90715452
2023-11-27,14.921,14.921,14.921,1701043200000,14.921,0.336
2023-11-26,15.619,15.619,15.598,1700956800000,15.612,38.10493634
2023-11-25,15.5,15.526,15.139,1700870400000,15.325,367.94541552
2023-11-24,15.165,15.231,15.048,1700784000000,15.167,53.73716653
2023-11-23,14.967,15.111,14.916,1700697600000,15.076,213.34565114999998
2023-11-22,14.95,14.95,14.643,1700611200000,14.65,6.120417509999999
2023-11-21,14.441,15.787,14.441,1700524800000,15.787,139.24674856000001
2023-11-20,15.9,15.903,15.9,1700438400000,15.903,0.64249046
2023-11-19,15.375,15.594,15.375,1700352000000,15.594,34.3486944
2023-11-18,15.413,15.671,15.369,1700265600000,15.428,17.332149779999998
2023-11-16,15.561,16.291,15.561,1700092800000,16.291,27.938172
2023-11-14,16.058,16.412,15.986,1699920000000,16.412,222.6516
2023-11-13,16.781,17.2,16.751,1699833600000,17.2,40.16471269
2023-11-12,17.522,18.658,16.8,1699747200000,16.8,222.14349181
2023-11-11,17.069,17.171,16.648,1699660800000,16.648,137.83048646999998
2023-11-10,16.619,16.619,16.577,1699574400000,16.584,1.10142278
2023-11-09,16.005,16.792,16.005,1699488000000,16.318,17.7268626
2023-11-08,16.384,16.441,16.384,1699401600000,16.441,0.63555886
2023-11-07,16.251,16.251,16.1,1699315200000,16.1,1.28821715
2023-11-05,15.941,15.941,15.941,1699142400000,15.941,0.1061782
2023-11-04,15.776,16.058,15.776,1699056000000,16.058,300.43176399
2023-11-03,15.731,15.731,15.645,1698969600000,15.645,0.43905819
2023-11-02,15.835,16.351,15.835,1698883200000,16.295,1.38977185
2023-11-01,16.235,16.235,16.15,1698796800000,16.15,0.64084019
2023-10-31,15.978,16.069,15.618,1698710400000,16.069,22.62599602
2023-10-30,15.938,15.938,15.827,1698624000000,15.863,13.612603479999999
2023-10-29,15.837,15.837,15.833,1698537600000,15.833,0.32586975
2023-10-28,15.936,15.936,15.649,1698451200000,15.743,67.83752573
2023-10-27,15.662,16.062,15.385,1698364800000,15.576,1720.81232942
2023-10-26,15.651,15.651,15.204,1698278400000,15.401,531.12165
2023-10-25,15.442,15.609,15.145,1698192000000,15.399,149.72043320999998
2023-10-24,15.345,15.637,15.179,1698105600000,15.276,57.70938021
2023-10-23,15.324,15.462,15.021,1698019200000,15.098,247.52603577
2023-10-22,15.153,15.283,14.987,1697932800000,15.211,15.67327903
2023-10-21,15.176,15.458,14.983,1697846400000,15.115,12.11164477
2023-10-20,15.113,15.592,14.935,1697760000000,14.991,75.5356113
2023-10-19,15.003,15.445,14.577,1697673600000,15.39,12.80253023
2023-10-18,15.347,16.048,15.048,1697587200000,15.197,80.62502464
2023-10-17,15.124,15.351,14.973,1697500800000,15.139,12.24479301
2023-10-16,15.174,15.309,14.775,1697414400000,15.029,150.89573185999998
2023-10-15,15.07,16.306,15.0,1697328000000,15.521,240.16394462
2023-10-14,15.423,18.249,15.26,1697241600000,15.847,455.39813983
2023-10-13,15.364,18.728,13.657,1697155200000,13.729,907.94681573
2023-10-12,13.714,14.034,13.657,1697068800000,13.964,14.72339583
2023-10-11,13.987,14.001,13.678,1696982400000,13.8,27.46566616
2023-10-10,13.785,14.148,13.744,1696896000000,14.103,79.94146787
2023-10-09,14.136,14.973,14.015,1696809600000,14.973,23.76036856
2023-10-08,14.985,15.489,14.935,1696723200000,15.173,21.36880268
2023-10-07,15.135,15.325,14.898,1696636800000,15.26,11.83372147
2023-10-06,15.218,15.476,14.779,1696550400000,14.854,10.8349503
2023-10-05,14.858,15.035,14.774,1696464000000,14.917,7.88206803
2023-10-04,14.962,15.597,14.962,1696377600000,15.465,10.8023124
2023-10-03,15.454,15.964,15.385,1696291200000,15.447,12.22817605
2023-10-02,15.452,15.828,15.234,1696204800000,15.828,19.87833324
2023-10-01,15.775,16.063,15.173,1696118400000,15.231,11.03125949
2023-09-30,15.213,16.051,15.213,1696032000000,15.778,10.26154728
2023-09-29,15.756,16.759,15.408,1695945600000,16.759,44.18436407
2023-09-28,16.627,18.035,15.891,1695859200000,16.171,142.49736741
2023-09-27,16.04,17.099,14.949,1695772800000,16.43,236.01193347
2023-09-26,16.317,18.379,15.002,1695686400000,15.275,367.20816554
2023-09-25,15.373,19.026,14.133,1695600000000,17.821,163.60969221
2023-09-24,18.208,19.991,13.617,1695513600000,13.737,470.0311079
2023-09-23,13.721,14.113,13.636,1695427200000,13.805,7.98951326
2023-09-22,13.692,13.721,13.346,1695340800000,13.346,7.60601028
2023-09-21,13.355,13.782,13.324,1695254400000,13.782,12.32417457
2023-09-20,13.763,14.273,13.626,1695168000000,14.068,8.69633963
2023-09-19,14.082,14.148,13.924,1695081600000,14.0,8.32281735
2023-09-18,14.01,14.414,13.678,1694995200000,13.722,11.05331569
2023-09-17,13.704,14.053,13.657,1694908800000,14.053,9.65617024
2023-09-16,14.013,14.513,13.566,1694822400000,13.666,62.55187916
2023-09-15,13.62,13.692,13.352,1694736000000,13.401,10.66647387
2023-09-14,13.413,13.61,13.286,1694649600000,13.352,78.70067103
2023-09-13,13.312,13.384,13.057,1694563200000,13.166,10.20479218
2023-09-12,13.142,13.589,13.043,1694476800000,13.084,11.14697037
2023-09-11,13.042,13.865,12.985,1694390400000,13.768,397.06557032
2023-09-10,13.742,14.387,13.655,1694304000000,14.387,13.84744396
2023-09-09,14.358,14.519,14.119,1694217600000,14.278,6.14291954
2023-09-08,14.295,14.653,14.224,1694131200000,14.538,7.23337714
2023-09-07,14.527,14.554,14.126,1694044800000,14.212,14.787299639999999
2023-09-06,14.256,14.656,14.181,1693958400000,14.638,11.61619868
2023-09-05,14.643,15.037,14.157,1693872000000,15.037,231.39328211
2023-09-04,15.045,15.22,14.913,1693785600000,15.049,21.581769
2023-09-03,15.066,15.2,14.891,1693699200000,14.998,10.96028616
2023-09-02,14.92,15.136,14.807,1693612800000,14.881,7.49590963
2023-09-01,14.851,15.237,14.742,1693526400000,15.196,7.64345209
2023-08-31,15.128,15.989,14.91,1693440000000,15.973,7.67605327
2023-08-30,15.984,16.229,15.942,1693353600000,16.102,6.29672151
2023-08-29,16.08,16.264,15.566,1693267200000,15.852,9.04079585
2023-08-28,15.815,16.396,14.393,1693180800000,15.62,68.47929544
2023-08-27,15.633,22.57,10.101,1693094400000,15.739,914.88182814
2023-08-26,15.753,16.329,15.753,1693008000000,16.104,9.05763393
2023-08-25,16.025,16.332,15.164,1692921600000,15.489,164.87730580000002
2023-08-24,15.462,18.273,15.456,1692835200000,16.004,35.26594
2023-08-23,15.995,16.127,15.611,1692748800000,15.882,7.51123498
2023-08-22,15.918,16.204,15.579,1692662400000,16.168,6.97741191
2023-08-21,16.155,16.264,15.943,1692576000000,16.228,8.3343983
2023-08-20,16.257,16.489,16.252,1692489600000,16.472,5.34139438
2023-08-19,16.446,16.692,15.874,1692403200000,16.313,6.87398189
2023-08-18,16.246,16.665,16.008,1692316800000,16.524,28.90019478
2023-08-17,16.482,17.366,15.954,1692230400000,17.366,7.74601524
2023-08-16,17.396,17.819,17.373,1692144000000,17.819,6.32069436
2023-08-15,17.824,18.128,17.785,1692057600000,18.044,5.45940732
2023-08-14,17.997,18.198,17.959,1691971200000,18.098,6.28709347
2023-08-13,18.143,18.267,17.92,1691884800000,17.968,5.50639181
2023-08-12,17.926,18.039,17.913,1691798400000,18.014,7.951608200000001
2023-08-11,18.018,18.391,17.964,1691712000000,18.265,4.83167634
2023-08-10,18.213,18.379,18.111,1691625600000,18.163,8.12280238
2023-08-09,18.063,18.458,17.783,1691539200000,17.836,7.78317407
2023-08-08,17.818,18.073,17.352,1691452800000,17.749,15.75294031
2023-08-07,17.731,18.185,17.689,1691366400000,17.996,7.53958722
2023-08-06,17.936,18.338,17.894,1691280000000,18.155,41.34602562
2023-08-05,18.208,18.529,18.114,1691193600000,18.474,30.53750146
2023-08-04,18.431,18.999,18.234,1691107200000,18.999,11.23091757
2023-08-03,19.085,20.462,17.878,1691020800000,17.897,659.10905508
2023-08-02,17.942,18.522,17.742,1690934400000,18.522,13.48801812
2023-08-01,18.51,21.412,17.798,1690848000000,20.957,389.65388823
2023-07-31,21.363,24.379,17.636,1690761600000,17.636,1150.79719019
2023-07-30,17.618,17.992,17.562,1690675200000,17.92,11.45023956
2023-07-29,17.966,18.036,17.823,1690588800000,17.908,5.97558128
2023-07-28,17.944,18.376,17.794,1690502400000,17.822,8.14466281
2023-07-27,17.809,18.215,17.333,1690416000000,17.333,81.72378976
2023-07-26,17.359,17.452,16.773,1690329600000,16.926,6.74869694
2023-07-25,16.92,17.355,16.448,1690243200000,16.586,9.42724623
2023-07-24,16.627,17.53,16.574,1690156800000,17.388,58.04743736
2023-07-23,17.352,17.412,17.149,1690070400000,17.192,8.01136395
2023-07-22,17.181,17.526,17.122,1689984000000,17.248,19.46469289
2023-07-21,17.171,17.356,16.986,1689897600000,17.139,9.02485169
2023-07-20,17.177,17.725,16.935,1689811200000,17.058,11.57228331
2023-07-19,17.04,17.458,17.026,1689724800000,17.191,23.7732225
2023-07-18,17.219,17.649,17.186,1689638400000,17.542,23.43170911
2023-07-17,17.529,17.984,17.451,1689552000000,17.863,8.06911194
2023-07-16,17.8,18.533,17.8,1689465600000,18.176,8.56394601
2023-07-15,18.224,18.419,18.112,1689379200000,18.307,7.46408141
2023-07-14,18.313,19.024,18.035,1689292800000,18.769,14.0143077
2023-07-13,18.78,18.785,18.012,1689206400000,18.211,37.43323068
2023-07-12,18.121,18.731,18.054,1689120000000,18.545,23.04578867
2023-07-11,18.485,18.595,18.266,1689033600000,18.381,385.91587652
2023-07-10,18.337,18.825,18.023,1688947200000,18.235,52.22150697
2023-07-09,18.211,18.398,18.186,1688860800000,18.255,6.94087868
2023-07-08,18.183,18.355,17.779,1688774400000,18.247,11.32670601
2023-07-07,18.219,18.446,17.801,1688688000000,17.801,24.25688065
2023-07-06,18.002,19.755,17.973,1688601600000,19.74,139.91703722
2023-07-05,19.864,20.933,17.808,1688515200000,17.808,379.32247106
2023-07-04,18.244,21.234,17.668,1688428800000,17.737,178.33638014
2023-07-03,17.71,18.225,17.358,1688342400000,17.449,10.18912976
2023-07-02,17.445,17.958,17.185,1688256000000,17.281,9.66703264
2023-07-01,17.338,17.783,16.85,1688169600000,17.047,20.41114129
2023-06-30,17.028,17.586,16.829,1688083200000,16.933,82.16917547
2023-06-29,16.948,17.493,16.513,1687996800000,16.539,154.50096541
2023-06-28,16.559,17.889,16.423,1687910400000,17.889,616.27239096
2023-06-27,17.843,18.322,17.539,1687824000000,17.82,30.09341877
2023-06-26,17.745,18.066,17.478,1687737600000,17.96,31.13381001
2023-06-25,18.006,18.525,17.765,1687651200000,17.829,140.14317724
2023-06-24,17.792,17.957,17.305,1687564800000,17.592,12.81155336
2023-06-23,17.503,17.98,16.792,1687478400000,16.792,8.49887509
2023-06-22,16.799,17.059,16.513,1687392000000,16.705,20.576795439999998
2023-06-21,16.759,16.904,16.176,1687305600000,16.22,255.90627594
2023-06-20,16.155,16.225,15.605,1687219200000,16.188,8.04276111
2023-06-19,16.143,16.363,15.855,1687132800000,16.088,141.42118425
2023-06-18,16.003,16.283,15.65,1687046400000,16.273,55.08436194
2023-06-17,16.299,16.418,16.006,1686960000000,16.082,168.36118264
2023-06-16,16.15,16.435,15.74,1686873600000,16.236,63.85232936
2023-06-15,16.264,18.868,16.178,1686787200000,17.102,47.78863541
2023-06-14,17.799,19.385,15.58,1686700800000,15.613,420.04539007
2023-06-13,15.647,15.681,15.154,1686614400000,15.493,145.68685511
2023-06-12,15.452,15.669,15.077,1686528000000,15.426,101.46270051
2023-06-11,15.289,15.667,14.603,1686441600000,14.922,493.81078122
2023-06-10,14.994,17.98,14.67,1686355200000,17.226,87.80256936
2023-06-09,17.237,17.352,17.016,1686268800000,17.22,7.81941586
2023-06-08,17.236,17.257,16.81,1686182400000,16.929,8.7304253
2023-06-07,16.883,17.833,16.731,1686096000000,17.82,8.38213515
2023-06-06,17.765,18.848,16.85,1686009600000,17.579,12.85554235
2023-06-05,17.45,18.404,16.985,1685923200000,18.404,6.89200928
2023-06-04,18.421,18.658,18.421,1685836800000,18.619,5.52649946
2023-06-03,18.635,19.63,18.45,1685750400000,18.601,30.872382469999998
2023-06-02,18.531,18.631,17.993,1685664000000,18.19,9.07701024
2023-06-01,18.244,18.635,17.841,1685577600000,18.226,6.89369191
2023-05-31,18.19,18.689,18.073,1685491200000,18.572,127.31004142
2023-05-30,18.61,18.89,18.195,1685404800000,18.195,97.18146149
2023-05-29,18.552,18.867,18.367,1685318400000,18.839,25.37643555
2023-05-28,18.791,18.984,18.471,1685232000000,18.513,27.642119479999998
2023-05-27,18.548,18.559,18.037,1685145600000,18.294,4.64918894
2023-05-26,18.4,18.598,18.138,1685059200000,18.183,5.96045527
2023-05-25,18.233,18.304,18.021,1684972800000,18.257,28.393054290000002
2023-05-24,18.257,18.677,17.723,1684886400000,18.634,78.62680632
2023-05-23,18.663,18.663,18.026,1684800000000,18.368,5.40621056
2023-05-22,18.305,18.532,17.789,1684713600000,18.492,7.01633776
2023-05-21,18.447,18.782,18.321,1684627200000,18.749,4.97759029
2023-05-20,18.281,18.874,18.174,1684540800000,18.575,6.04142434
2023-05-19,18.605,18.78,17.865,1684454400000,18.334,85.97600016
2023-05-18,18.39,18.755,18.07,1684368000000,18.645,8.3008786
2023-05-17,18.696,18.739,17.9,1684281600000,18.55,18.56509313
2023-05-16,18.599,18.888,17.718,1684195200000,18.269,50.130571690000004
2023-05-15,18.253,18.829,17.907,1684108800000,18.379,7.98579233
2023-05-14,18.244,18.904,17.526,1684022400000,17.917,86.23349160000001
2023-05-13,17.944,18.513,17.457,1683936000000,18.513,10.66707015
2023-05-12,18.563,18.812,17.194,1683849600000,17.362,31.97040503
2023-05-11,17.833,19.301,17.106,1683763200000,18.849,20.47806791
2023-05-10,19.383,20.283,18.819,1683676800000,19.785,520.11286626
2023-05-09,19.275,20.336,19.207,1683590400000,20.001,37.97503225
2023-05-08,19.971,21.98,19.666,1683504000000,21.272,199.26483039000001
2023-05-07,21.009,25.822,20.677,1683417600000,20.949,545.58624845
2023-05-06,20.676,22.404,20.252,1683331200000,20.545,55.37807703
2023-05-05,20.571,20.937,20.259,1683244800000,20.937,5.07626832
2023-05-04,20.84,21.741,20.563,1683158400000,21.006,51.059817
2023-05-03,21.134,21.134,20.422,1683072000000,20.521,46.49182178
2023-05-02,20.493,20.736,20.108,1682985600000,20.108,5.9858942
2023-05-01,20.139,20.678,19.971,1682899200000,20.627,5.67204381
2023-04-30,20.686,21.022,20.636,1682812800000,20.995,4.96157561
2023-04-29,21.041,21.144,20.652,1682726400000,20.717,6.11541404
2023-04-28,20.696,20.888,20.448,1682640000000,20.851,5.51405484
2023-04-27,20.832,21.138,20.689,1682553600000,20.689,9.77465065
2023-04-26,20.486,21.214,20.103,1682467200000,20.639,6.5154100900000005
2023-04-25,20.676,21.018,19.911,1682380800000,20.356,11.23527631
2023-04-24,20.332,20.598,19.997,1682294400000,20.308,7.06501991
2023-04-23,20.29,20.954,19.97,1682208000000,20.954,6.55028695
2023-04-22,21.014,21.014,20.611,1682121600000,20.663,7.02396883
2023-04-21,20.639,21.749,20.526,1682035200000,21.644,6.9565529
2023-04-20,21.616,22.407,21.318,1681948800000,21.583,11.92930672
2023-04-19,21.656,23.677,21.278,1681862400000,23.55,25.07209076
2023-04-18,23.497,23.769,23.009,1681776000000,23.125,10.56645614
2023-04-17,23.187,23.537,22.533,1681689600000,23.537,43.36448619
2023-04-16,23.611,23.994,22.939,1681603200000,23.068,8.02479002
2023-04-15,23.092,23.55,22.905,1681516800000,23.269,7.62897497
2023-04-14,23.413,23.705,22.723,1681430400000,22.811,11.11897626
2023-04-13,22.737,22.941,22.159,1681344000000,22.282,8.11275942
2023-04-12,22.144,22.87,21.965,1681257600000,22.817,10.74287513
2023-04-11,22.795,23.137,22.618,1681171200000,22.959,10.985700229999999
2023-04-10,22.903,23.5,22.185,1681084800000,22.889,10.59377083
2023-04-09,22.578,23.175,21.725,1680998400000,22.362,16.04396413
2023-04-08,21.686,24.623,21.203,1680912000000,21.243,524.91075959
2023-04-07,21.25,21.498,20.822,1680825600000,21.498,5.96872902
2023-04-05,21.498,21.918,21.329,1680652800000,21.78,18.47894313
2023-04-04,21.732,21.863,20.956,1680566400000,21.137,41.42751956
2023-04-03,21.116,21.401,20.449,1680480000000,21.064,58.8226146
2023-04-02,21.109,21.334,20.68,1680393600000,21.297,31.52205475
2023-04-01,21.264,21.424,21.035,1680307200000,21.183,28.58584931
2023-03-31,21.142,21.274,20.639,1680220800000,20.742,25.12443009
2023-03-30,20.779,21.715,20.479,1680134400000,21.428,29.21675571
2023-03-29,21.387,21.581,20.7,1680048000000,20.732,29.34029079
2023-03-28,20.736,21.007,20.162,1679961600000,20.484,32.4948901
2023-03-27,20.452,21.296,20.208,1679875200000,21.033,49.05585942
2023-03-26,21.033,21.335,20.554,1679788800000,20.554,42.00886026
2023-03-25,20.595,21.017,20.5,1679702400000,20.884,20.9623718
2023-03-24,20.857,25.496,20.739,1679616000000,21.638,29.94707177
2023-03-23,21.655,25.496,21.03,1679529600000,21.143,29.77693968
2023-03-22,21.166,22.374,20.653,1679443200000,22.209,95.09572444999999
2023-03-21,22.239,22.558,21.641,1679356800000,21.948,27.94742687
2023-03-20,21.953,23.185,21.901,1679270400000,23.002,30.877573690000002
2023-03-19,22.938,25.496,22.743,1679184000000,23.171,34.93268042
2023-03-18,23.115,23.926,22.743,1679097600000,23.07,30.03847784
2023-03-17,23.052,23.094,21.662,1679011200000,21.829,41.67743151
2023-03-16,21.872,22.002,20.986,1678924800000,20.986,34.73935164
2023-03-15,21.023,22.721,20.871,1678838400000,21.91,39.85221058
2023-03-14,21.836,22.979,21.158,1678752000000,21.613,118.63974949
2023-03-13,21.581,22.029,20.562,1678665600000,21.333,39.87800993
2023-03-12,21.284,21.284,19.566,1678579200000,19.696,35.78508997
2023-03-11,19.743,20.64,19.064,1678492800000,20.296,35.59043629
2023-03-10,20.331,20.872,19.121,1678406400000,20.69,57.62165909
2023-03-09,20.715,22.175,20.288,1678320000000,21.997,59.51727125
2023-03-08,22.042,22.944,21.729,1678233600000,22.173,32.40697508
2023-03-07,22.136,22.92,21.775,1678147200000,22.812,91.31833631
2023-03-06,22.747,23.444,22.573,1678060800000,23.383,26.16123705
2023-03-05,23.326,23.797,23.277,1677974400000,23.508,26.17265075
2023-03-04,23.571,23.88,23.285,1677888000000,23.839,19.76330547
2023-03-03,23.848,25.528,23.628,1677801600000,25.48,106.16492268
2023-03-02,25.471,25.85,24.965,1677715200000,25.742,24.41175091
2023-03-01,25.73,26.001,24.843,1677628800000,24.871,28.13881959
2023-02-28,24.368,25.393,24.368,1677542400000,25.347,22.84215315
2023-02-27,25.373,26.204,24.991,1677456000000,25.514,45.41730308
2023-02-26,25.461,28.209,25.135,1677369600000,25.583,38.53607561
2023-02-25,25.571,25.638,24.811,1677283200000,25.284,30.28586198
2023-02-24,25.221,26.628,24.748,1677196800000,26.508,31.66371815
2023-02-23,26.551,27.438,25.867,1677110400000,26.747,58.98401075
2023-02-22,26.722,27.851,25.226,1677024000000,26.534,68.08097668
2023-02-21,26.332,28.106,25.301,1676937600000,27.996,138.99420045
2023-02-20,28.0,28.0,24.734,1676851200000,25.427,72.79397953
2023-02-19,25.339,28.124,25.031,1676764800000,25.317,78.02697131
2023-02-18,25.49,25.906,24.519,1676678400000,24.942,70.55755146
2023-02-17,24.942,25.547,23.442,1676592000000,23.454,69.46240168
2023-02-16,23.721,25.778,23.444,1676505600000,24.296,135.9595844
2023-02-15,24.266,24.287,23.03,1676419200000,23.202,19.66495503
2023-02-14,23.212,23.259,22.229,1676332800000,22.554,30.8411015
2023-02-13,22.526,22.964,21.897,1676246400000,22.793,31.269761
2023-02-12,22.76,23.508,22.723,1676160000000,23.022,15.10869546
2023-02-11,22.988,23.009,22.694,1676073600000,22.698,7.73090503
2023-02-10,22.734,23.375,22.38,1675987200000,23.169,29.735755440000002
2023-02-09,23.113,25.554,22.925,1675900800000,25.392,42.56098427
2023-02-08,25.34,26.299,24.935,1675814400000,26.184,32.20199647
