date,close,high,low,mts,open,volume
2024-02-25,3.7461,3.8692,3.6567,1708819200000,3.8622,64413.54377674
2024-02-24,3.8669,3.9229,3.3054,1708732800000,3.3517,58745.48633068
2024-02-23,3.3651,3.4247,3.1633,1708646400000,3.2487,70811.46823016
2024-02-22,3.2488,3.3413,3.1396,1708560000000,3.2202,13383.394017050001
2024-02-21,3.2467,3.3868,3.1033,1708473600000,3.3868,17286.42861157
2024-02-20,3.3987,3.5344,3.2385,1708387200000,3.5344,19807.36464008
2024-02-19,3.522,3.6148,3.4866,1708300800000,3.5199,13871.23716882
2024-02-18,3.5088,3.5694,3.2693,1708214400000,3.3218,32625.89902148
2024-02-17,3.3318,3.3423,3.1485,1708128000000,3.2722,14438.95817516
2024-02-16,3.28,3.4552,3.1804,1708041600000,3.4028,16712.2481057
2024-02-15,3.3937,3.4012,3.285,1707955200000,3.3437,28372.79507936
2024-02-14,3.3357,3.4518,3.1794,1707868800000,3.2177,18525.23206244
2024-02-13,3.2154,3.4307,3.1795,1707782400000,3.4286,23784.30460278
2024-02-12,3.3816,3.3941,3.0845,1707696000000,3.1226,81607.41755348
2024-02-11,3.1249,3.218,3.0506,1707609600000,3.0506,26840.89249858
2024-02-10,3.0483,3.1422,2.973,1707523200000,3.0067,26475.22524746
2024-02-09,3.0013,3.0531,2.9268,1707436800000,2.9268,16939.48988063
2024-02-08,2.9258,3.0204,2.8742,1707350400000,2.8742,21758.34256228
2024-02-07,2.8672,2.8873,2.6843,1707264000000,2.7426,19596.57635519
2024-02-06,2.7394,2.7729,2.6914,1707177600000,2.741,2616.15966343
2024-02-05,2.7456,2.8084,2.7135,1707091200000,2.7614,24272.8506166
2024-02-04,2.7521,2.8195,2.7519,1707004800000,2.8153,1964.92460099
2024-02-03,2.8047,2.9338,2.8019,1706918400000,2.8862,1794.38804705
2024-02-02,2.8992,2.9387,2.8384,1706832000000,2.8434,34825.27952504
2024-02-01,2.8527,2.8752,2.7367,1706745600000,2.8245,4203.58974328
