date,close,high,low,mts,open,volume
2024-02-25,0.7256,0.7597,0.71215,1708819200000,0.71856,67502.21268956
2024-02-24,0.71426,0.73188,0.69438,1708732800000,0.72392,34043.15687883
2024-02-23,0.72872,0.82043,0.72148,1708646400000,0.79531,155875.76391902
2024-02-22,0.80327,0.80327,0.72186,1708560000000,0.76888,78238.33587941
2024-02-21,0.76559,0.76559,0.66356,1708473600000,0.72968,51840.86616974
2024-02-20,0.73079,0.75604,0.66399,1708387200000,0.7237,47003.03397262
2024-02-19,0.72298,0.8,0.68757,1708300800000,0.68757,132105.69295245
2024-02-18,0.6826,0.72446,0.63818,1708214400000,0.698,128682.23354767
2024-02-17,0.70013,0.70796,0.53041,1708128000000,0.53987,119605.53624168
2024-02-16,0.5363,0.55295,0.50552,1708041600000,0.50596,39156.8867002
2024-02-15,0.50742,0.51362,0.49976,1707955200000,0.51014,13344.31930815
2024-02-14,0.50915,0.51191,0.49631,1707868800000,0.4986,41727.88278543
2024-02-13,0.49959,0.5119,0.48498,1707782400000,0.48925,9504.75764526
2024-02-12,0.48837,0.48843,0.46776,1707696000000,0.4789,19374.88078529
2024-02-11,0.47842,0.48145,0.46246,1707609600000,0.46246,5099.9543617
2024-02-10,0.46332,0.46824,0.4545,1707523200000,0.46027,12352.87698604
2024-02-09,0.46092,0.46116,0.44993,1707436800000,0.45077,36141.19141613
2024-02-08,0.45134,0.45205,0.43098,1707350400000,0.43222,19998.25981409
2024-02-07,0.43134,0.4343,0.41725,1707264000000,0.41725,21081.03643632
2024-02-06,0.4177,0.42089,0.41241,1707177600000,0.41241,8002.64100332
2024-02-05,0.4138,0.41905,0.39999,1707091200000,0.40623,1630.75465051
2024-02-04,0.40784,0.41706,0.40676,1707004800000,0.41706,2190.45584744
2024-02-03,0.41521,0.42517,0.41521,1706918400000,0.41961,4662.97230372
2024-02-02,0.41809,0.42182,0.41261,1706832000000,0.4141,29637.65760306
2024-02-01,0.41364,0.42174,0.41116,1706745600000,0.42049,4126.46245068
2024-01-31,0.41936,0.44019,0.4177,1706659200000,0.44019,53262.92249233
2024-01-30,0.43594,0.44973,0.43594,1706572800000,0.44245,20712.71924134
2024-01-29,0.44412,0.44412,0.42557,1706486400000,0.42622,11946.08416508
2024-01-28,0.42728,0.44274,0.42431,1706400000000,0.44133,8897.6353229
2024-01-27,0.44017,0.44187,0.42519,1706313600000,0.43207,48545.009589
2024-01-26,0.43035,0.43287,0.41256,1706227200000,0.41374,11108.86489608
2024-01-25,0.41338,0.41711,0.40591,1706140800000,0.41641,10712.07814536
2024-01-24,0.41803,0.42219,0.40786,1706054400000,0.41427,4525.75379275
2024-01-23,0.41365,0.43289,0.39469,1705968000000,0.42223,62638.21179713
2024-01-22,0.4229,0.46189,0.42178,1705881600000,0.45571,16274.2539207
2024-01-21,0.45614,0.46713,0.44085,1705795200000,0.4418,45250.53442823
2024-01-20,0.44209,0.44209,0.41484,1705708800000,0.41484,33159.67731595
2024-01-19,0.41625,0.42368,0.39654,1705622400000,0.4176,33981.29211212
2024-01-18,0.417,0.44543,0.41085,1705536000000,0.44516,16289.76125419
2024-01-17,0.44273,0.45384,0.43883,1705449600000,0.45088,1680.70156822
2024-01-16,0.45012,0.45392,0.43811,1705363200000,0.43811,18642.03445476
2024-01-15,0.43933,0.44633,0.43288,1705276800000,0.43584,4174.07814732
2024-01-14,0.4374,0.45966,0.4374,1705190400000,0.45927,3047.76823257
2024-01-13,0.45816,0.46296,0.44759,1705104000000,0.4494,2562.6370321
2024-01-12,0.45334,0.48252,0.44594,1705017600000,0.47612,14213.26214419
2024-01-11,0.47477,0.48316,0.45765,1704931200000,0.46586,35668.97476446
2024-01-10,0.4621,0.4728,0.41976,1704844800000,0.42872,19723.28188806
2024-01-09,0.42668,0.44522,0.41247,1704758400000,0.44434,18073.65125894
2024-01-08,0.44447,0.44447,0.39483,1704672000000,0.41883,13363.73840177
2024-01-07,0.41558,0.45166,0.41475,1704585600000,0.4437,6529.95340589
2024-01-06,0.44424,0.45742,0.43015,1704499200000,0.45742,5687.52023874
2024-01-05,0.45995,0.48298,0.44763,1704412800000,0.48156,10184.13465056
2024-01-04,0.4799,0.48702,0.46119,1704326400000,0.46502,12067.88567907
2024-01-03,0.46308,0.53519,0.40988,1704240000000,0.5238,24641.56699689
2024-01-02,0.52023,0.54187,0.5159,1704153600000,0.5269,10519.7095154
2024-01-01,0.52818,0.52853,0.50174,1704067200000,0.50955,2408.94298191
2023-12-31,0.50723,0.5234,0.50277,1703980800000,0.51402,4171.17443324
2023-12-30,0.51459,0.52488,0.50517,1703894400000,0.51637,2251.84976393
2023-12-29,0.5155,0.53833,0.50692,1703808000000,0.52537,24936.96394666
2023-12-28,0.52768,0.56782,0.49711,1703721600000,0.56082,177133.40872971
2023-12-27,0.56017,0.56483,0.53435,1703635200000,0.56078,14841.79315497
2023-12-26,0.56144,0.57695,0.52252,1703548800000,0.56378,16044.94140577
2023-12-25,0.56364,0.56555,0.5228,1703462400000,0.52628,20088.44946932
2023-12-24,0.52688,0.55932,0.5225,1703376000000,0.55477,14796.31161773
2023-12-23,0.55274,0.55528,0.52348,1703289600000,0.54064,5426.66953968
2023-12-22,0.54381,0.54687,0.526,1703203200000,0.53932,21255.47552055
2023-12-21,0.54168,0.54168,0.51589,1703116800000,0.52421,27871.93611435
2023-12-20,0.52292,0.54,0.49592,1703030400000,0.49881,52983.48946857
2023-12-19,0.49921,0.51934,0.49577,1702944000000,0.50652,7244.76677326
2023-12-18,0.50743,0.50824,0.46818,1702857600000,0.50158,25398.10536886
2023-12-17,0.50058,0.52099,0.49848,1702771200000,0.51439,2905.14902502
2023-12-16,0.51374,0.53533,0.50992,1702684800000,0.52966,21893.43131155
2023-12-15,0.52702,0.57494,0.52702,1702598400000,0.53848,28092.83961834
2023-12-14,0.54503,0.54991,0.50674,1702512000000,0.50674,42334.03439003
2023-12-13,0.50664,0.51239,0.47144,1702425600000,0.51059,36214.74882917
2023-12-12,0.50847,0.51056,0.47466,1702339200000,0.47847,29998.26464728
2023-12-11,0.47666,0.51613,0.42443,1702252800000,0.51613,53155.40106913
2023-12-10,0.51533,0.5179,0.50049,1702166400000,0.50466,2994.7414926
2023-12-09,0.50338,0.53874,0.5004,1702080000000,0.53362,8449.63029425
2023-12-08,0.53168,0.53316,0.51756,1701993600000,0.51898,5816.60076002
2023-12-07,0.51973,0.52717,0.49977,1701907200000,0.50811,32023.89570791
2023-12-06,0.50681,0.52822,0.50681,1701820800000,0.52295,41002.84605084
2023-12-05,0.52275,0.55671,0.51791,1701734400000,0.54081,55199.35708367
