date,close,high,low,mts,open,volume
2024-02-25,1.0001,1.0001,1.0001,1708819200000,1.0001,118.74229064
2024-02-24,1.0,1.0001,1.0,1708732800000,1.0,1706.68311674
2024-02-23,1.0,1.0,1.0,1708646400000,1.0,1164.09
2024-02-22,1.0,1.0,1.0,1708560000000,1.0,566.74743388
2024-02-20,1.0,1.0,1.0,1708387200000,1.0,825.21077832
2024-02-19,1.0,1.0,1.0,1708300800000,1.0,3.19884134
2024-02-18,1.0,1.0,1.0,1708214400000,1.0,22.17343
2024-02-16,1.0016,1.0016,1.0004,1708041600000,1.0004,4.85647767
2024-02-15,1.0,1.0,1.0,1707955200000,1.0,83438.39311497
2024-02-10,1.0008,1.0008,1.0,1707523200000,1.0,16.31712533
2024-02-09,1.0007,1.0007,1.0,1707436800000,1.0,11.16805039
2024-02-08,0.99861,1.0,0.99861,1707350400000,0.999,886.01305636
2024-02-07,0.99861,0.99861,0.99,1707264000000,0.99,9.54939804
2024-02-06,0.99,0.99,0.99,1707177600000,0.99,9.89353275
2024-02-01,0.99001,0.99001,0.99001,1706745600000,0.99001,69.53
2024-01-31,0.99,0.9995,0.99,1706659200000,0.99,39.67343075
2024-01-30,0.99,0.99,0.99,1706572800000,0.99,14.437656669999999
2024-01-28,0.989,0.991,0.989,1706400000000,0.991,113.58233255
2024-01-27,0.991,0.9998,0.991,1706313600000,0.9998,10.532837820000001
2024-01-23,0.991,0.9995,0.991,1705968000000,0.99101,133.85810445
2024-01-22,0.991,0.991,0.991,1705881600000,0.991,3.61556194
2024-01-18,0.998,0.998,0.98501,1705536000000,0.986,447.67426205
2024-01-16,0.998,0.998,0.985,1705363200000,0.997,25.87801111
2024-01-15,0.984,0.988,0.984,1705276800000,0.988,33.43142746
2024-01-14,0.988,0.988,0.986,1705190400000,0.986,15.35732502
2024-01-13,0.986,0.9987,0.984,1705104000000,0.986,37.82848318
2024-01-12,0.986,0.99,0.98269,1705017600000,0.99,75.91854865
2024-01-11,0.99869,0.99869,0.99869,1704931200000,0.99869,8.2108259
2024-01-10,0.99869,0.99869,0.99869,1704844800000,0.99869,9.78437151
2024-01-09,0.98269,0.99869,0.98269,1704758400000,0.99869,13.32193702
2024-01-08,0.98269,0.99868,0.96372,1704672000000,0.98096,122.88814306
2024-01-04,0.99988,0.99988,0.99988,1704326400000,0.99988,7.69840408
2024-01-03,0.99988,0.99988,0.99481,1704240000000,0.99481,47.236536369999996
2023-12-30,0.99985,0.99985,0.9948,1703894400000,0.9998,242.83875265
2023-12-24,0.9998,0.99989,0.95059,1703376000000,0.95059,209.63669517
2023-12-22,0.95059,0.95059,0.95059,1703203200000,0.95059,2.0410408
2023-12-21,0.95035,0.95062,0.95035,1703116800000,0.95062,1267.93700728
2023-12-15,0.90624,0.90624,0.90624,1702598400000,0.90624,4.73075996
2023-12-14,0.97535,0.99994,0.90273,1702512000000,0.9701,1924.01055667
2023-12-13,0.99988,0.99988,0.99988,1702425600000,0.99988,13.64073251
2023-12-12,0.999,0.999,0.99011,1702339200000,0.99011,1983971.91882775
2023-12-08,0.99001,0.99001,0.99001,1701993600000,0.99001,7.0
2023-12-07,0.9989,0.9989,0.9989,1701907200000,0.9989,3.08005303
2023-12-06,0.9989,0.9989,0.9989,1701820800000,0.9989,195256.09681351
2023-12-04,0.99877,0.9989,0.99871,1701648000000,0.99872,2808.62737022
2023-12-03,0.99872,0.99872,0.99872,1701561600000,0.99872,200.3672667
2023-11-30,0.9989,0.9989,0.9989,1701302400000,0.9989,129.48131211
2023-11-29,0.9989,0.99899,0.9989,1701216000000,0.99899,3237.49973047
2023-11-28,0.999,0.999,0.999,1701129600000,0.999,193.70199099
2023-11-27,0.99899,0.999,0.99899,1701043200000,0.999,69528.99329132
2023-11-26,0.999,0.99967,0.99888,1700956800000,0.99967,1248725.91948739
2023-11-19,0.99954,0.99954,0.99954,1700352000000,0.99954,99.9444785
2023-11-17,1.0,1.0,1.0,1700179200000,1.0,16.92790902
2023-11-16,1.0,1.0,0.99717,1700092800000,0.99927,18610.87137161
2023-11-15,0.99927,0.99927,0.99927,1700006400000,0.99927,4.426542
2023-11-10,0.99954,0.99954,0.99954,1699574400000,0.99954,135.63629046
2023-11-09,1.0,1.0,0.99718,1699488000000,0.9994,20021.24512294
2023-11-08,1.0,1.0,0.99954,1699401600000,0.99954,12.14662772
2023-11-07,1.0,1.0,0.99927,1699315200000,0.99927,19.7183377
2023-11-06,0.9994,1.0,0.9994,1699228800000,1.0,11.05420102
2023-11-05,0.99927,1.0,0.99927,1699142400000,1.0,367.12899679
2023-11-04,1.0,1.0,1.0,1699056000000,1.0,4.81117732
2023-11-02,0.99953,1.0,0.99953,1698883200000,1.0,1014.49217686
2023-11-01,1.0,1.0,1.0,1698796800000,1.0,4.90055282
2023-10-31,1.0,1.0,0.99716,1698710400000,1.0,104.3171207
2023-10-30,0.99914,1.0,0.99913,1698624000000,1.0,1016.97305563
2023-10-29,0.99914,0.99999,0.99914,1698537600000,0.99999,9.91442323
2023-10-28,0.99999,0.99999,0.99999,1698451200000,0.99999,10.626968309999999
2023-10-27,0.99927,0.99927,0.99927,1698364800000,0.99927,261.16300209999997
2023-10-26,0.99927,0.99927,0.99927,1698278400000,0.99927,239.54276183
2023-10-24,1.0007,1.0007,1.0007,1698105600000,1.0007,9.59494659
