date,close,high,low,mts,open,volume
2024-02-25,1.33e-06,1.34e-06,1.3e-06,1708819200000,1.3e-06,386599706.3900761
2024-02-24,1.31e-06,1.31e-06,1.16e-06,1708732800000,1.2e-06,826564868.6917312
2024-02-23,1.2e-06,1.41e-06,1.19e-06,1708646400000,1.2e-06,1054416812.4095982
2024-02-22,1.21e-06,1.23e-06,1.12e-06,1708560000000,1.12e-06,3625738042.1932993
2024-02-21,1.13e-06,1.21e-06,1.1e-06,1708473600000,1.21e-06,1506074231.5288422
2024-02-20,1.16e-06,1.41e-06,1.14e-06,1708387200000,1.39e-06,13583666062.26085
2024-02-19,1.22e-06,1.22e-06,1.22e-06,1708300800000,1.22e-06,5887416.55490987
2024-02-18,1.23e-06,1.59e-06,1.2e-06,1708214400000,1.23e-06,1614590945.9812384
2024-02-17,1.18e-06,1.24e-06,1.15e-06,1708128000000,1.18e-06,593455702.5318283
2024-02-16,1.18e-06,1.3e-06,1.15e-06,1708041600000,1.2e-06,919878573.383177
2024-02-15,1.22e-06,1.3e-06,1.22e-06,1707955200000,1.24e-06,1466206979.4726248
2024-02-14,1.25e-06,1.25e-06,1.08e-06,1707868800000,1.09e-06,2273055831.403084
2024-02-13,1.2e-06,1.2e-06,1.07e-06,1707782400000,1.11e-06,4031519986.7197742
2024-02-12,1.07e-06,1.08e-06,9.4e-07,1707696000000,1e-06,1531029197.2288465
2024-02-11,1.01e-06,1.03e-06,9.9e-07,1707609600000,1.02e-06,607749041.2386299
2024-02-10,1.02e-06,1.03e-06,1e-06,1707523200000,1.03e-06,2566342109.7397213
2024-02-09,1.01e-06,1.02e-06,9.7e-07,1707436800000,9.7e-07,1042688230.9715585
2024-02-08,9.6e-07,9.9e-07,9.3e-07,1707350400000,9.6e-07,1046941384.935263
2024-02-07,9.7e-07,9.7e-07,9e-07,1707264000000,9.2e-07,712371002.4893049
2024-02-06,8.9e-07,9e-07,8.7e-07,1707177600000,9e-07,121416629.3919868
2024-02-05,9e-07,9.6e-07,8.6e-07,1707091200000,8.9e-07,1008845924.9745977
2024-02-04,8.9e-07,9.2e-07,8.9e-07,1707004800000,9.2e-07,191161109.66930392
2024-02-03,9.3e-07,9.4e-07,9e-07,1706918400000,9.2e-07,204127770.57643133
2024-02-02,9.3e-07,9.4e-07,9.3e-07,1706832000000,9.3e-07,1009556121.4865626
2024-02-01,9.2e-07,9.4e-07,9e-07,1706745600000,9.3e-07,104874224.61395457
2024-01-31,9.2e-07,1.08e-06,9.2e-07,1706659200000,1.02e-06,212896121.56179973
2024-01-30,1.02e-06,1.11e-06,1.02e-06,1706572800000,1.06e-06,1154627971.7173142
2024-01-29,1.06e-06,1.19e-06,1.06e-06,1706486400000,1.19e-06,377139207.83528584
2024-01-28,1.19e-06,1.19e-06,1.1e-06,1706400000000,1.11e-06,115384195.95603397
2024-01-27,1.11e-06,1.11e-06,1.11e-06,1706313600000,1.11e-06,102426.1687426
2024-01-26,1.09e-06,1.28e-06,9.8e-07,1706227200000,1.04e-06,465492534.889537
2024-01-25,1.02e-06,1.05e-06,1.01e-06,1706140800000,1.04e-06,290566616.064786
2024-01-24,1.04e-06,1.08e-06,1.01e-06,1706054400000,1.04e-06,831396551.5617218
2024-01-23,1.04e-06,1.12e-06,1.03e-06,1705968000000,1.1e-06,740821846.4286295
2024-01-22,1.12e-06,1.12e-06,1.1e-06,1705881600000,1.11e-06,57048440.6210513
2024-01-21,1.16e-06,1.22e-06,1.16e-06,1705795200000,1.16e-06,23163366.09032052
2024-01-20,1.17e-06,1.17e-06,1.12e-06,1705708800000,1.13e-06,126633644.76559696
2024-01-19,1.12e-06,1.17e-06,1.11e-06,1705622400000,1.14e-06,341551705.2007696
2024-01-18,1.22e-06,1.22e-06,1.15e-06,1705536000000,1.2e-06,388975158.6543904
2024-01-17,1.18e-06,1.25e-06,1.18e-06,1705449600000,1.24e-06,682195576.2128551
2024-01-16,1.23e-06,1.24e-06,1.2e-06,1705363200000,1.24e-06,369897382.32659787
2024-01-14,1.24e-06,1.28e-06,1.22e-06,1705190400000,1.26e-06,66558470.61652714
2024-01-13,1.26e-06,1.27e-06,1.17e-06,1705104000000,1.23e-06,75333850.04101236
2024-01-12,1.28e-06,1.41e-06,1.22e-06,1705017600000,1.37e-06,4138535736.5814204
2024-01-11,1.31e-06,1.44e-06,1.3e-06,1704931200000,1.33e-06,813517377.7530096
2024-01-10,1.3e-06,1.35e-06,1e-06,1704844800000,1.15e-06,9357081200.14009
2024-01-09,1.14e-06,1.18e-06,1e-06,1704758400000,1.17e-06,3713341657.1814456
2024-01-08,1.17e-06,1.17e-06,1.02e-06,1704672000000,1.13e-06,961849288.3150828
2024-01-07,1.11e-06,1.21e-06,1.06e-06,1704585600000,1.21e-06,1265355275.0743246
2024-01-05,1.19e-06,1.24e-06,1.19e-06,1704412800000,1.23e-06,427227052.87374973
2024-01-04,1.27e-06,1.31e-06,1.21e-06,1704326400000,1.23e-06,1433348773.8315523
2024-01-03,1.23e-06,1.42e-06,1.19e-06,1704240000000,1.41e-06,1605452095.0211437
2024-01-02,1.49e-06,1.49e-06,1.39e-06,1704153600000,1.39e-06,246906647.8624351
2024-01-01,1.39e-06,1.41e-06,1.3e-06,1704067200000,1.3e-06,274816545.0440121
2023-12-31,1.32e-06,1.37e-06,1.29e-06,1703980800000,1.34e-06,1220635129.8438234
2023-12-30,1.36e-06,1.36e-06,1.33e-06,1703894400000,1.33e-06,579562603.1071091
2023-12-29,1.33e-06,1.42e-06,1.32e-06,1703808000000,1.35e-06,546633668.1047108
2023-12-28,1.36e-06,1.49e-06,1.34e-06,1703721600000,1.49e-06,321954509.2987457
2023-12-27,1.44e-06,1.6e-06,1.26e-06,1703635200000,1.26e-06,10529913319.41298
2023-12-26,1.32e-06,1.4e-06,1.31e-06,1703548800000,1.39e-06,363896492.25191206
2023-12-25,1.44e-06,1.44e-06,1.37e-06,1703462400000,1.41e-06,45954022.59898051
2023-12-24,1.4e-06,1.41e-06,1.4e-06,1703376000000,1.41e-06,189043051.99861318
2023-12-23,1.47e-06,1.52e-06,1.33e-06,1703289600000,1.52e-06,1843465333.125563
2023-12-22,1.48e-06,1.56e-06,1.24e-06,1703203200000,1.31e-06,1395823528.3459558
2023-12-21,1.29e-06,1.3e-06,1.26e-06,1703116800000,1.27e-06,367245157.00305164
2023-12-20,1.28e-06,1.32e-06,1.26e-06,1703030400000,1.26e-06,1703156705.4821563
2023-12-19,1.26e-06,1.34e-06,1.25e-06,1702944000000,1.31e-06,2983010933.1472144
2023-12-18,1.23e-06,1.33e-06,1.23e-06,1702857600000,1.33e-06,2197569234.975301
2023-12-17,1.33e-06,1.37e-06,1.32e-06,1702771200000,1.32e-06,732272682.303675
2023-12-16,1.41e-06,1.44e-06,1.33e-06,1702684800000,1.33e-06,1059378895.8130388
2023-12-15,1.35e-06,1.41e-06,1.33e-06,1702598400000,1.4e-06,2118752492.5831463
2023-12-14,1.24e-06,1.42e-06,1.24e-06,1702512000000,1.42e-06,136595982.6409588
2023-12-13,1.43e-06,1.44e-06,1.21e-06,1702425600000,1.32e-06,1031413630.5173123
2023-12-12,1.38e-06,1.43e-06,1.35e-06,1702339200000,1.43e-06,366067078.3789805
2023-12-11,1.38e-06,1.58e-06,1.3e-06,1702252800000,1.58e-06,21795352933.11469
2023-12-10,1.58e-06,1.64e-06,1.53e-06,1702166400000,1.6e-06,1531340247.3477802
2023-12-09,1.6e-06,1.75e-06,1.56e-06,1702080000000,1.56e-06,4617634030.83598
2023-12-08,1.53e-06,1.59e-06,1.53e-06,1701993600000,1.57e-06,60268333.2771387
2023-12-07,1.53e-06,1.61e-06,1.47e-06,1701907200000,1.51e-06,3827918319.2215385
2023-12-06,1.51e-06,1.65e-06,1.51e-06,1701820800000,1.65e-06,4737520561.337869
2023-12-05,1.57e-06,1.7e-06,1.41e-06,1701734400000,1.46e-06,3224096243.8435545
2023-12-04,1.41e-06,1.43e-06,1.21e-06,1701648000000,1.21e-06,5717406443.171178
2023-12-03,1.21e-06,1.23e-06,1.18e-06,1701561600000,1.21e-06,2948410517.2965803
