date,close,high,low,mts,open,volume
2024-02-25,3.4066,3.4914,3.2643,1708819200000,3.2777,4019.7142737199997
2024-02-24,3.2843,3.6904,3.1,1708732800000,3.6903,862.4887281800001
2024-02-23,3.2162,3.2809,3.179,1708646400000,3.2782,525.98417647
2024-02-22,3.2885,3.3676,3.2879,1708560000000,3.3023,766.10690268
2024-02-21,3.2183,3.3645,3.1957,1708473600000,3.3625,1270.63799816
2024-02-20,3.3359,3.6666,3.1647,1708387200000,3.2909,2388.06149555
2024-02-19,3.3721,3.4489,3.3079,1708300800000,3.3256,1923.71448805
2024-02-18,3.3171,3.4059,3.2924,1708214400000,3.3112,1003.23608617
2024-02-17,3.2992,3.3188,3.1925,1708128000000,3.2355,1804.63062922
2024-02-16,3.3269,3.4459,3.264,1708041600000,3.3197,4361.15387262
2024-02-15,3.3279,3.4276,3.0931,1707955200000,3.0932,7792.61160228
2024-02-14,3.0921,3.093,3.0139,1707868800000,3.0139,1633.63223911
2024-02-13,3.0362,3.0651,3.0113,1707782400000,3.0649,417.74806145
2024-02-12,3.0645,3.0645,2.9557,1707696000000,3.0147,1758.56040541
2024-02-11,2.9843,3.7132,2.9697,1707609600000,3.0066,3189.11695909
2024-02-10,3.0278,3.0278,3.005,1707523200000,3.005,378.70420496
2024-02-09,3.0184,3.0239,2.9615,1707436800000,2.9616,2690.02283512
2024-02-08,2.9379,2.938,2.9109,1707350400000,2.9109,1155.31145171
2024-02-07,2.8159,2.8593,2.8159,1707264000000,2.8534,196.68841552
2024-02-06,2.8552,2.8552,2.8318,1707177600000,2.8318,84.65899999999999
2024-02-05,2.8217,2.8666,2.8217,1707091200000,2.8642,279.681264
2024-02-04,2.865,2.865,2.865,1707004800000,2.865,88.38564111000001
2024-02-02,2.8671,2.8808,2.8549,1706832000000,2.8669,610.60834089
2024-02-01,2.8196,2.837,2.8085,1706745600000,2.8271,1004.90287548
2024-01-31,2.8326,2.9273,2.8326,1706659200000,2.8895,1528.80428769
2024-01-30,2.9266,2.9689,2.9266,1706572800000,2.9689,239.605046
2024-01-29,2.9505,2.9505,2.8954,1706486400000,2.9067,1396.008
2024-01-28,2.8948,2.9117,2.6998,1706400000000,2.6998,299.4729325
2024-01-27,2.9288,2.9501,2.8,1706313600000,2.9495,414.86974289
2024-01-26,2.9047,2.9161,2.7977,1706227200000,2.7977,754.66201426
2024-01-25,2.8142,2.8772,2.7919,1706140800000,2.8772,929.35393467
2024-01-24,2.8769,2.8797,2.7996,1706054400000,2.8308,1265.30237916
2024-01-23,2.7948,2.8443,2.5,1705968000000,2.8438,13918.426941
2024-01-22,2.8565,2.9869,2.8547,1705881600000,2.9795,955.76223187
2024-01-21,3.0337,3.0809,3.0337,1705795200000,3.0633,286.65347286
2024-01-20,3.0224,3.0523,3.0134,1705708800000,3.0435,326.15559045
2024-01-19,3.0407,3.0525,2.8622,1705622400000,2.9264,2058.40480529
2024-01-18,2.965,3.1399,2.9645,1705536000000,3.1029,1028.65214234
2024-01-17,3.1095,3.1574,3.0642,1705449600000,3.1568,1216.47171522
2024-01-16,3.1246,3.1404,3.1186,1705363200000,3.1273,115.66071347
2024-01-15,3.1126,3.1295,3.098,1705276800000,3.098,386.379004
2024-01-13,3.1243,3.1311,3.0639,1705104000000,3.0639,22.26279685
2024-01-12,3.1064,3.4311,3.1064,1705017600000,3.39,692.05838576
2024-01-11,3.2579,3.4027,3.1897,1704931200000,3.1897,998.67412154
2024-01-10,3.0627,3.0627,2.9571,1704844800000,2.9794,481.41089112000003
2024-01-09,2.9,3.0211,2.8699,1704758400000,3.0211,572.97082058
2024-01-08,3.0122,3.0122,2.75,1704672000000,2.9431,2069.66887
2024-01-07,2.9443,3.1776,2.9443,1704585600000,3.1776,524.74945648
2024-01-06,3.041,3.1349,2.98,1704499200000,3.1349,345.190911
2024-01-05,3.0347,3.2645,3.0171,1704412800000,3.2645,1185.77833087
2024-01-04,3.2586,3.2739,3.158,1704326400000,3.271,570.64064985
2024-01-03,3.2732,4.57,2.97,1704240000000,3.7042,2863.70378022
2024-01-02,3.665,3.697,3.6373,1704153600000,3.697,284.57389391
2024-01-01,3.6525,3.7821,3.5619,1704067200000,3.7241,1168.60657
2023-12-31,3.6868,3.8427,3.5472,1703980800000,3.5634,3823.81364973
2023-12-30,3.5307,3.5441,3.3547,1703894400000,3.4405,1771.65691449
2023-12-29,3.3546,3.4259,3.3375,1703808000000,3.3896,597.67278741
2023-12-28,3.5426,3.6713,3.4513,1703721600000,3.5991,326.87503000000004
2023-12-27,3.5749,3.7,3.2518,1703635200000,3.2765,1136.79733748
2023-12-26,3.3652,3.4617,3.1375,1703548800000,3.4049,3465.07474312
2023-12-25,3.3956,3.3982,3.3031,1703462400000,3.3031,1137.31423687
2023-12-24,3.1948,3.1948,3.1948,1703376000000,3.1948,17.65161722
2023-12-23,3.3209,3.3209,3.2395,1703289600000,3.2395,647.91512357
2023-12-22,3.2866,3.3408,3.2866,1703203200000,3.3292,209.28828
2023-12-21,3.1839,3.3195,3.1839,1703116800000,3.2087,227.23703617
2023-12-20,3.14,3.21,3.1221,1703030400000,3.21,65.23571478
2023-12-19,3.0983,3.0983,3.0983,1702944000000,3.0983,106.28885661
2023-12-18,3.0775,3.0775,3.0464,1702857600000,3.0478,375.55
2023-12-16,3.16,3.2124,3.16,1702684800000,3.2059,579.958
2023-12-15,3.1908,3.1987,3.178,1702598400000,3.1987,495.42719189999997
2023-12-14,3.2362,3.2362,3.0848,1702512000000,3.1729,861.8607637
2023-12-13,3.1894,3.1894,3.0254,1702425600000,3.1737,1418.5010568
2023-12-12,3.0918,3.1519,3.0918,1702339200000,3.1302,964.19131951
2023-12-11,3.1169,3.4055,3.0355,1702252800000,3.4055,6657.1143352399995
2023-12-10,3.4464,3.5614,3.3761,1702166400000,3.4659,1101.96282498
2023-12-09,3.4788,3.5645,3.4788,1702080000000,3.48,827.37659072
2023-12-08,3.4214,3.4214,3.2715,1701993600000,3.2715,1558.43107222
2023-12-07,3.266,3.3382,3.1491,1701907200000,3.2873,1312.48257216
2023-12-06,3.2046,3.2547,3.1493,1701820800000,3.245,1941.32409657
2023-12-05,3.1738,3.2259,3.0793,1701734400000,3.1791,1283.43320931
2023-12-04,3.1346,3.1817,2.5,1701648000000,3.1652,31538.29223448
2023-12-03,3.0983,3.1437,3.0983,1701561600000,3.1342,218.25128
2023-12-02,3.1237,3.1237,3.0875,1701475200000,3.0875,506.5549
2023-12-01,3.0499,3.0583,3.0434,1701388800000,3.0583,262.97
2023-11-30,3.0028,3.0097,2.9957,1701302400000,2.9957,83.53306761
2023-11-29,3.0435,3.0435,3.0435,1701216000000,3.0435,0.999
2023-11-28,3.0637,3.0637,3.0356,1701129600000,3.0356,47.08941584
2023-11-27,3.0005,3.2221,2.9919,1701043200000,3.196,1705.77156392
2023-11-26,3.2129,3.3429,3.1976,1700956800000,3.3429,1065.42756082
2023-11-25,3.3329,3.339,3.1779,1700870400000,3.1779,3793.70585898
2023-11-24,3.1039,3.1272,3.0868,1700784000000,3.0996,472.04804
2023-11-23,3.0517,3.0751,3.0126,1700697600000,3.0751,242.78111271
2023-11-22,3.0854,3.0854,2.8803,1700611200000,2.8803,901.46967645
2023-11-21,2.9207,3.1649,2.8738,1700524800000,3.1572,1589.30586611
2023-11-20,3.1768,3.2045,3.1366,1700438400000,3.1587,777.91269179
2023-11-19,3.0587,3.0587,3.0587,1700352000000,3.0587,134.63400764
2023-11-18,3.038,3.1091,2.9648,1700265600000,3.1091,28041.15
2023-11-17,3.1218,3.1699,2.9839,1700179200000,3.0903,961.18444495
2023-11-16,3.0818,3.21,3.069,1700092800000,3.21,407.900567
2023-11-15,3.2163,3.2163,3.1352,1700006400000,3.1352,371.86021163
2023-11-14,3.0721,3.175,2.999,1699920000000,3.0615,704.97263172
2023-11-13,3.1207,3.4563,3.1207,1699833600000,3.2176,13295.90017977
2023-11-12,3.2277,3.4292,3.0642,1699747200000,3.1747,1312.52182373
2023-11-11,3.5,3.5,3.1268,1699660800000,3.2943,800.30909808
2023-11-10,3.4569,3.4569,3.0888,1699574400000,3.0888,1865.7097776599999
2023-11-09,3.0233,3.2778,2.6216,1699488000000,3.1624,4613.29146628
2023-11-08,3.0876,3.0876,3.0863,1699401600000,3.0863,124.9523
2023-11-07,3.0793,3.1948,2.998,1699315200000,3.1948,1148.91954396
2023-11-06,3.1903,3.2446,3.1189,1699228800000,3.1189,1738.2151792
2023-11-05,3.1515,3.4017,3.0098,1699142400000,3.0098,4072.4435621
2023-11-04,3.0686,3.3146,2.9023,1699056000000,3.1287,5976.52710617
2023-11-03,3.1083,3.115,2.9685,1698969600000,3.0931,2554.691261
2023-11-02,3.1946,3.5105,3.1941,1698883200000,3.4991,5077.51622463
2023-11-01,3.5037,3.5389,3.0722,1698796800000,3.1189,4277.06772312
2023-10-31,3.1185,3.1185,2.8826,1698710400000,3.0486,2807.54855971
2023-10-30,3.0582,3.0839,2.9592,1698624000000,3.0127,3473.84366156
2023-10-29,3.0201,3.1646,2.9218,1698537600000,3.1472,9858.66675942
2023-10-28,3.098,3.3114,2.7297,1698451200000,2.7297,24497.598095
