date,close,high,low,mts,open,volume
2024-02-25,0.51511,0.52295,0.51038,1708819200000,0.52179,26989.0196286
2024-02-24,0.5211,0.52417,0.49,1708732800000,0.49683,57230.81239852
2024-02-23,0.49689,0.50803,0.48482,1708646400000,0.50064,65135.42818438
2024-02-22,0.4998,0.5092,0.47926,1708560000000,0.49078,34659.09954287
2024-02-21,0.4922,0.51389,0.47418,1708473600000,0.51329,61839.30475952
2024-02-20,0.51389,0.52997,0.4922,1708387200000,0.52997,116591.03365815
2024-02-19,0.52731,0.53153,0.50502,1708300800000,0.50857,64496.740560340004
2024-02-18,0.5098,0.5145,0.49335,1708214400000,0.50654,31669.923787069998
2024-02-17,0.50562,0.51972,0.48367,1708128000000,0.49501,93369.17390422
2024-02-16,0.49452,0.50803,0.48424,1708041600000,0.49308,39275.33925497
2024-02-15,0.49277,0.49748,0.47588,1707955200000,0.47996,126287.63214956
2024-02-14,0.47926,0.48254,0.4627,1707868800000,0.46599,51763.57376071
2024-02-13,0.46667,0.48482,0.45627,1707782400000,0.48254,30523.13680258
2024-02-12,0.48198,0.48424,0.45685,1707696000000,0.46821,48205.22813142
2024-02-11,0.46765,0.47588,0.46599,1707609600000,0.4715,24935.12092109
2024-02-10,0.47196,0.47815,0.46379,1707523200000,0.47297,29636.62744121
2024-02-09,0.47196,0.47362,0.4533,1707436800000,0.4533,41750.21208891
2024-02-08,0.45153,0.45213,0.44326,1707350400000,0.44715,70463.79066175
2024-02-07,0.44587,0.44843,0.42796,1707264000000,0.43405,21833.10845581
2024-02-06,0.43355,0.43805,0.42745,1707177600000,0.43027,27012.14516005
2024-02-05,0.43101,0.43702,0.41811,1707091200000,0.42702,25460.42558459
2024-02-04,0.42745,0.43795,0.42654,1707004800000,0.43795,17804.08748691
2024-02-03,0.43857,0.44735,0.43652,1706918400000,0.44379,8462.7426469
2024-02-02,0.44332,0.44843,0.436,1706832000000,0.43994,18939.24193331
2024-02-01,0.44016,0.44067,0.42702,1706745600000,0.43718,27667.49624187
2024-01-31,0.43702,0.45469,0.43529,1706659200000,0.45465,111871.68137851
2024-01-30,0.45416,0.46765,0.45267,1706572800000,0.46299,40613.91027131
2024-01-29,0.46406,0.46543,0.44379,1706486400000,0.44872,28355.12317269
2024-01-28,0.45055,0.46932,0.44682,1706400000000,0.45598,29486.60835946
2024-01-27,0.45469,0.45685,0.44629,1706313600000,0.45243,14439.04548487
2024-01-26,0.45318,0.45576,0.43405,1706227200000,0.43727,27130.93450761
2024-01-25,0.43857,0.44525,0.42946,1706140800000,0.44496,57929.8606212
2024-01-24,0.44609,0.44897,0.43352,1706054400000,0.44101,50506.13925299
2024-01-23,0.44067,0.46225,0.41718,1705968000000,0.454,100475.40274368
2024-01-22,0.45362,0.48772,0.45089,1705881600000,0.4865,85464.81426599
2024-01-21,0.48666,0.49748,0.48482,1705795200000,0.48752,28889.77737691
2024-01-20,0.48863,0.49277,0.47926,1705708800000,0.4877,26916.40668585
2024-01-19,0.48942,0.4922,0.45469,1705622400000,0.48159,126839.17313288
2024-01-18,0.48064,0.50743,0.47097,1705536000000,0.5062,53652.30956679
2024-01-17,0.50743,0.52295,0.4998,1705449600000,0.52027,39329.86201515
2024-01-16,0.52,0.52479,0.49689,1705363200000,0.50322,49253.79616057
2024-01-15,0.50263,0.50861,0.49023,1705276800000,0.49084,37367.10987799
2024-01-14,0.49,0.51039,0.48829,1705190400000,0.51039,45600.70889478
2024-01-13,0.51005,0.51389,0.48714,1705104000000,0.50613,49010.26233191
2024-01-12,0.50441,0.55302,0.48815,1705017600000,0.53768,105584.02085642
2024-01-11,0.53785,0.54731,0.51329,1704931200000,0.52,85958.05082948
2024-01-10,0.51939,0.5328,0.46821,1704844800000,0.47585,222985.76086885
2024-01-09,0.47701,0.50263,0.46118,1704758400000,0.50028,91582.84193771
2024-01-08,0.50263,0.50562,0.43652,1704672000000,0.47124,106966.4249192
2024-01-07,0.46877,0.51574,0.46488,1704585600000,0.49755,90446.98566796
2024-01-06,0.4998,0.51269,0.47378,1704499200000,0.51182,61885.43557145
2024-01-05,0.51281,0.54346,0.49162,1704412800000,0.5376,101331.89955458
2024-01-04,0.53915,0.54346,0.50381,1704326400000,0.51607,75668.7348843
2024-01-03,0.51697,0.60004,0.43789,1704240000000,0.58837,146005.40736351
2024-01-02,0.58689,0.61932,0.58013,1704153600000,0.60339,37447.39609397
2024-01-01,0.60429,0.62438,0.58289,1704067200000,0.59952,111411.19180417
2023-12-31,0.59664,0.60429,0.57215,1703980800000,0.57538,38515.56201578
2023-12-30,0.57605,0.58563,0.56093,1703894400000,0.57506,35678.72494645
2023-12-29,0.57481,0.59455,0.55892,1703808000000,0.57944,56248.68713197
2023-12-28,0.58082,0.61133,0.56875,1703721600000,0.60251,50866.80617948
2023-12-27,0.60358,0.63077,0.59244,1703635200000,0.62915,77377.5997507
2023-12-26,0.62722,0.67895,0.56263,1703548800000,0.60645,286383.83947067
2023-12-25,0.60717,0.62005,0.54448,1703462400000,0.56486,211111.04529595
2023-12-24,0.56369,0.57809,0.52794,1703376000000,0.5328,108361.51222645999
2023-12-23,0.53341,0.54233,0.52356,1703289600000,0.54233,21194.54650196
2023-12-22,0.54217,0.55497,0.52978,1703203200000,0.54626,51765.794212
2023-12-21,0.546,0.54665,0.51329,1703116800000,0.51697,70812.26097864
2023-12-20,0.51758,0.52542,0.48198,1703030400000,0.49023,56936.42039794
