date,close,high,low,mts,open,volume
2024-02-25,9.64e-06,9.68e-06,9.59e-06,1708819200000,9.66e-06,233511937.99720293
2024-02-24,9.66e-06,9.67e-06,9.34e-06,1708732800000,9.55e-06,821955991.3852106
2024-02-23,9.52e-06,9.61e-06,9.36e-06,1708646400000,9.54e-06,438768010.22247845
2024-02-22,9.54e-06,9.72e-06,9.43e-06,1708560000000,9.54e-06,2047251345.5802045
2024-02-21,9.54e-06,9.76e-06,9.32e-06,1708473600000,9.74e-06,702625990.0237249
2024-02-20,9.75e-06,9.93e-06,9.38e-06,1708387200000,9.91e-06,3395561621.4916487
2024-02-19,9.86e-06,9.92e-06,9.69e-06,1708300800000,9.78e-06,1167004122.294847
2024-02-18,9.72e-06,9.84e-06,9.58e-06,1708214400000,9.64e-06,1019599253.534186
2024-02-17,9.63e-06,9.88e-06,9.42e-06,1708128000000,9.87e-06,991956073.8531187
2024-02-16,9.88e-06,1.002e-05,9.67e-06,1708041600000,9.86e-06,4539149309.662178
2024-02-15,9.88e-06,1.002e-05,9.73e-06,1707955200000,9.79e-06,1802283164.9931772
2024-02-14,9.77e-06,9.84e-06,9.41e-06,1707868800000,9.46e-06,3905603802.2704983
2024-02-13,9.48e-06,9.72e-06,9.37e-06,1707782400000,9.65e-06,1104574158.811333
2024-02-12,9.62e-06,9.66e-06,9.23e-06,1707696000000,9.41e-06,3694661262.2926745
2024-02-11,9.39e-06,9.59e-06,9.37e-06,1707609600000,9.4e-06,4580272329.192124
2024-02-10,9.42e-06,9.53e-06,9.27e-06,1707523200000,9.4e-06,5999684701.782228
2024-02-09,9.39e-06,9.46e-06,9.21e-06,1707436800000,9.21e-06,836991752.539333
2024-02-08,9.19e-06,9.35e-06,9.05e-06,1707350400000,9.07e-06,1379836947.188395
2024-02-07,9.06e-06,9.08e-06,8.82e-06,1707264000000,8.88e-06,363539302.9012709
2024-02-06,8.86e-06,8.95e-06,8.83e-06,1707177600000,8.9e-06,989670394.1433462
2024-02-05,8.9e-06,9.03e-06,8.78e-06,1707091200000,8.87e-06,4064158237.183341
2024-02-04,8.89e-06,9.13e-06,8.88e-06,1707004800000,9.08e-06,282191041.04992384
2024-02-03,9.1e-06,9.15e-06,9.03e-06,1706918400000,9.08e-06,500041962.7697637
2024-02-02,9.06e-06,9.09e-06,8.93e-06,1706832000000,9.04e-06,6363704684.267039
2024-02-01,9.03e-06,9.03e-06,8.77e-06,1706745600000,8.97e-06,1151143790.164323
2024-01-31,8.96e-06,9.14e-06,8.87e-06,1706659200000,9.08e-06,600021040.2257731
2024-01-30,9.01e-06,9.44e-06,9.01e-06,1706572800000,9.21e-06,2046497253.7673094
2024-01-29,9.2e-06,9.27e-06,8.96e-06,1706486400000,9.01e-06,1788577467.6446202
2024-01-28,9.01e-06,9.25e-06,8.95e-06,1706400000000,9.14e-06,499640718.0828872
2024-01-27,9.13e-06,9.2e-06,8.99e-06,1706313600000,9.05e-06,1215351863.7797604
2024-01-26,9.04e-06,9.12e-06,8.81e-06,1706227200000,8.81e-06,1004268295.2764443
2024-01-25,8.86e-06,8.93e-06,8.75e-06,1706140800000,8.89e-06,6828072740.107226
2024-01-24,8.92e-06,9e-06,8.76e-06,1706054400000,8.83e-06,1713500783.5680826
2024-01-23,8.84e-06,9.07e-06,8.45e-06,1705968000000,8.98e-06,2020624950.020577
2024-01-22,8.94e-06,9.37e-06,8.9e-06,1705881600000,9.37e-06,1576111723.2422645
2024-01-21,9.38e-06,9.72e-06,9.36e-06,1705795200000,9.72e-06,1093278150.9963048
2024-01-20,9.69e-06,9.79e-06,9.29e-06,1705708800000,9.31e-06,5766910849.777437
2024-01-19,9.31e-06,9.36e-06,8.82e-06,1705622400000,9.21e-06,1167980616.062098
2024-01-18,9.2e-06,9.56e-06,8.99e-06,1705536000000,9.51e-06,3831416354.9565887
2024-01-17,9.52e-06,9.71e-06,9.39e-06,1705449600000,9.66e-06,3578686922.508753
2024-01-16,9.68e-06,9.75e-06,9.49e-06,1705363200000,9.56e-06,941184433.1432983
2024-01-15,9.58e-06,9.75e-06,9.51e-06,1705276800000,9.56e-06,773962005.1215837
2024-01-14,9.57e-06,1.001e-05,9.57e-06,1705190400000,9.84e-06,1591362187.4765437
2024-01-13,9.89e-06,1.002e-05,9.44e-06,1705104000000,9.63e-06,1176436924.2283866
2024-01-12,9.62e-06,1.028e-05,9.33e-06,1705017600000,1.015e-05,3129817255.990717
2024-01-11,1.014e-05,1.048e-05,9.89e-06,1704931200000,9.97e-06,2964763116.6417747
2024-01-10,1.002e-05,1.014e-05,9.23e-06,1704844800000,9.67e-06,2450704756.652494
2024-01-09,9.64e-06,1e-05,9.12e-06,1704758400000,9.57e-06,5682182842.814521
2024-01-08,9.57e-06,9.57e-06,8.53e-06,1704672000000,9.01e-06,5159125390.054809
2024-01-07,9.02e-06,9.67e-06,8.96e-06,1704585600000,9.61e-06,2091883749.4093962
2024-01-06,9.59e-06,9.83e-06,9.34e-06,1704499200000,9.81e-06,1494430541.7567344
2024-01-05,9.82e-06,1.008e-05,9.48e-06,1704412800000,1.003e-05,3097692669.5691957
2024-01-04,1.001e-05,1.013e-05,9.44e-06,1704326400000,9.57e-06,3439323042.25959
2024-01-03,9.55e-06,1.067e-05,8.33e-06,1704240000000,1.059e-05,10418117006.627151
2024-01-02,1.056e-05,1.093e-05,1.05e-05,1704153600000,1.068e-05,3422206175.488827
2024-01-01,1.069e-05,1.072e-05,1.025e-05,1704067200000,1.04e-05,1389910477.8191085
2023-12-31,1.035e-05,1.06e-05,1.025e-05,1703980800000,1.044e-05,3524252090.828406
2023-12-30,1.046e-05,1.058e-05,1.042e-05,1703894400000,1.045e-05,604270313.3408428
2023-12-29,1.044e-05,1.07e-05,1.032e-05,1703808000000,1.064e-05,3149431339.922005
2023-12-28,1.067e-05,1.105e-05,1.049e-05,1703721600000,1.091e-05,2502978656.8549743
2023-12-27,1.091e-05,1.091e-05,1.034e-05,1703635200000,1.057e-05,3626699526.295777
2023-12-26,1.058e-05,1.101e-05,1.007e-05,1703548800000,1.101e-05,4116324600.788551
2023-12-25,1.102e-05,1.108e-05,1.06e-05,1703462400000,1.068e-05,2443220256.86591
2023-12-24,1.067e-05,1.109e-05,1.052e-05,1703376000000,1.103e-05,9830267743.938063
2023-12-23,1.108e-05,1.127e-05,1.054e-05,1703289600000,1.091e-05,15965061309.840008
2023-12-22,1.093e-05,1.096e-05,1.035e-05,1703203200000,1.044e-05,5923061897.981189
