date,close,high,low,mts,open,volume
2024-02-25,0.020774,0.025,0.018803,1708819200000,0.020005,8402369.21963792
2024-02-24,0.020113,0.021699,0.02,1708732800000,0.020873,1469432.48482839
2024-02-23,0.020873,0.021713,0.020262,1708646400000,0.021701,1704141.88647702
2024-02-22,0.021641,0.023694,0.021306,1708560000000,0.022782,2405037.43813373
2024-02-21,0.022782,0.0251,0.020574,1708473600000,0.025083,2229924.63036551
2024-02-20,0.0251,0.025475,0.023368,1708387200000,0.024623,739233.1848428
2024-02-19,0.024872,0.025804,0.023851,1708300800000,0.025414,1470753.34652826
2024-02-18,0.025414,0.0265,0.024617,1708214400000,0.025108,1003924.4360063
2024-02-17,0.025331,0.025965,0.024904,1708128000000,0.025664,808101.52997933
2024-02-16,0.025873,0.027699,0.025242,1708041600000,0.027414,2061509.22025073
2024-02-15,0.027615,0.028,0.026419,1707955200000,0.026823,849592.07095911
2024-02-14,0.026823,0.028995,0.025253,1707868800000,0.027667,1496759.4231808
2024-02-13,0.027667,0.028991,0.026171,1707782400000,0.026774,2819068.41123775
2024-02-12,0.026774,0.028,0.024824,1707696000000,0.025372,2065562.94353805
2024-02-11,0.025353,0.0257,0.023804,1707609600000,0.024839,958716.3307549
2024-02-10,0.02473,0.02848,0.02253,1707523200000,0.026808,4431397.03417927
2024-02-09,0.026796,0.032643,0.02515,1707436800000,0.032001,6189783.03768768
2024-02-08,0.032293,0.03297,0.031954,1707350400000,0.0329,993322.91405085
2024-02-07,0.0329,0.0349,0.032861,1707264000000,0.03409,1391027.37137634
2024-02-06,0.03409,0.035,0.033784,1707177600000,0.034792,1487486.54506769
2024-02-05,0.034741,0.035542,0.03445,1707091200000,0.03475,749439.75841364
2024-02-04,0.035,0.035999,0.034469,1707004800000,0.035727,1028132.45862571
2024-02-03,0.036205,0.036583,0.034807,1706918400000,0.03631,1155437.87133991
2024-02-02,0.036423,0.037122,0.035548,1706832000000,0.035849,1716227.69938256
2024-02-01,0.035804,0.03671,0.033459,1706745600000,0.03561,1224709.82959895
2024-01-31,0.035875,0.036381,0.034,1706659200000,0.036311,2233119.86514756
2024-01-30,0.036375,0.037207,0.0354,1706572800000,0.036438,842783.94849512
2024-01-29,0.036449,0.037207,0.034209,1706486400000,0.03512,790098.97320637
2024-01-28,0.03493,0.03752,0.032976,1706400000000,0.036416,1545193.69114395
2024-01-27,0.036402,0.0372,0.034344,1706313600000,0.036322,767240.55058398
2024-01-26,0.036328,0.036852,0.035539,1706227200000,0.03579,315501.72323228
2024-01-25,0.035938,0.036481,0.033287,1706140800000,0.033287,1375756.93288079
2024-01-24,0.033506,0.034462,0.031458,1706054400000,0.032251,413118.12787142
2024-01-23,0.032251,0.034681,0.031218,1705968000000,0.034322,1360513.91934481
2024-01-22,0.034323,0.035796,0.0333,1705881600000,0.034,1814514.35752199
2024-01-21,0.034,0.034799,0.032898,1705795200000,0.033408,391704.30700872
2024-01-20,0.033361,0.033596,0.032284,1705708800000,0.03327,229617.12312519
2024-01-19,0.03327,0.0335,0.03215,1705622400000,0.0333,458920.94397228
2024-01-18,0.033309,0.033699,0.03258,1705536000000,0.033324,1027929.38100789
2024-01-17,0.0333,0.033828,0.03245,1705449600000,0.033636,314107.41734421
2024-01-16,0.033674,0.03483,0.032979,1705363200000,0.033588,343370.45657089
2024-01-15,0.033588,0.034879,0.03302,1705276800000,0.034182,533107.40048488
2024-01-14,0.034081,0.03564,0.033879,1705190400000,0.034787,384304.37824714
2024-01-13,0.034817,0.035447,0.034205,1705104000000,0.034905,156219.01702832
2024-01-12,0.034803,0.037,0.0348,1705017600000,0.036823,282137.10974537
2024-01-11,0.036823,0.037467,0.035876,1704931200000,0.037153,443267.18677963
2024-01-10,0.03709,0.037275,0.034033,1704844800000,0.034842,1655496.77947395
2024-01-09,0.034732,0.036758,0.033454,1704758400000,0.03603,1036959.96606268
2024-01-08,0.035984,0.036553,0.0325,1704672000000,0.035,1876675.57747261
2024-01-07,0.035,0.038163,0.034635,1704585600000,0.035914,2248026.89122141
2024-01-06,0.035992,0.037775,0.035294,1704499200000,0.037,1098010.31688306
2024-01-05,0.037,0.037485,0.03454,1704412800000,0.036247,2265989.72836703
