date,close,high,low,mts,open,volume
2024-02-25,3.9513,4.0647,3.86,1708819200000,4.0285,2747.27649788
2024-02-24,4.0132,4.1207,3.6435,1708732800000,3.6525,4118.61710257
2024-02-23,3.6683,3.8559,3.4048,1708646400000,3.5192,3653.00989911
2024-02-22,3.5069,3.6093,3.446,1708560000000,3.5111,6173.11088696
2024-02-21,3.5427,3.6998,3.4,1708473600000,3.6938,231.87359971
2024-02-20,3.6994,3.8431,3.5542,1708387200000,3.8362,562.74066256
2024-02-19,3.8013,3.9237,3.7299,1708300800000,3.7669,3451.14870695
2024-02-18,3.7551,3.7898,3.615,1708214400000,3.6739,532.92051713
2024-02-17,3.6703,3.6863,3.5403,1708128000000,3.6469,1254.50889816
2024-02-16,3.639,3.7447,3.548,1708041600000,3.7171,862.5204647
2024-02-15,3.7336,3.814,3.64,1707955200000,3.6665,1674.44742568
2024-02-14,3.6639,3.7948,3.5849,1707868800000,3.6082,11320.50980127
2024-02-13,3.6216,3.6689,3.5074,1707782400000,3.6479,1172.30559503
2024-02-12,3.6276,3.6435,3.3727,1707696000000,3.4821,889.56141345
2024-02-11,3.4746,3.5066,3.4109,1707609600000,3.4588,995.26219293
2024-02-10,3.4618,3.5488,3.4309,1707523200000,3.4961,1645.12312685
2024-02-09,3.4893,3.5389,3.3539,1707436800000,3.3657,4429.38137315
2024-02-08,3.3511,3.4328,3.318,1707350400000,3.3304,682.34145035
2024-02-07,3.3446,3.3842,3.221,1707264000000,3.221,5453.61946725
2024-02-06,3.2177,3.2438,3.0741,1707177600000,3.0759,1437.10404676
2024-02-05,3.0827,3.1339,3.0494,1707091200000,3.0882,1919.94993219
2024-02-04,3.0955,3.1556,3.0536,1707004800000,3.1099,119.74056652
2024-02-03,3.1004,3.1967,3.1004,1706918400000,3.1721,372.95162367
2024-02-02,3.1742,3.2052,3.1271,1706832000000,3.1427,539.4435908
2024-02-01,3.151,3.1529,3.0226,1706745600000,3.0575,3443.39120683
2024-01-31,3.0585,3.2172,3.0282,1706659200000,3.1998,10701.94518309
2024-01-30,3.2132,3.2927,3.1998,1706572800000,3.2617,1566.12321108
2024-01-29,3.2592,3.2629,3.1449,1706486400000,3.1575,1529.38640478
2024-01-28,3.1712,3.3051,3.1445,1706400000000,3.236,984.97986409
2024-01-27,3.2307,3.2765,3.208,1706313600000,3.2295,886.15937893
2024-01-26,3.2214,3.2601,3.1038,1706227200000,3.125,687.63267432
