date,close,high,low,mts,open,volume
2024-02-25,1.5839,1.6799,1.5705,1708819200000,1.6679,175245.29358509
2024-02-24,1.6726,1.87,1.472,1708732800000,1.485,759141.52469774
2024-02-23,1.479,1.5535,1.2591,1708646400000,1.2976,516016.63591721
2024-02-22,1.2999,1.4808,1.22,1708560000000,1.2526,292028.38723615
2024-02-21,1.2585,1.3152,1.21,1708473600000,1.3043,81955.14207684
2024-02-20,1.3043,1.34,1.1875,1708387200000,1.3015,222144.20053963
2024-02-19,1.2947,1.3145,1.2361,1708300800000,1.2594,99350.52157973
2024-02-18,1.2574,1.2773,1.2376,1708214400000,1.2411,59119.37836123
2024-02-17,1.241,1.2819,1.1929,1708128000000,1.2674,95120.0611236
2024-02-16,1.2695,1.3485,1.2339,1708041600000,1.3106,160435.79352188
2024-02-15,1.3129,1.3173,1.1913,1707955200000,1.2088,100973.02687155
2024-02-14,1.2077,1.2351,1.1709,1707868800000,1.1824,73938.13616112
2024-02-13,1.1864,1.214,1.145,1707782400000,1.1824,110094.81194143
2024-02-12,1.1815,1.1854,1.1081,1707696000000,1.125,101086.38731837
2024-02-11,1.1282,1.1565,1.1218,1707609600000,1.1424,28446.70246712
2024-02-10,1.1421,1.1743,1.1337,1707523200000,1.1445,36343.98488029
2024-02-09,1.143,1.1814,1.1039,1707436800000,1.1039,168249.44480882
2024-02-08,1.1059,1.1169,1.0901,1707350400000,1.1057,16303.62420008
2024-02-07,1.1032,1.1082,1.063,1707264000000,1.0692,17907.82048274
2024-02-06,1.0684,1.0744,1.0507,1707177600000,1.0604,16293.5246693
2024-02-05,1.0629,1.0715,1.0312,1707091200000,1.0464,20627.11698529
2024-02-04,1.0512,1.1031,1.049,1707004800000,1.1031,19598.65071405
2024-02-03,1.1031,1.1204,1.0873,1706918400000,1.1102,19555.06925365
2024-02-02,1.1091,1.1102,1.0609,1706832000000,1.0619,25771.93418389
2024-02-01,1.0606,1.0656,1.0396,1706745600000,1.0593,35647.73889948
2024-01-31,1.0569,1.1057,1.0487,1706659200000,1.1028,46904.69663991
2024-01-30,1.1056,1.1405,1.0991,1706572800000,1.1218,24900.11909525
2024-01-29,1.1269,1.1352,1.0853,1706486400000,1.0875,28980.85129038
2024-01-28,1.0921,1.1388,1.0821,1706400000000,1.1141,20492.0457231
2024-01-27,1.1149,1.1181,1.0906,1706313600000,1.1002,11888.95669863
2024-01-26,1.1,1.1053,1.0788,1706227200000,1.0865,30988.54653194
2024-01-25,1.0897,1.0905,1.0457,1706140800000,1.0685,26668.78240198
2024-01-24,1.0693,1.0859,1.0478,1706054400000,1.0584,29126.49072271
2024-01-23,1.0582,1.1069,1.0053,1705968000000,1.0788,121846.16990266
2024-01-22,1.0787,1.1811,1.0455,1705881600000,1.1668,118461.50127668
2024-01-21,1.1587,1.211,1.1448,1705795200000,1.1577,74049.61081152
2024-01-20,1.1552,1.1818,1.0598,1705708800000,1.0752,148342.36804218
2024-01-19,1.0738,1.0744,1.0035,1705622400000,1.036,78871.89000975
