date,close,high,low,mts,open,volume
2024-02-25,8.2277,8.6181,8.0277,1708819200000,8.1134,119573.07924565
2024-02-24,8.0876,8.2029,7.7019,1708732800000,8.058,84344.11457975
2024-02-23,7.9471,8.6,7.8259,1708646400000,8.1083,183170.89384695
2024-02-22,8.0967,8.469,7.08,1708560000000,7.2336,108763.02228671
2024-02-21,7.2322,7.7249,6.8285,1708473600000,7.7001,41868.37531606
2024-02-20,7.7279,7.9601,7.0776,1708387200000,7.3896,132602.9857964
2024-02-19,7.4156,7.78,6.2213,1708300800000,6.2741,76777.23126522
2024-02-18,6.2382,6.42,6.083,1708214400000,6.1995,91045.15406405
2024-02-17,6.1934,6.3823,5.7063,1708128000000,5.7798,39541.59062128
2024-02-16,5.7868,5.9768,5.6512,1708041600000,5.8551,7759.455518010001
2024-02-15,5.8519,5.9163,5.6003,1707955200000,5.6003,7744.07825029
2024-02-14,5.5878,5.6619,5.4682,1707868800000,5.4872,23133.76956419
2024-02-13,5.4969,5.544,5.3444,1707782400000,5.4609,57080.96312253
2024-02-12,5.4597,5.4932,5.2118,1707696000000,5.3139,33571.537262800004
2024-02-11,5.3133,5.4297,5.2844,1707609600000,5.385,11629.27269095
2024-02-10,5.365,5.4915,5.3019,1707523200000,5.4904,3580.43658852
2024-02-09,5.4893,5.5409,5.2232,1707436800000,5.2261,19498.80871788
2024-02-08,5.2207,5.2632,5.1476,1707350400000,5.174,4788.6028046
2024-02-07,5.1812,5.186,4.9874,1707264000000,5.075,11410.14698642
2024-02-06,5.0673,5.1269,4.9383,1707177600000,5.0086,14950.903026099999
2024-02-05,4.9895,5.0315,4.8661,1707091200000,4.9281,4991.3183045
2024-02-04,4.9229,5.0556,4.9126,1707004800000,5.0556,51427.85275119
2024-02-03,5.054,5.31,5.0325,1706918400000,5.045,20593.2997574
2024-02-02,5.0463,5.0721,4.9586,1706832000000,4.9933,10483.84380506
2024-02-01,4.9666,4.9856,4.8581,1706745600000,4.965,4055.86422342
2024-01-31,4.9639,5.1594,4.9096,1706659200000,5.1594,32195.64774586
2024-01-30,5.1471,5.3596,5.1471,1706572800000,5.319,25343.73727756
2024-01-29,5.3501,5.3687,5.1231,1706486400000,5.1721,20379.9169658
2024-01-28,5.1963,5.3977,5.1434,1706400000000,5.3522,31663.90781129
2024-01-27,5.3304,5.3956,5.1496,1706313600000,5.1729,117660.23437558
2024-01-26,5.157,5.2161,4.9277,1706227200000,4.9702,10536.75048977
2024-01-25,4.9762,5.0378,4.8383,1706140800000,5.0144,6733.20667679
2024-01-24,4.9972,5.033,4.8006,1706054400000,4.9044,26545.62890199
2024-01-23,4.8944,5.1396,4.6429,1705968000000,5.0453,31192.17279751
2024-01-22,5.0467,5.3952,5.0269,1705881600000,5.3724,62618.37078457
2024-01-21,5.3756,5.5247,5.3756,1705795200000,5.5247,4621.04716534
2024-01-20,5.5188,5.5431,5.4181,1705708800000,5.425,10380.74593547
2024-01-19,5.471,5.5833,5.3584,1705622400000,5.5833,3932.50150317
2024-01-18,5.6197,5.9684,5.5,1705536000000,5.8048,17934.37322443
2024-01-17,5.7907,5.89,5.6402,1705449600000,5.8628,8774.32744773
2024-01-16,5.8687,5.972,5.74,1705363200000,5.9524,5825.88630924
2024-01-15,5.9331,6.1323,5.8852,1705276800000,5.8852,5613.11930412
2024-01-12,6.415,6.4306,6.4084,1705017600000,6.4084,2.83120776
2024-01-11,6.455,6.4897,5.9108,1704931200000,5.9141,363674.74335768
2024-01-10,5.9263,6.066,5.2941,1704844800000,5.4782,1360072.52747974
2024-01-09,5.4834,5.8779,5.2367,1704758400000,5.8602,7146850.42669099
2024-01-08,5.8749,5.8781,5.107,1704672000000,5.6287,41070.76583204
2024-01-07,5.5958,6.1421,5.52,1704585600000,5.9072,9716.75305865
2024-01-06,5.9295,6.2509,5.7513,1704499200000,6.1354,19333.29656186
2024-01-05,6.1334,6.5403,5.7758,1704412800000,6.4986,36254.28819489
2024-01-04,6.51,6.6437,6.1728,1704326400000,6.2841,33187.23021843
2024-01-03,6.2881,7.6976,5.7366,1704240000000,7.1845,142477.99436051
2024-01-02,7.1601,7.8443,7.12,1704153600000,7.5283,16226.09959649
2024-01-01,7.68,8.1167,6.7431,1704067200000,6.9421,105570.09121173
2023-12-31,6.9671,7.2103,5.9357,1703980800000,6.0106,129932.76490385
2023-12-30,6.0244,6.1,5.7389,1703894400000,5.8235,14458.66251651
2023-12-29,5.8116,6.2526,5.69,1703808000000,6.2526,39070.67517673
2023-12-28,6.2433,6.2798,5.8347,1703721600000,5.9543,29297.65825265
2023-12-27,5.9421,6.0903,5.5205,1703635200000,5.7361,46640.64630976
2023-12-26,5.7846,5.8179,5.2625,1703548800000,5.7995,284517.61715363
2023-12-25,5.8086,5.8853,5.6002,1703462400000,5.6804,127117.48206199
2023-12-24,5.617,5.7676,5.4416,1703376000000,5.6534,481000.96498377
2023-12-23,5.631,5.6465,5.2949,1703289600000,5.5223,7629.54064727
2023-12-22,5.5427,5.7775,5.4554,1703203200000,5.5296,210503.79629392
2023-12-21,5.508,5.5353,5.3234,1703116800000,5.346,118198.17151327
2023-12-20,5.3241,5.3754,5.1199,1703030400000,5.1303,15904.80380589
2023-12-19,5.0994,5.4395,5.0606,1702944000000,5.3088,39965.75490403
2023-12-18,5.3054,5.3896,4.8669,1702857600000,5.2901,77050.98392683
2023-12-17,5.2754,5.7914,5.2645,1702771200000,5.7091,52434.89958858
2023-12-16,5.6958,6.1832,4.7102,1702684800000,4.8357,335465.24798072
2023-12-15,4.7896,4.9812,4.6931,1702598400000,4.8428,136211.3000212
2023-12-14,4.8691,4.8913,4.5902,1702512000000,4.7306,174995.93443885
2023-12-13,4.7262,4.7632,4.4303,1702425600000,4.6593,13396.82359456
2023-12-12,4.6505,4.7578,4.5228,1702339200000,4.6185,49157.95834385
2023-12-11,4.62,5.2013,4.4689,1702252800000,5.1502,148416.93243408
2023-12-10,5.1565,5.2273,4.9809,1702166400000,5.1702,3018.02094101
2023-12-09,5.1324,5.47,5.0663,1702080000000,5.2302,28347.54451274
2023-12-08,5.2291,5.2449,4.9859,1701993600000,5.0171,2481.32828739
2023-12-07,5.0407,5.0741,4.7841,1701907200000,4.8067,149.16025332
2023-12-06,4.738,4.8541,4.6644,1701820800000,4.754,1324.37963845
2023-12-05,4.7914,4.8607,4.5574,1701734400000,4.7158,1206.121086
2023-12-04,4.7315,4.8378,4.4477,1701648000000,4.5753,131230.12524308
