date,close,high,low,mts,open,volume
2024-02-25,70.141,70.63,69.838,1708819200000,70.532,456.58197098
2024-02-24,70.405,70.731,68.66,1708732800000,68.787,4081.97036018
2024-02-23,68.768,69.071,67.548,1708646400000,68.839,4417.3106865
2024-02-22,68.786,69.732,67.9,1708560000000,68.904,8038.51081444
2024-02-21,68.957,69.462,67.28,1708473600000,69.462,2715.25622384
2024-02-20,69.552,71.294,67.343,1708387200000,71.294,4798.75526472
2024-02-19,71.267,71.613,70.477,1708300800000,70.73,2929.26252308
2024-02-18,70.591,71.216,69.817,1708214400000,69.916,2511.67313647
2024-02-17,69.949,70.781,68.12,1708128000000,70.699,1453.40795703
2024-02-16,70.528,70.91,68.821,1708041600000,69.709,1932.4167466200001
2024-02-15,69.803,70.859,69.0,1707955200000,69.91,7321.16764657
2024-02-14,69.884,70.8,68.584,1707868800000,68.807,6542.99481744
2024-02-13,69.08,73.138,68.12,1707782400000,73.118,6399.13594261
2024-02-12,72.84,73.429,70.364,1707696000000,71.552,3455.07943042
2024-02-11,71.55,73.047,70.79,1707609600000,70.816,3270.07964835
2024-02-10,70.705,71.215,70.0,1707523200000,70.96,1058.10339155
2024-02-09,70.69,71.885,70.156,1707436800000,70.579,5238.63334929
2024-02-08,70.497,70.627,68.45,1707350400000,68.607,1740.4663551
2024-02-07,68.502,68.869,67.705,1707264000000,68.29,1079.83598947
2024-02-06,68.329,68.768,67.563,1707177600000,67.563,634.79489026
2024-02-05,67.675,68.193,66.634,1707091200000,66.916,1001.286927
2024-02-04,66.97,68.886,66.62,1707004800000,68.673,417.28331476
2024-02-03,68.88,69.155,67.97,1706918400000,68.008,463.62492927
2024-02-02,67.975,68.38,67.524,1706832000000,67.537,1192.86403685
2024-02-01,67.5,68.074,65.92,1706745600000,66.8,3011.10364684
2024-01-31,66.809,70.0,66.2,1706659200000,67.707,2511.6672823999997
2024-01-30,67.503,68.615,67.233,1706572800000,68.25,3203.50746378
2024-01-29,68.435,68.82,66.917,1706486400000,68.276,1066.22158348
2024-01-28,68.37,68.469,67.331,1706400000000,67.95,3964.77947952
2024-01-27,68.124,68.309,66.65,1706313600000,67.029,2897.21468487
2024-01-26,66.958,67.496,65.248,1706227200000,65.43,1968.26873035
2024-01-25,65.566,66.216,64.62,1706140800000,66.074,1453.3514878400001
2024-01-24,66.198,66.388,64.95,1706054400000,65.376,2078.14823131
2024-01-23,65.57,68.433,63.24,1705968000000,67.556,6988.67414376
2024-01-22,67.12,72.815,66.803,1705881600000,72.178,10240.25940636
2024-01-21,71.877,72.428,70.656,1705795200000,71.347,800.70440366
2024-01-20,71.41,71.542,70.608,1705708800000,71.006,3623.79442338
2024-01-19,69.021,69.021,67.104,1705622400000,68.389,549.24671179
2024-01-18,68.116,70.347,66.222,1705536000000,69.419,3828.02825903
2024-01-17,69.404,70.0,68.42,1705449600000,69.505,821.92510043
2024-01-16,69.495,70.512,68.468,1705363200000,69.196,2219.3111031
2024-01-15,69.111,655.0,68.92,1705276800000,655.0,284.6259206
2024-01-13,655.0,655.0,655.0,1705104000000,655.0,0.32068906
2024-01-12,71.945,71.945,71.869,1705017600000,71.869,5.6812840399999995
