date,close,high,low,mts,open,volume
2024-02-25,3.7558,3.8691,3.661,1708819200000,3.8483,34167.33468727
2024-02-24,3.8669,3.9206,3.3076,1708732800000,3.4128,68057.8660851
2024-02-23,3.3651,3.4247,3.1635,1708646400000,3.2775,64220.35077304
2024-02-22,3.2525,3.3413,3.1425,1708560000000,3.2186,9738.38610863
2024-02-21,3.2302,3.3394,3.1033,1708473600000,3.3394,6429.16133771
2024-02-20,3.3987,3.5324,3.2445,1708387200000,3.5324,12177.09481591
2024-02-19,3.5341,3.6018,3.4919,1708300800000,3.5199,7428.51933765
2024-02-18,3.5114,3.5619,3.2693,1708214400000,3.3218,53105.31550947
2024-02-17,3.3318,3.3318,3.1485,1708128000000,3.2706,6074.52118325
2024-02-16,3.28,3.4383,3.1804,1708041600000,3.4026,8560.88186524
2024-02-15,3.3937,3.3997,3.2869,1707955200000,3.3491,16403.90917659
2024-02-14,3.3297,3.4456,3.1799,1707868800000,3.2177,11494.88413649
2024-02-13,3.206,3.4218,3.1795,1707782400000,3.4218,16584.25852101
2024-02-12,3.3816,3.3941,3.0845,1707696000000,3.1226,34851.69284329
2024-02-11,3.1249,3.218,3.0506,1707609600000,3.0506,10714.60208336
2024-02-10,3.0461,3.1422,2.9824,1707523200000,3.0067,12312.08231728
2024-02-09,3.0013,3.0505,2.9427,1707436800000,2.9469,9730.63572917
2024-02-08,2.9365,3.0029,2.8742,1707350400000,2.8742,12693.05441873
2024-02-07,2.8672,2.8859,2.6947,1707264000000,2.7426,12583.30229073
2024-02-06,2.7394,2.7719,2.6914,1707177600000,2.7287,1175.62827048
2024-02-05,2.7456,2.8084,2.7165,1707091200000,2.7511,25587.19442395
2024-02-04,2.7638,2.8154,2.7566,1707004800000,2.8009,10579.8687428
2024-02-03,2.8225,2.9324,2.813,1706918400000,2.8862,895.76845569
2024-02-02,2.9084,2.9387,2.8402,1706832000000,2.868,15208.41102402
2024-02-01,2.8527,2.8752,2.7367,1706745600000,2.7975,10772.49732671
2024-01-31,2.8242,2.9849,2.8042,1706659200000,2.9849,16699.64285352
2024-01-30,3.0101,3.2282,2.8715,1706572800000,2.9942,46597.06277763
2024-01-29,3.0085,3.0538,2.8632,1706486400000,2.8733,8371.76656787
2024-01-28,2.8824,3.0665,2.862,1706400000000,2.9196,58963.25223267
2024-01-27,2.9132,2.9549,2.85,1706313600000,2.9179,31542.505504359997
2024-01-26,2.915,2.999,2.6579,1706227200000,2.6924,11796.79594514
2024-01-25,2.7013,2.7356,2.6074,1706140800000,2.6825,8134.586029210001
2024-01-24,2.6939,2.6939,2.5532,1706054400000,2.6291,17883.26113298
2024-01-23,2.6366,2.7184,2.4648,1705968000000,2.666,7084.79199234
2024-01-22,2.6407,2.9279,2.6224,1705881600000,2.9217,19922.31078076
2024-01-21,2.9327,2.9905,2.9327,1705795200000,2.9792,513.60360787
2024-01-20,2.9553,2.96,2.8762,1705708800000,2.8762,863.519189
2024-01-19,3.0223,3.0628,2.9615,1705622400000,3.0628,2115.5221092
