date,close,high,low,mts,open,volume
2024-02-25,103.11,104.5,102.12,1708819200000,104.06,9221.21255234
2024-02-24,104.36,104.83,12.342,1708732800000,100.2,33438.73054302
2024-02-23,99.847,103.02,98.516,1708646400000,101.7,13710.78342348
2024-02-22,101.91,106.99,101.51,1708560000000,104.87,13575.41223164
2024-02-21,105.03,108.11,100.26,1708473600000,108.01,25360.17077204
2024-02-20,108.19,111.91,103.0,1708387200000,111.77,22898.00868053
2024-02-19,111.4,114.78,110.81,1708300800000,112.13,15197.79886332
2024-02-18,112.05,114.0,107.54,1708214400000,108.79,14590.80039928
2024-02-17,109.09,111.03,105.62,1708128000000,110.18,10008.73441547
2024-02-16,110.52,114.0,108.04,1708041600000,112.84,19462.191304250002
2024-02-15,113.61,118.11,111.52,1707955200000,117.52,22947.47774801
2024-02-14,116.76,118.72,110.87,1707868800000,112.46,20595.16205083
2024-02-13,112.77,115.25,108.37,1707782400000,112.26,22410.40459204
2024-02-12,112.04,112.21,103.53,1707696000000,107.52,30329.28538006
2024-02-11,107.43,110.77,107.39,1707609600000,109.0,10482.79487275
2024-02-10,109.11,110.86,107.16,1707523200000,107.16,14920.50517042
2024-02-09,107.0,109.19,102.97,1707436800000,103.01,23447.04268806
2024-02-08,102.73,104.94,100.53,1707350400000,101.13,10794.25950649
2024-02-07,100.75,101.5,94.76,1707264000000,96.976,13500.38891681
2024-02-06,96.84,97.829,93.137,1707177600000,95.501,19183.56474099
2024-02-05,95.753,98.623,94.153,1707091200000,95.452,27695.7429912
2024-02-04,95.47,98.465,95.051,1707004800000,97.889,6540.77344237
2024-02-03,97.865,101.16,96.661,1706918400000,100.18,12071.99653372
2024-02-02,100.52,102.5,97.537,1706832000000,97.635,12758.76006403
2024-02-01,97.818,98.0,93.153,1706745600000,97.302,56310835.78668414
2024-01-31,96.963,102.72,96.0,1706659200000,101.6,31183.86653821
2024-01-30,101.48,106.46,101.06,1706572800000,101.85,37085.48970165
2024-01-29,101.65,102.0,95.158,1706486400000,95.599,33290.76612271
2024-01-28,95.839,99.382,93.482,1706400000000,94.007,33258.38996471
2024-01-27,94.241,94.482,91.136,1706313600000,92.299,23098.98094212
2024-01-26,92.228,93.601,86.123,1706227200000,86.886,12537.50094583
2024-01-25,87.015,89.701,85.171,1706140800000,88.628,19888.11225826
2024-01-24,88.932,89.465,83.376,1706054400000,84.5,20248.79152542
2024-01-23,84.386,85.999,79.0,1705968000000,83.938,49083.28133249
2024-01-22,83.911,92.088,82.2,1705881600000,91.166,34475.72910381
2024-01-21,91.1,93.655,90.95,1705795200000,93.655,1580.0
2024-01-20,92.849,93.627,90.415,1705708800000,91.043,4280.25278547
2024-01-19,95.216,95.392,91.574,1705622400000,94.252,5477.65507298
2024-01-18,94.446,103.5,91.456,1705536000000,102.13,22063.33760363
2024-01-17,102.04,102.86,96.73,1705449600000,97.822,25160.54115502
2024-01-16,97.613,98.688,94.274,1705363200000,94.749,10756.58280202
2024-01-15,94.588,96.649,93.337,1705276800000,93.633,3760.0916094
2024-01-12,0.35,1000000.0,0.35,1705017600000,99.843,91129.3360781
2024-01-11,99.824,106.91,97.664,1704931200000,101.56,2935051.39708803
2024-01-10,101.95,105.37,92.2,1704844800000,99.348,11670310.0924339
