date,close,high,low,mts,open,volume
2024-02-25,0.9863,0.9972,0.98,1708819200000,0.9972,381.54878246
2024-02-24,0.9919,1.0225,0.9867,1708732800000,0.9936,1479.92015874
2024-02-23,0.9916,1.0581,0.9687,1708646400000,1.0333,862.47308202
2024-02-22,1.041,1.041,0.9982,1708560000000,0.9982,787.0082838000001
2024-02-21,0.9933,1.0128,0.9688,1708473600000,1.0128,2433.9105595300002
2024-02-20,0.9842,1.0657,0.9677,1708387200000,1.0539,456.16499684999997
2024-02-19,1.0817,1.1569,1.0817,1708300800000,1.1072,1372.8926682
2024-02-18,1.1201,1.1201,1.0167,1708214400000,1.0167,1800.06915009
2024-02-17,1.0471,1.0516,1.0471,1708128000000,1.0472,245.95837471000002
2024-02-16,1.0284,1.0604,1.016,1708041600000,1.0474,2701.596131
2024-02-15,1.0509,1.0575,1.019,1707955200000,1.0285,2234.92437201
2024-02-14,1.026,1.0296,0.97891,1707868800000,0.9825,1036.77522866
2024-02-13,0.9927,1.0321,0.9577,1707782400000,1.0195,1239.74271639
2024-02-12,1.0237,1.0281,0.9343,1707696000000,1.0,2835.15151965
2024-02-11,1.0384,1.0956,1.0356,1707609600000,1.0659,918.00169708
2024-02-10,1.0844,1.1312,1.0707,1707523200000,1.1057,1143.20841809
2024-02-09,1.0794,1.0936,1.0671,1707436800000,1.0708,792.93965045
2024-02-08,1.0808,1.1015,1.0747,1707350400000,1.0942,1022.4621472900001
2024-02-07,1.0929,1.0929,1.0462,1707264000000,1.0648,1168.6811925
2024-02-06,1.0718,1.1394,1.0447,1707177600000,1.1147,1326.64363605
2024-02-05,1.1124,1.1124,1.0233,1707091200000,1.0413,1399.8115021
2024-02-04,1.0481,1.1033,1.0465,1707004800000,1.0961,508.20334016
2024-02-03,1.1332,1.1582,1.1332,1706918400000,1.1582,306.95444521
2024-02-02,1.1528,1.1885,1.1361,1706832000000,1.1674,1229.25611024
2024-02-01,1.1485,1.1596,1.1317,1706745600000,1.1317,884.9820708
2024-01-31,1.1571,1.2156,1.1542,1706659200000,1.2126,1611.5213349
2024-01-30,1.2354,1.2354,1.2074,1706572800000,1.2277,400.79721268
2024-01-29,1.2608,1.2673,1.225,1706486400000,1.2482,446.21354488
2024-01-28,1.2445,1.3635,1.2445,1706400000000,1.3059,469.9683945
2024-01-27,1.3056,1.3732,1.3056,1706313600000,1.3707,203.00754257
2024-01-26,1.3672,1.4203,1.3242,1706227200000,1.4056,428.71321213000004
2024-01-25,1.4387,1.5215,1.414,1706140800000,1.4609,894.91783152
2024-01-24,1.4448,1.4448,1.3709,1706054400000,1.3709,514.28025302
2024-01-23,1.3522,1.3522,1.205,1705968000000,1.27,29525.21529004
2024-01-22,1.2657,1.4149,1.2657,1705881600000,1.3489,1105.01477755
2024-01-21,1.3117,1.3286,1.2503,1705795200000,1.2734,1570.12271474
2024-01-20,1.2699,1.3144,1.2431,1705708800000,1.3144,820.9842585800001
2024-01-19,1.3975,1.4801,1.3949,1705622400000,1.4537,632.17185965
2024-01-18,1.4791,1.653,1.463,1705536000000,1.6368,2958.89560153
2024-01-17,1.6638,1.7761,1.5997,1705449600000,1.6168,2611.34245023
2024-01-16,1.6157,1.7042,1.4055,1705363200000,1.4499,20540.59106716
2024-01-15,1.4388,1.5726,1.3159,1705276800000,1.3219,4421.79954374
2024-01-14,1.3103,1.3106,1.2082,1705190400000,1.2478,6517.09877642
2024-01-13,1.2603,1.2603,1.1907,1705104000000,1.2309,386.15166566
2024-01-12,1.2165,1.3296,1.202,1705017600000,1.3193,3234.80514303
2024-01-11,1.3043,1.3153,1.1974,1704931200000,1.2504,12515.17100765
2024-01-10,1.2602,1.28,1.1537,1704844800000,1.1716,8279.88844707
2024-01-09,1.1834,1.2689,1.1369,1704758400000,1.2603,2769.61773783
2024-01-08,1.2682,1.3415,1.1887,1704672000000,1.3232,5870.27384779
2024-01-07,1.3521,1.5003,1.1455,1704585600000,1.1455,9038.21737846
2024-01-06,1.102,1.102,0.9693,1704499200000,1.0139,8514.39169238
2024-01-05,1.0226,1.0743,1.0074,1704412800000,1.0701,4124.22055346
2024-01-04,1.0681,1.0886,1.025,1704326400000,1.0514,4293.36574316
2024-01-03,1.0749,1.289,0.8254,1704240000000,1.2434,5462.2451335
2024-01-02,1.3133,1.383,1.3036,1704153600000,1.3126,566.48585206
2024-01-01,1.2861,1.2883,1.1472,1704067200000,1.2596,1222.59855592
2023-12-31,1.3283,1.4241,1.3057,1703980800000,1.4241,212.68632005
2023-12-30,1.405,1.4816,1.405,1703894400000,1.431,366.74151437
2023-12-29,1.4303,1.4805,1.4303,1703808000000,1.4805,12.54050839
2023-12-28,1.5439,1.5919,1.4888,1703721600000,1.5849,351.8641812
2023-12-27,1.5566,1.6439,1.5566,1703635200000,1.6271,93.71487272
2023-12-26,1.6241,1.8057,1.5753,1703548800000,1.8057,2695.13566834
2023-12-25,1.8035,1.8091,1.7888,1703462400000,1.7938,97.27206284
2023-12-24,1.8243,1.8278,1.8137,1703376000000,1.8278,77.36407415
2023-12-23,1.8164,1.9118,1.8127,1703289600000,1.8758,221.77027336
2023-12-22,1.8913,1.9092,1.8246,1703203200000,1.8386,36.16213704
2023-12-21,1.8265,1.8618,1.7154,1703116800000,1.8297,5998.98156596
2023-12-20,1.8137,1.8428,1.8137,1703030400000,1.8428,6.30032577
2023-12-19,1.8202,1.8398,1.8028,1702944000000,1.8204,220.13805856000002
2023-12-18,1.8263,1.9345,1.791,1702857600000,1.9169,511.50781155
2023-12-17,1.9985,2.1349,1.9861,1702771200000,2.01,1592.71187273
2023-12-16,1.9355,1.9355,1.9294,1702684800000,1.9294,102.08769226
2023-12-15,1.997,1.997,1.997,1702598400000,1.997,50.01
2023-12-14,1.9904,1.9904,1.987,1702512000000,1.987,50.733620859999995
2023-12-13,2.0281,2.0338,1.968,1702425600000,1.968,436.02587072
2023-12-12,1.9075,1.9152,1.8983,1702339200000,1.9084,212.25735459
2023-12-11,2.0293,2.0912,1.9782,1702252800000,2.0657,1698.28777005
2023-12-09,2.1435,2.1752,2.1352,1702080000000,2.1752,48.149533070000004
2023-12-08,2.1199,2.1692,2.1158,1701993600000,2.1401,438.43459542
2023-12-07,2.1478,2.1954,2.1346,1701907200000,2.1886,279.67402398
2023-12-06,2.2372,2.2745,2.1127,1701820800000,2.1127,1454.50111422
2023-12-05,2.185,2.185,2.1477,1701734400000,2.1477,50.73467711
2023-12-04,2.2144,2.2984,2.1752,1701648000000,2.2862,27.358889859999998
2023-12-03,2.1727,2.2442,2.1683,1701561600000,2.2442,16.34870192
2023-12-02,2.3146,2.3231,2.2932,1701475200000,2.3109,4.98648488
2023-12-01,2.306,2.3422,2.2372,1701388800000,2.2462,231.16851364
2023-11-30,2.4357,2.5172,2.3864,1701302400000,2.4303,450.28108879999996
2023-11-29,2.5575,2.7305,2.5575,1701216000000,2.6217,242.00118922
2023-11-27,2.9389,2.9389,2.6096,1701043200000,2.6096,678.28306855
2023-11-26,2.6556,2.8039,2.5124,1700956800000,2.6712,382.7446703
2023-11-25,2.6716,2.7421,2.6207,1700870400000,2.6207,15.75978016
2023-11-24,2.5237,2.5296,2.2342,1700784000000,2.2342,184.05704841
2023-11-23,2.2736,2.3682,2.085,1700697600000,2.215,59.679890539999995
2023-11-22,2.2585,2.2585,2.0383,1700611200000,2.0383,261.50926815
2023-11-21,2.1518,2.1723,2.1004,1700524800000,2.1004,334.31088013
2023-11-20,2.1072,2.1143,1.9816,1700438400000,2.0612,721.09445327
2023-11-17,2.0841,2.0841,2.0841,1700179200000,2.0841,0.02911974
2023-11-16,2.2646,2.281,2.2379,1700092800000,2.2455,5.80162382
2023-11-15,2.2352,2.3268,2.2269,1700006400000,2.2385,289.57707668
2023-11-14,2.3157,2.4165,2.2491,1699920000000,2.3328,552.96102933
2023-11-13,2.3035,2.3869,2.1294,1699833600000,2.1866,297.75409542
2023-11-12,2.1904,2.235,2.1389,1699747200000,2.2103,63.335825310000004
2023-11-11,2.127,2.3025,2.127,1699660800000,2.1661,304.80823582
2023-11-10,2.1862,2.2054,2.1478,1699574400000,2.1478,50.30807455
2023-11-09,2.2507,2.28,2.1325,1699488000000,2.2192,749.39953313
2023-11-08,2.2446,2.7623,2.1834,1699401600000,2.4298,982.65874974
2023-11-07,2.4434,2.4434,2.0741,1699315200000,2.1329,234.27428263000002
2023-11-06,2.0557,2.1648,2.0557,1699228800000,2.1257,45.58005192
2023-11-05,2.0625,2.0625,1.9813,1699142400000,2.0295,900.00334294
2023-11-04,2.0256,2.0597,2.0223,1699056000000,2.0385,70.81875606
2023-11-03,2.0913,2.1619,2.0133,1698969600000,2.0839,331.34492725
2023-11-02,2.1204,2.2,2.0117,1698883200000,2.0117,612.97902771
2023-11-01,1.9935,2.0222,1.9824,1698796800000,1.9897,367.60967286
2023-10-31,2.0096,2.0529,1.9899,1698710400000,2.0128,157.74319348
2023-10-30,2.0883,2.0883,2.0327,1698624000000,2.0482,250.22106411000001
2023-10-29,2.0655,2.074,2.0198,1698537600000,2.0335,139.45329683
2023-10-28,2.0345,2.058,2.0345,1698451200000,2.058,63.369450310000005
2023-10-27,2.0158,2.0767,2.0158,1698364800000,2.0593,23.33708392
2023-10-26,2.071,2.1486,2.071,1698278400000,2.1486,0.68650213
2023-10-25,2.1978,2.1978,2.1486,1698192000000,2.1486,29.4911928
2023-10-24,2.1715,2.2998,2.1324,1698105600000,2.1324,33.49668456
2023-10-23,2.1167,2.2884,2.1167,1698019200000,2.1797,219.21282091
2023-10-22,2.1494,2.2,2.0603,1697932800000,2.1674,31.22575309
2023-10-21,2.1864,2.2562,2.1372,1697846400000,2.1905,154.03980742000002
2023-10-20,2.2248,2.3498,2.0124,1697760000000,2.0615,355.54224983
2023-10-19,2.125,2.2349,2.0002,1697673600000,2.2349,268.84881776
2023-10-18,2.1716,2.3933,2.1604,1697587200000,2.2893,651.46956798
2023-10-17,2.2658,2.315,2.146,1697500800000,2.2387,230.69303085
2023-10-16,2.2431,2.4411,2.2352,1697414400000,2.4152,225.18471447
2023-10-15,2.3966,2.4431,2.269,1697328000000,2.3499,154.59763116
