date,close,high,low,mts,open,volume
2024-02-25,2.1107,2.1321,2.1106,1708819200000,2.115,37.36112817
2024-02-24,2.1225,2.1691,2.0541,1708732800000,2.0974,1849.62599544
2024-02-23,2.0974,2.1253,2.0541,1708646400000,2.0876,506.84080471
2024-02-22,2.0795,2.1843,2.0795,1708560000000,2.1609,728.24155475
2024-02-21,2.1889,2.2542,2.163,1708473600000,2.2479,300.41177748
2024-02-20,2.2559,2.3083,2.1671,1708387200000,2.2636,1064.92338072
2024-02-19,2.2772,2.3,2.2146,1708300800000,2.2761,1141.38284648
2024-02-18,2.2761,2.3,2.2069,1708214400000,2.2272,301.86176324
2024-02-17,2.2078,2.2493,2.1502,1708128000000,2.1564,847.84020034
2024-02-16,2.1671,2.2444,2.1636,1708041600000,2.2013,244.42620308
2024-02-15,2.2013,2.2631,2.1709,1707955200000,2.2015,1274.96393777
2024-02-14,2.2015,2.2505,2.1454,1707868800000,2.1969,4133.6881199
2024-02-13,2.1938,2.2631,2.1733,1707782400000,2.202,3718.3273309300002
2024-02-12,2.2262,2.2639,2.0338,1707696000000,2.0973,3840.64391286
2024-02-11,2.1157,2.167,2.0973,1707609600000,2.0973,414.39624255
2024-02-10,2.068,2.1017,2.047,1707523200000,2.047,161.34902504000001
2024-02-09,2.0793,2.104,2.0336,1707436800000,2.085,243.50407056
2024-02-08,2.0733,2.0929,2.0423,1707350400000,2.0425,79.38923606
2024-02-07,2.0302,2.0524,2.024,1707264000000,2.0375,75.97043555
2024-02-06,2.0542,2.0891,2.024,1707177600000,2.0609,80.96602557
2024-02-05,2.0487,2.0919,2.0427,1707091200000,2.0604,186.43683357
2024-02-04,2.0317,2.0491,2.024,1707004800000,2.0491,54.41935496
2024-02-03,2.0315,2.0728,2.0299,1706918400000,2.0299,1073.01399749
2024-02-02,2.0589,2.1239,2.0325,1706832000000,2.0886,198.35454382
2024-02-01,2.064,2.1031,2.0247,1706745600000,2.0665,573.74675983
2024-01-31,2.0665,2.1235,2.0634,1706659200000,2.0905,92.13796698
2024-01-30,2.1098,2.1574,2.089,1706572800000,2.12,265.34210362
2024-01-29,2.12,2.1605,2.0909,1706486400000,2.126,750.01249843
2024-01-28,2.1031,2.1493,2.0478,1706400000000,2.099,275.8077598
2024-01-27,2.0747,2.1109,2.0569,1706313600000,2.0648,494.58646043
2024-01-26,2.0635,2.1136,2.0474,1706227200000,2.0513,357.19400786
2024-01-25,2.0434,2.177,2.024,1706140800000,2.1207,714.8804134
2024-01-24,2.11,2.1719,2.11,1706054400000,2.126,2595.49513609
2024-01-23,2.1238,2.1403,2.0094,1705968000000,2.1328,2003.27969075
2024-01-22,2.1312,2.2157,2.13,1705881600000,2.2126,550.15797604
2024-01-21,2.2264,2.2756,2.2214,1705795200000,2.2567,2873.65233745
2024-01-20,2.2567,2.2726,2.12,1705708800000,2.2107,14880.62070489
2024-01-19,2.1975,2.2424,2.1602,1705622400000,2.2004,12578.58379302
2024-01-18,2.2269,2.2759,2.1918,1705536000000,2.2759,904.15997429
2024-01-17,2.2982,2.4142,2.2982,1705449600000,2.4135,710.21488904
2024-01-16,2.4342,2.45,2.3542,1705363200000,2.4254,4810.49284989
2024-01-15,2.425,2.5,2.3096,1705276800000,2.331,3310.36135011
2024-01-14,2.331,2.3794,2.084,1705190400000,2.1011,3467.39391153
2024-01-13,2.1011,2.1284,2.0919,1705104000000,2.1103,993.28581939
2024-01-12,2.1103,2.2151,2.1057,1705017600000,2.2117,1017.36286082
2024-01-11,2.2117,2.3367,2.2004,1704931200000,2.276,6568.92496982
2024-01-10,2.2548,2.2812,2.0462,1704844800000,2.191,3972.85687213
2024-01-09,2.1781,2.2999,2.1455,1704758400000,2.2642,2044.07536968
2024-01-08,2.2642,2.2988,2.1277,1704672000000,2.2001,1235.51507792
2024-01-07,2.2001,2.3492,2.1597,1704585600000,2.1597,800.9421747600001
2024-01-06,2.1705,2.2035,2.0462,1704499200000,2.0854,692.84374743
2024-01-05,2.0855,2.2519,2.0755,1704412800000,2.1754,6593.95133656
2024-01-04,2.1754,2.2318,2.1649,1704326400000,2.213,402.04887554
2024-01-03,2.213,2.309,2.1114,1704240000000,2.2969,2332.06015762
2024-01-02,2.2968,2.4111,2.2501,1704153600000,2.3254,4909.62680833
2024-01-01,2.3252,2.3668,2.2939,1704067200000,2.3025,1506.88943415
2023-12-31,2.3025,2.3757,2.2816,1703980800000,2.36,1937.9192084
2023-12-30,2.36,2.43,2.16,1703894400000,2.2674,9461.209539
2023-12-29,2.2674,2.2999,2.1738,1703808000000,2.1931,5632.77267296
2023-12-28,2.2003,2.2346,2.1293,1703721600000,2.166,2625.49833442
2023-12-27,2.1559,2.22,2.1005,1703635200000,2.1734,5910.22425883
2023-12-26,2.1839,2.2476,2.1091,1703548800000,2.2309,11550.16098871
2023-12-25,2.2311,2.2718,2.1503,1703462400000,2.1864,9952.4920679
2023-12-24,2.1864,2.2833,2.1501,1703376000000,2.2284,6242.2541984399995
2023-12-23,2.2273,2.2833,2.2011,1703289600000,2.2574,2802.37727098
2023-12-22,2.2574,2.3816,2.2117,1703203200000,2.2455,29146.84064988
2023-12-21,2.2455,2.3679,2.12,1703116800000,2.2338,67716.4619862
2023-12-20,2.2331,2.3296,2.1359,1703030400000,2.1455,19260.72563206
2023-12-19,2.1579,2.191,2.12,1702944000000,2.1265,15399.12369864
2023-12-18,2.1264,2.2127,2.0384,1702857600000,2.186,32636.36979255
2023-12-17,2.1996,2.2823,2.1269,1702771200000,2.1838,10848.1267102
2023-12-16,2.1848,2.3294,2.098,1702684800000,2.1578,19215.70938908
2023-12-15,2.1578,2.25,2.075,1702598400000,2.2202,16104.4030452
2023-12-14,2.2071,2.25,2.1728,1702512000000,2.211,3131.82308599
2023-12-13,2.1977,2.3392,2.0172,1702425600000,2.3392,3759.10230865
2023-12-12,2.3057,2.3837,2.3057,1702339200000,2.3832,289.89298816
2023-12-11,2.3695,2.3869,2.3001,1702252800000,2.3703,3343.02656123
2023-12-10,2.3801,2.3801,2.3674,1702166400000,2.3674,31.32555701
2023-12-09,2.3674,2.4026,2.3001,1702080000000,2.3753,658.74477589
2023-12-08,2.3753,2.4299,2.2763,1701993600000,2.2896,1047.40135123
2023-12-07,2.2915,2.3483,2.2376,1701907200000,2.3284,1316.89714396
2023-12-06,2.3283,2.4171,2.3115,1701820800000,2.4171,346.33727036
2023-12-05,2.4192,2.4279,2.3497,1701734400000,2.3642,1019.16428463
2023-12-04,2.3648,2.4499,2.3511,1701648000000,2.4438,147.22332274
2023-12-03,2.416,2.4398,2.4086,1701561600000,2.4353,165.40682844
2023-12-02,2.4364,2.4499,2.42,1701475200000,2.4315,58.35846073
2023-12-01,2.4133,2.4133,2.4133,1701388800000,2.4133,3.25685876
2023-11-30,2.4191,2.4191,2.4191,1701302400000,2.4191,31.16515827
2023-11-29,2.4059,2.4703,2.2741,1701216000000,2.4478,1525.14007169
