date,close,high,low,mts,open,volume
2024-02-25,2.3882,2.4412,2.3769,1708819200000,2.4149,849.55297859
2024-02-24,2.4264,2.5718,2.3395,1708732800000,2.3619,263.35851555
2024-02-23,2.3769,2.3948,2.2871,1708646400000,2.3408,909.86144958
2024-02-22,2.3314,2.3934,2.2158,1708560000000,2.2576,1018.18928156
2024-02-21,2.2653,2.357,2.1844,1708473600000,2.3501,518.51874705
2024-02-20,2.3459,2.4012,2.25,1708387200000,2.3816,793.56732671
2024-02-19,2.3925,2.4046,2.3276,1708300800000,2.3371,205.44233132
2024-02-18,2.3241,2.3444,2.2672,1708214400000,2.2808,124.26544592
2024-02-17,2.2891,2.3672,2.2309,1708128000000,2.3194,396.79863784
2024-02-16,2.3202,2.3778,2.2785,1708041600000,2.3217,797.11991426
2024-02-15,2.3239,2.3263,2.2527,1707955200000,2.2777,14545.84988088
2024-02-14,2.2686,2.3089,2.1735,1707868800000,2.1874,78.71026946
2024-02-13,2.1919,2.2527,2.16,1707782400000,2.2322,342.83183008000003
2024-02-12,2.2355,2.2473,2.1216,1707696000000,2.1796,482.83745892
2024-02-11,2.1758,2.2227,2.1693,1707609600000,2.1929,166.08069626
2024-02-10,2.1961,2.227,2.167,1707523200000,2.2225,302.22777773
2024-02-09,2.216,2.2315,2.1363,1707436800000,2.1531,1228.20280164
2024-02-08,2.1489,2.1489,2.0918,1707350400000,2.1029,275.99547863
2024-02-07,2.1087,2.1094,2.0399,1707264000000,2.0785,346.61556788
2024-02-06,2.0743,2.0832,2.0274,1707177600000,2.0274,254.61934998
2024-02-05,2.0339,2.0732,2.0003,1707091200000,2.0326,460.86800105
2024-02-04,2.0371,2.0842,2.0353,1707004800000,2.0583,392.28956490999997
2024-02-03,2.0768,2.0993,2.0639,1706918400000,2.091,276.11004172
2024-02-02,2.0922,2.1366,2.0739,1706832000000,2.1342,6952.56811044
2024-02-01,2.1223,2.1284,2.0719,1706745600000,2.1175,921.46934276
2024-01-31,2.1198,2.1974,2.0952,1706659200000,2.1974,1818.2195935
2024-01-30,2.1946,2.2533,2.1946,1706572800000,2.2386,14691.135957299999
2024-01-29,2.2494,2.2565,2.1698,1706486400000,2.1945,1154.38800551
2024-01-28,2.2014,2.2905,2.184,1706400000000,2.2513,108.56744571
2024-01-27,2.2565,2.2664,2.2049,1706313600000,2.2394,877.34433922
2024-01-26,2.2354,2.2465,2.126,1706227200000,2.1344,415.64712687
2024-01-25,2.1441,2.182,2.1149,1706140800000,2.1746,511.93230707
2024-01-24,2.1799,2.1799,2.1081,1706054400000,2.1495,628.06437847
2024-01-23,2.1413,2.2447,2.0331,1705968000000,2.1978,994.9425185900001
2024-01-22,2.1939,2.3654,2.1897,1705881600000,2.3638,481.51570233
2024-01-21,2.3612,2.4221,2.3594,1705795200000,2.3807,86.63194099
2024-01-20,2.3882,2.4507,2.3289,1705708800000,2.336,964.87035995
2024-01-19,2.3405,2.3885,2.2143,1705622400000,2.3273,1162.92294688
2024-01-18,2.3097,2.4364,2.2879,1705536000000,2.4352,148.21687973000002
2024-01-17,2.4393,2.4878,2.3882,1705449600000,2.4709,4765.31365843
2024-01-16,2.4732,2.4934,2.4192,1705363200000,2.4323,555.98885265
2024-01-15,2.427,2.4787,2.3673,1705276800000,2.3673,4542.41865444
2024-01-14,2.3823,2.4854,2.3762,1705190400000,2.4649,138.45707565
2024-01-13,2.4693,2.4944,2.3653,1705104000000,2.4519,1526.90334482
2024-01-12,2.4537,2.6433,2.3653,1705017600000,2.5811,4514.44545505
2024-01-11,2.5867,2.6221,2.487,1704931200000,2.5243,3334.68174209
2024-01-10,2.5301,2.5693,2.2787,1704844800000,2.3453,1576.0449092
2024-01-09,2.3412,2.545,2.2646,1704758400000,2.4732,3506.85205949
2024-01-08,2.4773,2.4868,2.165,1704672000000,2.3669,2099.42381812
2024-01-07,2.3519,2.6517,2.3268,1704585600000,2.4812,1759.3848076
2024-01-06,2.4948,2.5507,2.369,1704499200000,2.5507,467.13685645
2024-01-05,2.5469,2.7358,2.455,1704412800000,2.7303,3168.42957338
