date,close,high,low,mts,open,volume
2024-02-24,7.0359,7.0359,7.0023,1708732800000,7.0198,34.75570371
2024-02-23,7.0325,7.0377,7.0198,1708646400000,7.0325,3.67904149
2024-02-22,7.0189,7.0189,7.0054,1708560000000,7.0181,28.56268392
2024-02-21,7.0307,7.0523,7.0307,1708473600000,7.0523,9.688727459999999
2024-02-20,7.0632,7.0909,7.0632,1708387200000,7.0741,20.48441314
2024-02-19,7.0875,7.0875,6.9323,1708300800000,6.9822,2315.67446292
2024-02-18,6.9951,7.0308,6.9951,1708214400000,7.0145,330.03341384
2024-02-16,7.0274,7.0274,7.0035,1708041600000,7.0035,10.925640770000001
2024-02-15,6.9899,7.0146,6.8264,1707955200000,6.943,3590.15735194
2024-02-14,6.956,7.0052,6.5255,1707868800000,6.5419,20062.59002957
2024-02-13,6.5536,6.5549,6.5185,1707782400000,6.5185,25.06491361
2024-02-12,6.5287,6.5808,6.5287,1707696000000,6.5594,369.37389444
2024-02-11,6.5469,6.5594,6.528,1707609600000,6.5571,1816.30242801
2024-02-10,6.5571,6.5571,6.5571,1707523200000,6.5571,1.6616981700000002
2024-02-09,6.5696,6.5712,6.5212,1707436800000,6.5386,40.98144372
2024-02-08,6.5504,6.5506,6.4968,1707350400000,6.4968,29.71938251
2024-02-07,6.5085,6.5085,6.5084,1707264000000,6.5084,1.9598278199999999
2024-02-06,6.5201,6.5409,6.4437,1707177600000,6.4437,240.06639302
2024-01-31,6.4602,6.4602,6.3501,1706659200000,6.3517,47.56526279
2024-01-30,6.3635,6.3666,6.3501,1706572800000,6.3574,14.18780013
2024-01-29,6.3449,6.3449,6.3311,1706486400000,6.3311,23.667634
2024-01-28,6.3188,6.3234,6.3063,1706400000000,6.3142,8.09941828
2024-01-27,6.3031,6.3142,6.3015,1706313600000,6.3127,2.56648189
2024-01-26,6.3004,6.305,6.2303,1706227200000,6.2303,1599.79069684
2024-01-25,6.2197,6.2197,6.1784,1706140800000,6.1895,40.974721960000004
2024-01-24,6.2061,6.2106,6.1771,1706054400000,6.2106,12.61142118
2024-01-23,6.1986,6.2403,6.0925,1705968000000,6.2403,4526.36235732
2024-01-22,6.2516,6.3358,6.2356,1705881600000,6.2871,2559.64486675
2024-01-21,6.298,6.342,6.298,1705795200000,6.342,569.35254866
2024-01-20,6.3543,6.3697,6.2885,1705708800000,6.2885,133.12884745
2024-01-19,6.2998,6.3111,6.2345,1705622400000,6.2629,630.2635441799999
2024-01-18,6.274,6.3035,6.1871,1705536000000,6.2273,224.12272439
2024-01-17,6.2162,6.2323,6.2162,1705449600000,6.2323,307.49550335
2024-01-16,6.2438,6.2989,6.2438,1705363200000,6.2836,266.45142518
2024-01-15,6.2724,6.2989,6.2724,1705276800000,6.2896,30.59175064
2024-01-14,6.2773,6.2897,6.2773,1705190400000,6.2774,0.25106001
2024-01-13,6.266,6.2973,6.266,1705104000000,6.2901,10.56317435
2024-01-12,6.2998,6.3481,6.2998,1705017600000,6.3359,648.25720919
2024-01-11,6.3465,6.3543,6.2269,1704931200000,6.2676,4473.17387256
2024-01-10,6.279,6.28,6.2387,1704844800000,6.2698,70.16122913
2024-01-09,6.258,6.2729,6.1989,1704758400000,6.1989,54.44978663
2024-01-08,6.2106,6.2289,6.0621,1704672000000,6.0637,1715.92279919
2024-01-07,6.0746,6.0865,6.0408,1704585600000,6.0408,99.60179977
2024-01-05,6.0291,6.0291,6.0057,1704412800000,6.0057,8.47252196
2024-01-04,5.994,5.9998,5.9562,1704326400000,5.9562,14.92102906
2024-01-03,5.9451,5.9751,5.9451,1704240000000,5.9577,13.92571689
2024-01-02,5.9466,5.974,5.7873,1704153600000,5.7873,428.47701799
2023-12-30,5.7873,5.8131,5.7783,1703894400000,5.8131,25.93243803
2023-12-29,5.802,5.8315,5.7912,1703808000000,5.7976,181.84520337
2023-12-28,5.8088,5.8131,5.7694,1703721600000,5.7694,59.45916399
2023-12-27,5.759,5.7708,5.6732,1703635200000,5.6732,29.31036832
2023-12-26,5.6737,5.7345,5.6732,1703548800000,5.7246,1240.7226151
2023-12-25,5.726,5.7444,5.7247,1703462400000,5.7444,259.79888732
2023-12-24,5.7523,5.799,5.7523,1703376000000,5.765,199.34590394
2023-12-23,5.776,5.7849,5.4788,1703289600000,5.7526,4645.65051383
2023-12-22,5.7413,5.7526,5.6709,1703203200000,5.6757,195.70780202
2023-12-21,5.6846,5.7933,5.6845,1703116800000,5.754,6683.38978308
2023-12-20,5.7428,5.7456,5.6573,1703030400000,5.6679,30.61317976
2023-12-19,5.6569,5.672,5.5519,1702944000000,5.6609,4767.17093411
2023-12-18,5.6711,5.6817,5.6711,1702857600000,5.6711,0.39834374
2023-12-17,5.6816,5.6942,5.6578,1702771200000,5.6942,161.75509543
2023-12-16,5.6834,5.6942,5.6834,1702684800000,5.6872,100.13784642
2023-12-15,5.6983,5.6983,5.6871,1702598400000,5.6872,1.05594449
2023-12-13,5.6983,5.6997,5.6857,1702425600000,5.6871,4.64925907
2023-12-12,5.6983,5.6983,5.6707,1702339200000,5.6707,13.61594608
2023-12-11,5.6595,5.6845,5.6578,1702252800000,5.6845,55.26134225
2023-12-09,5.6928,5.6928,5.6784,1702080000000,5.6886,6.13455332
2023-12-07,5.6784,5.6886,5.6784,1701907200000,5.6886,0.55901482
2023-12-06,5.6776,5.6831,5.5912,1701820800000,5.5912,45.45006605
2023-12-05,5.5817,5.5871,5.4935,1701734400000,5.5219,672.53110906
2023-12-04,5.5316,5.5398,5.4348,1701648000000,5.4362,227.37697004
2023-12-03,5.4459,5.4599,5.4422,1701561600000,5.4599,6.71876165
2023-12-02,5.4702,5.4702,5.4181,1701475200000,5.4278,29.654720310000002
2023-12-01,5.4181,5.4279,5.3807,1701388800000,5.3831,101.15786098
2023-11-29,5.3724,5.387,5.3614,1701216000000,5.387,13.26591028
2023-11-28,5.3758,5.4344,5.3758,1701129600000,5.4167,332.18707797
2023-11-27,5.4252,5.4376,5.4252,1701043200000,5.4376,100.0
2023-11-25,5.4481,5.4657,5.4481,1700870400000,5.4657,294.0
2023-11-24,5.4749,5.4848,5.4105,1700784000000,5.4125,117.51220127
2023-11-23,5.4222,5.4329,5.4125,1700697600000,5.4224,0.76354941
2023-11-22,5.4127,5.4225,5.3573,1700611200000,5.4014,509.07286564
2023-11-21,5.4105,5.4582,5.4105,1700524800000,5.4545,483.32326621000004
2023-11-20,5.4595,5.4595,5.4057,1700438400000,5.4153,49.5973981
2023-11-19,5.4251,5.4264,5.3888,1700352000000,5.3936,54.18069002
2023-11-18,5.4018,5.4159,5.3973,1700265600000,5.3973,13.26587344
2023-11-17,5.4073,5.4167,5.3973,1700179200000,5.4167,13.44250325
2023-11-16,5.4241,5.4369,5.4241,1700092800000,5.4348,98.18285198000001
2023-11-15,5.4376,5.4503,5.3623,1700006400000,5.3809,194.9069104
2023-11-14,5.3903,5.4132,5.3887,1699920000000,5.408,37.05439985
2023-11-11,5.3975,5.3988,5.3831,1699660800000,5.3831,29.0979383
2023-11-09,5.3726,5.3844,5.3121,1699488000000,5.3237,201.42614743
2023-11-08,5.3237,5.3635,5.3119,1699401600000,5.3573,610.1122539
2023-11-07,5.3674,5.3898,5.3547,1699315200000,5.3804,226.52939425
2023-11-06,5.37,5.3941,5.2953,1699228800000,5.3941,1197.51821689
2023-11-05,5.4009,5.4291,5.3931,1699142400000,5.4171,158.61206668
2023-11-04,5.4264,5.4463,5.3914,1699056000000,5.4097,1231.05462625
2023-11-03,5.4212,5.4212,5.3151,1698969600000,5.3903,1725.53990813
2023-11-02,5.4,5.4502,5.3844,1698883200000,5.3844,740.410864
2023-11-01,5.3774,5.4212,5.3752,1698796800000,5.3962,529.4205300899999
2023-10-31,5.3887,5.4617,5.3887,1698710400000,5.4571,1172.29280087
2023-10-30,5.4649,5.5102,5.4503,1698624000000,5.5101,1361.81924819
2023-10-29,5.5021,5.5384,5.4904,1698537600000,5.5153,671.93108305
2023-10-28,5.5223,5.5425,5.4898,1698451200000,5.5304,647.24129316
2023-10-27,5.5375,5.5613,5.512,1698364800000,5.5602,606.92434095
2023-10-26,5.5674,5.5831,5.5263,1698278400000,5.5759,979.87137101
2023-10-25,5.5831,5.6076,5.5536,1698192000000,5.5745,504.64309903000003
2023-10-24,5.5817,5.5912,5.5241,1698105600000,5.5318,165.88051722999998
2023-10-23,5.5391,5.5391,5.3371,1698019200000,5.3674,4187.93553089
2023-10-22,5.3596,5.3596,5.3504,1697932800000,5.3504,11.87341335
2023-10-21,5.3426,5.3465,5.3348,1697846400000,5.3348,17.62429046
2023-10-20,5.3284,5.3284,5.2704,1697760000000,5.2704,250.20367138999998
2023-10-18,5.2633,5.2716,5.2486,1697587200000,5.2486,36.80817537
2023-10-16,5.2409,5.2409,5.0373,1697414400000,5.0373,1084.0793584
2023-10-13,5.0298,5.0372,5.0173,1697155200000,5.0275,100.9208077
2023-10-12,5.0201,5.0483,5.0117,1697068800000,5.0324,362.02341236999996
2023-10-11,5.0259,5.0631,4.9951,1696982400000,5.0182,1185.72967126
2023-10-10,5.0246,5.1353,5.0169,1696896000000,5.1353,1271.15088234
2023-10-09,5.1419,5.1737,5.1419,1696809600000,5.1737,383.96437175
2023-10-08,5.1814,5.189,5.1737,1696723200000,5.1864,6.06503526
2023-10-07,5.1791,5.2078,5.1791,1696636800000,5.2041,229.49351998
2023-10-06,5.1976,5.2116,5.1803,1696550400000,5.2116,169.48100336
2023-10-05,5.2026,5.2283,5.1693,1696464000000,5.1737,544.00139049
2023-10-04,5.1803,5.1877,5.1697,1696377600000,5.1764,19.36631323
2023-10-03,5.1697,5.1852,5.1406,1696291200000,5.1776,466.20797611
2023-10-02,5.1843,5.2067,5.1361,1696204800000,5.165,471.8530599
2023-10-01,5.1584,5.1879,5.1584,1696118400000,5.1687,272.48733586
2023-09-30,5.1697,5.2028,5.1687,1696032000000,5.1949,524.49490605
2023-09-29,5.2016,5.2094,5.1869,1695945600000,5.1991,156.3001897
2023-09-28,5.1896,5.2154,5.1801,1695859200000,5.1949,662.54275276
2023-09-27,5.2016,5.2359,5.2016,1695772800000,5.2244,174.89454121
2023-09-26,5.2176,5.2524,5.1947,1695686400000,5.2499,688.09621033
2023-09-25,5.2431,5.2863,5.2431,1695600000000,5.2863,576.71390896
2023-09-24,5.2931,5.2999,5.2931,1695513600000,5.2932,39.23744483
2023-09-23,5.2985,5.3063,5.2985,1695427200000,5.2985,0.23569463
2023-09-22,5.3053,5.3326,5.3049,1695340800000,5.3326,249.33910851000002
2023-09-21,5.3394,5.3478,5.3162,1695254400000,5.3189,170.88100882
2023-09-20,5.3258,5.344,5.3111,1695168000000,5.3193,261.2257836
2023-09-19,5.3115,5.3115,5.2551,1695081600000,5.2781,664.44597359
