date,close,high,low,mts,open,volume
2024-02-25,0.51366,0.51366,0.50718,1708819200000,0.50718,476.00436035
2024-02-24,0.53308,0.53478,0.46727,1708732800000,0.46727,6692.10270353
2024-02-23,0.46836,0.47741,0.46836,1708646400000,0.47741,1459.90907577
2024-02-22,0.47518,0.47594,0.4486,1708560000000,0.4486,3596.10260744
2024-02-21,0.39955,0.43571,0.3992,1708473600000,0.43571,997.0718
2024-02-20,0.40781,0.454,0.40781,1708387200000,0.44519,1394.8456557499999
2024-02-19,0.43948,0.44212,0.43251,1708300800000,0.43323,33625.18557182
2024-02-18,0.43827,0.43827,0.42316,1708214400000,0.42316,1208.75366021
2024-02-16,0.41958,0.41958,0.40713,1708041600000,0.40713,903.68195855
2024-02-15,0.41189,0.41189,0.41,1707955200000,0.41,2516.84685228
2024-02-14,0.41673,0.41673,0.41673,1707868800000,0.41673,444.0
2024-02-13,0.40669,0.40669,0.40669,1707782400000,0.40669,444.0
2024-02-12,0.38499,0.38499,0.38499,1707696000000,0.38499,135.25539908
2024-02-10,0.38209,0.38398,0.38209,1707523200000,0.38398,943.2719709
2024-02-09,0.37563,0.37714,0.3748,1707436800000,0.37714,239.57353552
2024-02-08,0.36427,0.36967,0.36174,1707350400000,0.36675,435.48898273
2024-02-07,0.36318,0.36318,0.35095,1707264000000,0.35305,1510.5196185099999
2024-02-06,0.35076,0.35076,0.33917,1707177600000,0.33917,1301.75318617
2024-02-04,0.33917,0.34272,0.33917,1707004800000,0.34272,1519.77191915
2024-02-01,0.34086,0.34371,0.3362,1706745600000,0.3362,534.30375078
2024-01-31,0.35095,0.35987,0.35095,1706659200000,0.35904,721.93050725
2024-01-30,0.36301,0.36614,0.36301,1706572800000,0.36614,205.40295464000002
2024-01-29,0.36971,0.36971,0.35054,1706486400000,0.35054,1321.78396976
2024-01-28,0.3435,0.3597,0.34216,1706400000000,0.3597,903.07456448
2024-01-27,0.35927,0.36496,0.35215,1706313600000,0.35345,5985.85748426
2024-01-26,0.35297,0.35297,0.33334,1706227200000,0.33334,2801.33136367
2024-01-25,0.33636,0.34332,0.3299,1706140800000,0.34071,2611.93871687
2024-01-24,0.34589,0.35587,0.34423,1706054400000,0.35149,1829.0807152999998
2024-01-23,0.34368,0.36496,0.32822,1705968000000,0.35757,8627.02297549
2024-01-22,0.35947,0.38259,0.35947,1705881600000,0.38259,2127.60006759
2024-01-21,0.391,0.40283,0.391,1705795200000,0.3992,2281.0855654800002
2024-01-20,0.4005,0.41338,0.4005,1705708800000,0.40885,3208.4835712
2024-01-19,0.4037,0.40521,0.4037,1705622400000,0.40521,2010.5563270500002
2024-01-18,0.43213,0.43366,0.43066,1705536000000,0.43366,1236.84285473
2024-01-17,0.47044,0.47044,0.44152,1705449600000,0.44153,1247.52139394
2024-01-16,0.41396,0.41396,0.41396,1705363200000,0.41396,1107.106166
2024-01-13,0.40555,0.40555,0.40555,1705104000000,0.40555,48.55249432
2024-01-12,0.4125,0.46101,0.4125,1705017600000,0.46101,99336.67176218
2024-01-11,0.43316,0.4598,0.41666,1704931200000,0.41666,26490.2744037
2024-01-10,0.42768,0.42768,0.38305,1704844800000,0.3977,3062.80287296
2024-01-09,0.41245,0.42482,0.41245,1704758400000,0.42342,434.25068634
2024-01-08,0.4407,0.4407,0.37648,1704672000000,0.37648,23861.89551609
2024-01-07,0.38377,0.3875,0.38377,1704585600000,0.38615,1381.84642487
2024-01-06,0.40019,0.40019,0.38286,1704499200000,0.38287,488.58846483
2024-01-05,0.40801,0.43047,0.40229,1704412800000,0.42883,242.37545809
2024-01-04,0.44524,0.45243,0.3933,1704326400000,0.3933,62754.99310437
2024-01-03,0.37128,0.43,0.33817,1704240000000,0.42912,10332.80867712
2024-01-02,0.41913,0.453,0.4156,1704153600000,0.44706,146525.83459546
2024-01-01,0.43575,0.44166,0.39338,1704067200000,0.4008,2163.93700889
2023-12-30,0.42258,0.42568,0.41843,1703894400000,0.42124,1705.12183496
2023-12-29,0.43846,0.45023,0.43846,1703808000000,0.45023,63.399430519999996
2023-12-28,0.44058,0.51121,0.43885,1703721600000,0.47173,3294.40172568
2023-12-27,0.42945,0.44045,0.42523,1703635200000,0.44045,837.8655962099999
2023-12-26,0.45196,0.475,0.45196,1703548800000,0.47064,90964.70325217
2023-12-25,0.45869,0.45869,0.43294,1703462400000,0.43294,2506.74615886
2023-12-24,0.43898,0.4692,0.43898,1703376000000,0.46119,2032.72455033
2023-12-23,0.44103,0.45602,0.42928,1703289600000,0.42928,3000.98229475
2023-12-22,0.428,0.45034,0.428,1703203200000,0.45034,27382.740847779998
2023-12-21,0.45596,0.45596,0.4284,1703116800000,0.4284,28040.90967715
2023-12-20,0.47046,0.493,0.47046,1703030400000,0.47265,30943.423393690002
2023-12-19,0.4649,0.49,0.44166,1702944000000,0.45105,4717.11151942
2023-12-18,0.4038,0.41,0.35493,1702857600000,0.35493,6630.50612723
2023-12-17,0.38011,0.39952,0.38011,1702771200000,0.39897,2344.23660877
2023-12-16,0.43116,0.43116,0.39724,1702684800000,0.42037,5185.46445557
2023-12-15,0.42015,0.46159,0.35373,1702598400000,0.37737,6679.64810496
2023-12-14,0.3842,0.38946,0.31138,1702512000000,0.31454,15474.38790167
2023-12-13,0.30875,0.31267,0.25849,1702425600000,0.25849,3648.85473842
2023-12-12,0.27281,0.28012,0.25852,1702339200000,0.25852,1314.0336778199999
2023-12-11,0.23891,0.23968,0.23891,1702252800000,0.23968,2411.32184804
2023-12-09,0.24987,0.25679,0.24926,1702080000000,0.25679,2101.91442582
2023-12-07,0.24431,0.24431,0.23089,1701907200000,0.23089,54.21035138
2023-12-05,0.23749,0.23749,0.22909,1701734400000,0.233,4649.26832085
2023-12-04,0.21966,0.23393,0.21966,1701648000000,0.23393,2619.9546237199997
2023-12-02,0.22275,0.22275,0.22275,1701475200000,0.22275,39.77067564
2023-12-01,0.22399,0.22399,0.22399,1701388800000,0.22399,280.78448679999997
2023-11-28,0.21946,0.21946,0.21946,1701129600000,0.21946,2219.778
2023-11-23,0.21865,0.22362,0.21865,1700697600000,0.22362,177.29079496000003
2023-11-22,0.22499,0.22556,0.21645,1700611200000,0.21645,2458.10397582
2023-11-21,0.20627,0.221,0.20549,1700524800000,0.21688,1023.54158851
2023-11-20,0.24314,0.24452,0.23949,1700438400000,0.24347,6129.20974
2023-11-19,0.2372,0.2372,0.22804,1700352000000,0.22821,5288.9570212
2023-11-18,0.23159,0.24355,0.2263,1700265600000,0.24355,1943.1744
2023-11-17,0.25277,0.25277,0.24337,1700179200000,0.24833,1954.49901784
2023-11-16,0.274,0.29,0.26221,1700092800000,0.26221,10089.82970918
2023-11-15,0.2577,0.2577,0.24714,1700006400000,0.24881,1102.22119517
2023-11-14,0.23698,0.23963,0.23436,1699920000000,0.23945,714.55365172
2023-11-13,0.25927,0.26154,0.25654,1699833600000,0.2566,1159.26122688
2023-11-12,0.27515,0.27687,0.26847,1699747200000,0.27179,1035.66104028
2023-11-11,0.27492,0.27525,0.26963,1699660800000,0.26997,4643.29972325
2023-11-10,0.24613,0.248,0.24613,1699574400000,0.248,167.93685307
2023-11-09,0.23829,0.26637,0.21181,1699488000000,0.26637,10780.21552614
2023-11-08,0.25861,0.25942,0.25851,1699401600000,0.25942,3623.16804879
2023-11-07,0.25599,0.25722,0.23968,1699315200000,0.24308,19690.81901721
2023-11-06,0.24147,0.24294,0.22309,1699228800000,0.22309,2536.10862812
2023-11-05,0.2263,0.23019,0.22421,1699142400000,0.22714,10605.16713007
2023-11-04,0.22389,0.22389,0.21988,1699056000000,0.22311,87.55279293000001
2023-11-01,0.2089,0.2089,0.20841,1698796800000,0.20841,37.3216615
2023-10-31,0.21244,0.21244,0.21244,1698710400000,0.21244,58.977402579999996
2023-10-30,0.22706,0.22706,0.22441,1698624000000,0.22441,1069.14683765
2023-10-29,0.22658,0.22658,0.21654,1698537600000,0.2183,133.1739647
2023-10-28,0.21923,0.22065,0.20721,1698451200000,0.20721,1510.29100164
2023-10-27,0.20397,0.20768,0.20382,1698364800000,0.20768,3218.09552996
2023-10-26,0.21098,0.21098,0.21098,1698278400000,0.21098,493.0
2023-10-24,0.20389,0.20841,0.19794,1698105600000,0.1997,8913.73061424
2023-10-23,0.19574,0.19574,0.18074,1698019200000,0.18467,6844.22856641
2023-10-22,0.17913,0.17974,0.17779,1697932800000,0.17779,539.1797
2023-10-21,0.1733,0.17414,0.17302,1697846400000,0.17371,7460.482968
2023-10-14,0.17606,0.17642,0.17606,1697241600000,0.17642,89.01455999999999
2023-10-13,0.17618,0.17618,0.17618,1697155200000,0.17618,41.413225
2023-10-11,0.16868,0.16868,0.16868,1696982400000,0.16868,19.141259
2023-10-10,0.16607,0.16607,0.16607,1696896000000,0.16607,10.0
2023-10-07,0.18595,0.18595,0.18595,1696636800000,0.18595,236.338375
2023-10-06,0.17706,0.17706,0.17559,1696550400000,0.17605,100.0
2023-10-05,0.17741,0.17879,0.17741,1696464000000,0.17879,130.57808500000002
