date,close,high,low,mts,open,volume
2024-02-25,1.4074,1.796,1.3762,1708819200000,1.3762,2756.03183775
2024-02-24,1.3659,1.3727,1.3659,1708732800000,1.3727,73.02610779
2024-02-23,1.3727,1.425,1.3727,1708646400000,1.425,513.11720277
2024-02-22,1.425,1.4465,1.3795,1708560000000,1.3899,1397.75960811
2024-02-21,1.3795,1.425,1.3795,1708473600000,1.4038,565.17391968
2024-02-20,1.4038,1.5283,1.3829,1708387200000,1.5283,30789.97961693
2024-02-19,1.5283,1.5398,1.5245,1708300800000,1.5245,49.78247797
2024-02-18,1.5359,1.5359,1.5245,1708214400000,1.5359,132.86923844
2024-02-17,1.5359,1.5786,1.5359,1708128000000,1.5786,449.41351321
2024-02-16,1.5905,1.647,1.563,1708041600000,1.6347,2222.79466386
2024-02-15,1.6347,1.6347,1.4756,1707955200000,1.4756,29141.60831879
2024-02-14,1.4756,1.5112,1.3026,1707868800000,1.3026,16509.23833312
2024-02-13,1.3026,1.3157,1.2737,1707782400000,1.3157,5581.97834576
2024-02-12,1.3173,1.3322,1.3173,1707696000000,1.3322,228.80601764
2024-02-11,1.3322,1.3727,1.3322,1707609600000,1.3727,518.99835972
2024-02-10,1.3727,1.3899,1.3727,1707523200000,1.3899,289.6395035
2024-02-09,1.3902,1.4109,1.3135,1707436800000,1.3557,4669.5985901799995
2024-02-08,1.3557,1.3933,1.1498,1707350400000,1.1498,8330.70042154
2024-02-07,1.1583,1.1583,1.1074,1707264000000,1.1074,1155.0186636399999
2024-02-06,1.0991,1.1074,1.0483,1707177600000,1.0483,1255.52569074
2024-02-05,1.0457,1.0457,1.0404,1707091200000,1.0404,209.65536792
2024-02-04,1.0404,1.0404,0.99617,1707004800000,1.0023,1417.55103383
2024-02-03,1.0035,1.0405,1.0035,1706918400000,1.0405,10409.53463826
2024-02-02,1.0406,1.064,1.0406,1706832000000,1.064,570.67648318
2024-02-01,1.0654,1.113,1.0654,1706745600000,1.113,1283.0895844
2024-01-31,1.1144,1.17,1.1144,1706659200000,1.17,1209.46864167
2024-01-30,1.1788,1.1788,1.0404,1706572800000,1.0404,10909.26540674
2024-01-29,1.0404,1.0404,0.98138,1706486400000,0.99371,1567.55264483
2024-01-28,0.99371,0.99984,0.95001,1706400000000,0.95001,1204.74518582
2024-01-27,0.94294,0.95718,0.94294,1706313600000,0.95718,485.94616667
2024-01-26,0.95718,0.96677,0.94766,1706227200000,0.95241,414.28761292
2024-01-25,0.95316,0.96436,0.95239,1706140800000,0.95239,310.58842467
2024-01-24,0.9453,0.96197,0.9453,1706054400000,0.96197,2099.37588443
2024-01-23,0.96197,1.0173,0.96197,1705968000000,1.0173,1251.8964128100001
2024-01-22,1.0184,1.0694,1.0184,1705881600000,1.0694,2687.03695688
2024-01-21,1.0694,1.0828,1.0614,1705795200000,1.0614,551.20466106
2024-01-19,1.0543,1.0829,1.0543,1705622400000,1.0829,645.28984755
2024-01-18,1.0829,1.127,1.0829,1705536000000,1.1185,633.30233767
2024-01-17,1.1185,1.1185,1.0808,1705449600000,1.0883,631.17873382
2024-01-16,1.0965,1.0965,1.0759,1705363200000,1.0829,368.31491742
2024-01-15,1.091,1.091,1.074,1705276800000,1.0883,6932.45591193
2024-01-14,1.0883,1.113,1.0883,1705190400000,1.113,545.35175327
2024-01-13,1.113,1.127,1.113,1705104000000,1.127,267.93215943
2024-01-12,1.1283,1.1995,1.1283,1705017600000,1.1612,2740.65377688
2024-01-11,1.1612,1.1612,1.1468,1704931200000,1.1468,170.56800841
2024-01-10,1.1468,1.1642,1.1354,1704844800000,1.1642,1206.00489616
2024-01-09,1.1642,1.1816,1.1642,1704758400000,1.1816,263.64947237
2024-01-08,1.1905,1.1905,1.1482,1704672000000,1.1729,1023.45695498
2024-01-07,1.1729,1.1876,1.1468,1704585600000,1.1526,593.41841124
2024-01-06,1.154,1.2176,1.154,1704499200000,1.2176,3977.47997074
2024-01-05,1.2176,1.2176,1.2176,1704412800000,1.2176,5.48328674
2024-01-04,1.2268,1.2454,1.198,1704326400000,1.2454,5142.23895395
2024-01-03,1.2454,1.2865,1.2454,1704240000000,1.2865,2077.86443139
2024-01-02,1.2865,1.3058,1.2865,1704153600000,1.3058,231.72011566999998
2024-01-01,1.3074,1.3296,1.2833,1704067200000,1.3289,2308.09563184
2023-12-31,1.3289,1.371,1.3289,1703980800000,1.3693,2765.49279307
2023-12-30,1.3796,1.4009,1.3042,1703894400000,1.3255,3574.60236404
2023-12-29,1.3255,1.3263,1.2705,1703808000000,1.2897,3769.05567927
2023-12-28,1.2994,1.2994,1.1771,1703721600000,1.2673,9274.81143236
2023-12-27,1.269,1.2865,1.269,1703635200000,1.2865,234.66767886
2023-12-26,1.2962,1.2962,1.2501,1703548800000,1.2801,2830.41993372
2023-12-25,1.2817,1.3091,1.2817,1703462400000,1.2929,933.80213084
2023-12-23,1.3026,1.3659,1.2848,1703289600000,1.3659,1704.55555524
2023-12-22,1.3659,1.3933,1.3322,1703203200000,1.3422,798.5936822699999
2023-12-21,1.3338,1.4647,1.2911,1703116800000,1.4647,8146.00263939
2023-12-20,1.4647,1.4794,1.4304,1703030400000,1.4647,822.3700611
2023-12-19,1.4665,1.6307,1.4665,1702944000000,1.5397,5906.18590139
2023-12-18,1.5513,1.6384,1.4813,1702857600000,1.6266,4775.79255753
2023-12-17,1.6388,1.6388,1.5226,1702771200000,1.5905,1750.86021367
2023-12-16,1.5806,1.6887,1.3934,1702684800000,1.4109,12137.26002067
2023-12-15,1.4109,1.4611,1.4109,1702598400000,1.4465,981.1877594299999
2023-12-14,1.4447,1.4981,1.4144,1702512000000,1.4868,2183.3286017
2023-12-13,1.4868,1.4868,1.2516,1702425600000,1.2516,13839.78665659
2023-12-12,1.2423,1.2641,1.2423,1702339200000,1.2516,322.20778656
2023-12-11,1.2516,1.3761,1.2361,1702252800000,1.3761,3306.07159597
2023-12-10,1.3761,1.4004,1.3693,1702166400000,1.4004,1009.6868818300001
2023-12-09,1.4021,1.4429,1.3389,1702080000000,1.3389,3655.4007896
2023-12-08,1.3289,1.3422,1.1497,1701993600000,1.1584,11884.68464464
2023-12-07,1.1671,1.1671,1.1074,1701907200000,1.1074,5044.20729506
2023-12-06,1.1074,1.1074,1.0992,1701820800000,1.0992,89.82305145
2023-12-05,1.0991,1.1242,1.0991,1701734400000,1.1242,370.2377953
2023-12-04,1.1242,1.1382,1.1242,1701648000000,1.1382,176.60118104
2023-12-03,1.1382,1.1816,1.1382,1701561600000,1.1816,2158.81842059
2023-12-02,1.1831,1.207,1.1607,1701475200000,1.1721,3463.939461
2023-12-01,1.1721,1.2002,1.0667,1701388800000,1.0667,10501.66870317
2023-11-30,1.068,1.1047,0.95239,1701302400000,0.95239,6692.64116716
2023-11-29,0.95239,0.95239,0.92428,1701216000000,0.92428,841.18746945
2023-11-28,0.9174,0.94294,0.9174,1701129600000,0.94294,1307.88068711
2023-11-27,0.94294,0.96678,0.94294,1701043200000,0.96678,627.56349947
2023-11-24,0.97403,0.97403,0.92198,1700784000000,0.92198,6265.74777885
2023-11-22,0.91629,0.92892,0.91629,1700611200000,0.92892,324.99057771
2023-11-21,0.92892,0.96436,0.92892,1700524800000,0.96197,1607.53619061
2023-11-20,0.96304,1.0048,0.96304,1700438400000,1.0022,5431.19085129
2023-11-19,1.0062,1.0062,0.98383,1700352000000,0.98876,513.4568156
2023-11-18,0.99617,1.03,0.95602,1700265600000,1.0174,3329.15418246
2023-11-17,1.0174,1.0643,0.88145,1700179200000,0.88145,12509.7478934
2023-11-16,0.88074,0.88074,0.78781,1700092800000,0.80369,4258.24697156
2023-11-15,0.80972,0.80972,0.77802,1700006400000,0.77802,3475.76504482
2023-11-14,0.77324,0.79969,0.77324,1699920000000,0.79969,1533.09759526
2023-11-13,0.80569,0.82399,0.78585,1699833600000,0.82399,1691.53228962
2023-11-11,0.82605,0.84394,0.82605,1699660800000,0.83225,9546.21436477
2023-11-10,0.82605,0.87489,0.82605,1699574400000,0.86687,8179.57826089
2023-11-09,0.8814,0.8814,0.84693,1699488000000,0.84693,1249.92486178
2023-11-08,0.84482,0.8533,0.83435,1699401600000,0.84905,929.35469728
2023-11-07,0.84905,0.84905,0.75129,1699315200000,0.75129,3656.50023597
2023-11-06,0.75129,0.75129,0.73643,1699228800000,0.73643,505.82746086
2023-11-05,0.73643,0.73643,0.7273,1699142400000,0.7273,478.32828811
2023-11-04,0.72369,0.73645,0.72369,1699056000000,0.73645,614.2002
2023-11-03,0.73829,0.76074,0.73829,1698969600000,0.76074,1330.933
2023-11-02,0.76229,0.78585,0.76229,1698883200000,0.78585,2816.90799432
2023-11-01,0.79174,0.79174,0.7878,1698796800000,0.7878,250.08537292
2023-10-31,0.78583,0.78583,0.74012,1698710400000,0.74012,1616.03621968
2023-10-30,0.74012,0.74012,0.72007,1698624000000,0.72007,793.20395222
2023-10-29,0.71827,0.71827,0.70937,1698537600000,0.70937,388.7679
2023-10-27,0.70528,0.71829,0.70528,1698364800000,0.71829,723.06948705
2023-10-26,0.72009,0.72189,0.72009,1698278400000,0.72189,117.0707
2023-10-25,0.72189,0.7273,0.6833,1698192000000,0.68501,1641.2332351
2023-10-23,0.67314,0.70938,0.67314,1698019200000,0.70938,1878.49837285
