date,close,high,low,mts,open,volume
2024-02-25,125.5,125.69,123.14,1708819200000,123.81,726.27556223
2024-02-24,123.71,125.07,122.08,1708732800000,124.16,2148.23108551
2024-02-23,123.77,124.5,120.89,1708646400000,123.88,1665.88864244
2024-02-22,123.97,124.93,121.19,1708560000000,123.15,1243.61929444
2024-02-21,123.1,125.74,116.43,1708473600000,124.1,2187.5751425
2024-02-20,123.83,126.76,112.37,1708387200000,112.78,5434.00455972
2024-02-19,113.17,123.04,109.65,1708300800000,121.87,7994.20489053
2024-02-18,122.2,123.34,118.73,1708214400000,121.08,1687.23514305
2024-02-17,121.17,122.47,118.26,1708128000000,122.47,1531.03913863
2024-02-16,122.9,128.87,120.22,1708041600000,125.8,2695.54412494
2024-02-15,125.71,129.03,124.47,1707955200000,128.17,3179.50843071
2024-02-14,128.1,131.67,126.55,1707868800000,127.94,4810.45712799
2024-02-13,128.2,128.73,122.21,1707782400000,126.7,6858.01306895
2024-02-12,126.32,128.4,118.06,1707696000000,120.77,5441.58106453
2024-02-11,120.57,123.2,116.93,1707609600000,119.01,1599.81863528
2024-02-10,119.18,123.6,115.48,1707523200000,121.72,2022.12568363
2024-02-09,121.85,129.0,119.92,1707436800000,127.71,3623.25036141
2024-02-08,128.34,131.97,117.79,1707350400000,130.61,5278.29729982
2024-02-07,130.27,134.5,103.7,1707264000000,104.59,17592.65429736
2024-02-06,104.8,166.74,100.27,1707177600000,164.91,33351.60261127
2024-02-05,165.44,168.04,163.36,1707091200000,166.05,256.87932703
2024-02-04,165.9,167.74,164.8,1707004800000,165.33,573.48896354
2024-02-03,165.41,169.88,162.52,1706918400000,169.36,1354.53961485
2024-02-02,168.62,171.0,165.37,1706832000000,165.72,611.21879348
2024-02-01,166.4,169.53,163.69,1706745600000,163.69,1544.19532289
2024-01-31,163.7,166.85,158.5,1706659200000,159.81,852.88690265
2024-01-30,160.07,171.86,159.8,1706572800000,168.15,741.91275488
2024-01-29,168.13,169.8,159.97,1706486400000,160.16,1714.28318995
2024-01-28,160.89,162.41,158.79,1706400000000,160.32,608.21050518
2024-01-27,160.54,161.98,157.6,1706313600000,159.38,393.65788574
2024-01-26,159.37,162.38,156.18,1706227200000,157.36,1286.91386116
2024-01-25,157.71,157.97,152.11,1706140800000,152.65,764.31483535
2024-01-24,152.77,155.69,149.22,1706054400000,150.5,968.62773167
2024-01-23,150.46,154.97,146.63,1705968000000,150.69,1019.9272287699999
2024-01-22,150.76,160.3,149.75,1705881600000,158.2,1631.83724672
2024-01-21,157.57,163.49,155.51,1705795200000,157.05,945.59393441
2024-01-20,157.05,159.79,156.14,1705708800000,158.25,1139.31750556
2024-01-19,158.56,158.97,150.2,1705622400000,153.21,1218.58635354
2024-01-18,153.21,164.27,151.98,1705536000000,158.1,2131.79451325
2024-01-17,157.71,160.52,155.7,1705449600000,157.57,1916.71255738
2024-01-16,157.36,160.01,153.87,1705363200000,157.1,765.09834314
2024-01-15,157.09,158.56,153.13,1705276800000,154.07,1498.28304071
2024-01-14,154.2,159.77,152.97,1705190400000,155.81,582.68863141
2024-01-13,155.72,156.38,148.53,1705104000000,151.93,2563.28741108
2024-01-12,151.94,161.77,149.16,1705017600000,152.67,1148.44849557
2024-01-11,152.56,154.42,148.26,1704931200000,148.56,2495.61833277
2024-01-10,148.87,151.49,143.71,1704844800000,144.19,1776.56477796
2024-01-09,144.25,148.61,142.81,1704758400000,147.36,1389.2154129
2024-01-08,148.05,154.77,143.02,1704672000000,146.01,7487.95869418
2024-01-07,146.0,155.13,144.32,1704585600000,152.68,1693.16571103
2024-01-06,152.8,158.82,150.0,1704499200000,155.84,4341.85319017
2024-01-05,155.83,165.25,153.65,1704412800000,164.82,887.32917932
2024-01-04,164.91,165.09,149.13,1704326400000,154.22,4521.06698238
2024-01-03,153.95,169.84,149.03,1704240000000,167.78,6091.01401987
2024-01-02,167.74,174.23,167.48,1704153600000,170.08,2072.01875029
2024-01-01,170.08,170.08,163.51,1704067200000,165.52,1208.60167975
2023-12-31,165.35,168.41,163.95,1703980800000,166.24,816.91847688
2023-12-30,166.06,169.18,162.4,1703894400000,166.54,1000.36725544
2023-12-29,166.76,175.73,162.56,1703808000000,175.03,3460.4987596
2023-12-28,174.65,180.75,172.61,1703721600000,175.71,858.87111246
2023-12-27,175.68,176.62,172.71,1703635200000,174.19,601.58573973
2023-12-26,173.95,176.73,170.68,1703548800000,174.78,679.45617764
2023-12-25,174.81,175.06,170.54,1703462400000,171.5,322.65250084999997
2023-12-24,171.47,179.28,170.96,1703376000000,178.69,666.15492982
2023-12-23,178.71,179.28,174.81,1703289600000,177.07,1177.78071913
2023-12-22,177.0,177.0,171.5,1703203200000,173.84,885.5894509999999
2023-12-21,173.42,176.32,172.52,1703116800000,174.83,748.99305485
2023-12-20,174.91,175.0,170.98,1703030400000,171.5,424.77617208
2023-12-19,170.86,175.96,168.09,1702944000000,173.85,406.96002198
2023-12-18,173.86,173.99,166.45,1702857600000,168.18,1063.82277149
2023-12-17,167.78,170.62,167.48,1702771200000,168.55,761.39903666
2023-12-16,169.41,172.39,167.42,1702684800000,168.19,905.71073547
2023-12-15,168.21,172.85,167.87,1702598400000,168.75,1133.47294624
2023-12-14,168.26,169.3,166.17,1702512000000,169.27,1456.37934802
