date,close,high,low,mts,open,volume
2024-02-25,1.1095,1.1338,1.1035,1708819200000,1.1286,19740.64246231
2024-02-24,1.1281,1.1314,1.0515,1708732800000,1.0889,80830.50301318
2024-02-23,1.0926,1.1158,1.0651,1708646400000,1.1092,41266.48315671
2024-02-22,1.1088,1.1423,1.062,1708560000000,1.0842,54374.90003992
2024-02-21,1.0858,1.1105,1.0429,1708473600000,1.1034,46872.6500134
2024-02-20,1.1044,1.1359,1.0522,1708387200000,1.0941,94914.61106563
2024-02-19,1.0928,1.0965,1.069,1708300800000,1.0744,18759.84843473
2024-02-18,1.0726,1.0839,1.0583,1708214400000,1.0626,19252.3640628
2024-02-17,1.0606,1.0865,1.0327,1708128000000,1.0784,20144.46695337
2024-02-16,1.078,1.0934,1.0449,1708041600000,1.0793,51873.7713462
2024-02-15,1.0774,1.0965,1.0563,1707955200000,1.0694,125543.71900305
2024-02-14,1.07,1.07,1.0325,1707868800000,1.0442,144152.78265922
2024-02-13,1.0451,1.0598,1.0183,1707782400000,1.0509,49997.73814276
2024-02-12,1.0495,1.0549,1.0104,1707696000000,1.0322,110090.71289234
2024-02-11,1.0336,1.0451,1.0276,1707609600000,1.0383,16192.46134056
2024-02-10,1.0408,1.0482,1.0194,1707523200000,1.0418,37432.38123754
2024-02-09,1.038,1.0484,1.0111,1707436800000,1.0161,75589.91388998
2024-02-08,1.0129,1.0161,0.99484,1707350400000,1.0055,18332.72828887
2024-02-07,1.0043,1.0084,0.96506,1707264000000,0.98349,17870.04626003
2024-02-06,0.98094,0.98947,0.96471,1707177600000,0.96618,12496.86821858
2024-02-05,0.96609,0.98948,0.94457,1707091200000,0.95806,48360.42863661
2024-02-04,0.95899,0.99822,0.95787,1707004800000,0.99822,29757.79912251
2024-02-03,0.99672,1.0339,0.98937,1706918400000,1.0207,28358.66566485
2024-02-02,1.0182,1.0251,0.9808,1706832000000,0.9808,43957.05927532
2024-02-01,0.98478,0.98478,0.9401,1706745600000,0.96789,42881.04187272
2024-01-31,0.96688,0.9904,0.95248,1706659200000,0.98269,66710.17330022
2024-01-30,0.97887,1.03,0.97823,1706572800000,1.0084,42943.37503363
2024-01-29,1.007,1.0084,0.96277,1706486400000,0.97442,28239.25227767
2024-01-28,0.97882,1.0145,0.96696,1706400000000,1.003,29753.39869699
2024-01-27,1.0029,1.0035,0.96875,1706313600000,0.973,15346.36795971
2024-01-26,0.973,0.973,0.92435,1706227200000,0.93199,19773.69152683
2024-01-25,0.93442,0.95425,0.91189,1706140800000,0.95006,32232.07502668
2024-01-24,0.95178,0.96158,0.93434,1706054400000,0.94304,56752.76381606
2024-01-23,0.9412,0.97921,0.89753,1705968000000,0.9592,201045.00140553
