date,close,high,low,mts,open,volume
2024-02-25,27.78,28.241,27.363,1708819200000,27.882,394.79010593
2024-02-24,27.976,28.1,26.991,1708732800000,26.991,2508.43044906
2024-02-23,26.811,27.857,26.1,1708646400000,26.7,1068.75110069
2024-02-22,26.706,29.67,23.785,1708560000000,24.38,26388.72814657
2024-02-21,24.506,25.07,23.5,1708473600000,24.77,7528.70760533
2024-02-20,24.822,27.3,23.274,1708387200000,26.829,6952.69475132
2024-02-19,26.795,27.186,25.175,1708300800000,25.567,2872.4576209
2024-02-18,25.571,26.96,24.67,1708214400000,24.814,7457.48777233
2024-02-17,24.869,24.939,22.493,1708128000000,22.667,14517.49256047
2024-02-16,22.647,22.929,21.997,1708041600000,22.348,1508.94951251
2024-02-15,22.327,22.658,21.201,1707955200000,21.293,12183.71587524
2024-02-14,21.304,21.43,20.671,1707868800000,20.823,2038.59359457
2024-02-13,20.854,21.413,20.291,1707782400000,21.156,5544.33559343
2024-02-12,21.149,21.17,20.033,1707696000000,20.37,1040.96331979
2024-02-11,20.363,21.264,20.255,1707609600000,20.939,1462.96305597
2024-02-10,20.921,21.231,20.454,1707523200000,21.192,1531.329001
2024-02-09,21.139,21.231,20.69,1707436800000,20.87,1469.21667267
2024-02-08,20.855,20.88,20.515,1707350400000,20.782,1119.06271674
2024-02-07,20.849,20.942,19.119,1707264000000,19.236,4111.37353705
2024-02-06,19.267,21.568,19.216,1707177600000,21.326,5238.497568
2024-02-05,21.346,21.687,21.12,1707091200000,21.449,697.07690361
2024-02-04,21.396,22.105,21.247,1707004800000,21.959,303.77368255
2024-02-03,22.092,22.242,21.889,1706918400000,22.08,575.3966450199999
2024-02-02,22.076,22.11,21.671,1706832000000,21.671,1671.52955184
2024-02-01,21.732,21.849,21.269,1706745600000,21.777,900.34623934
2024-01-31,21.735,22.736,21.388,1706659200000,22.605,970.47621078
2024-01-30,22.549,23.246,22.534,1706572800000,22.995,1068.95270007
2024-01-29,22.985,23.0,22.121,1706486400000,22.16,1243.36239295
2024-01-28,22.224,22.97,21.885,1706400000000,22.783,1217.57607201
2024-01-27,22.756,22.88,22.361,1706313600000,22.757,951.87672388
2024-01-26,22.711,22.85,22.087,1706227200000,22.428,481.74747346
2024-01-25,22.403,22.518,21.73,1706140800000,22.0,1041.51289408
2024-01-24,21.983,22.4,21.385,1706054400000,21.438,1288.51711381
