date,close,high,low,mts,open,volume
2024-02-25,2.5034,2.5086,2.203,1708819200000,2.2985,6646.0072164
2024-02-24,2.3248,2.3342,2.151,1708732800000,2.1891,4363.25317642
2024-02-23,2.2036,2.6147,2.1458,1708646400000,2.5019,32853.10414129
2024-02-22,2.4986,2.541,2.1449,1708560000000,2.2195,78549.96471887
2024-02-21,2.238,2.3831,2.0782,1708473600000,2.3448,155139.13753322
2024-02-20,2.3383,2.4287,2.195,1708387200000,2.2912,136866.57215747001
2024-02-19,2.4796,2.6645,2.392,1708300800000,2.6568,9150.42988619
2024-02-18,2.6558,2.7426,2.3097,1708214400000,2.3463,14390.80962333
2024-02-17,2.3717,2.4726,2.2759,1708128000000,2.4726,6700.02331394
2024-02-16,2.4755,2.7945,2.4377,1708041600000,2.7137,5307.6407682
2024-02-15,2.7045,2.868,2.2815,1707955200000,2.3959,54640.15774068
2024-02-14,2.4195,2.5589,2.2431,1707868800000,2.3001,11894.71351389
2024-02-13,2.3438,2.5393,2.0319,1707782400000,2.0713,91904.47500431
2024-02-12,2.0615,2.108,1.6574,1707696000000,1.7204,53619.154402
2024-02-11,1.6637,1.7767,1.4721,1707609600000,1.4835,42103.73465405
2024-02-10,1.4875,1.5438,1.3695,1707523200000,1.4648,31652.53997134
2024-02-09,1.463,1.5042,1.2012,1707436800000,1.212,140143.12787653
2024-02-08,1.2138,1.38,1.2045,1707350400000,1.2811,135597.50285759
2024-02-07,1.2801,1.39,1.1442,1707264000000,1.2194,585463.48295461
2024-02-06,1.2227,1.3119,1.1985,1707177600000,1.3119,100933.63624787
2024-02-05,1.3152,1.5277,1.273,1707091200000,1.403,25866.61278222
2024-02-04,1.382,1.4286,1.3327,1707004800000,1.3337,3842.83278029
2024-02-03,1.4062,1.6353,1.36,1706918400000,1.6353,23587.25871392
2024-02-02,1.6659,2.0745,1.5266,1706832000000,1.662,139733.65630577
2024-02-01,1.6823,2.5149,0.65881,1706745600000,2.0,228092.05637045
